STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
2,201,4,13,97,23,0,1,1,0,5,3,0,1,0,1,1,1,2,50,2,1,2,1,40,3,0,2,1,0,10,55,11,15,0,0,0,0,0,0,1,1,0,20014,30,1313,HOLLIS,0000000,0
4,19,4,13,97,20,58,1,1,0,5,8,3,1,0,1,6,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,1,1,40587,0,523,BIA 19,0000000,0
6,65,4,13,97,18,0,1,3,0,4,4,0,1,0,1,6,1,2,0,2,2,4,1,0,0,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,1,0,60664,0,0,dirtsvcsrd,0000000,0
6,65,4,13,97,20,10,1,2,0,6,4,0,8,0,1,1,2,2,40,1,1,2,1,0,0,2,2,1,0,99,99,99,99,99,99,0,0,0,0,1,1,0,60665,0,1003,PALM DRIVE,0000000,1
12,23,4,13,97,18,25,2,3,0,3,3,0,12,2,1,1,2,2,55,1,1,2,1,28,3,0,1,1,0,18,29,18,33,99,99,0,0,0,0,2,1,0,120611,99999,0,SR 47,0000000,0
12,31,4,13,97,20,40,1,2,0,19,4,0,9,0,1,1,1,2,35,1,2,2,1,0,0,2,3,1,0,20,41,20,44,0,0,0,0,0,0,1,1,0,120676,99999,1510,CR 208,0000000,1
12,9,4,13,97,17,0,1,5,1,13,3,0,8,0,1,1,2,4,55,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,1,0,120679,99999,2005,SR 528,0000000,1
12,103,4,13,97,23,32,1,2,0,16,6,0,8,0,2,1,1,2,30,1,1,2,1,20,3,2,3,1,0,23,35,23,39,0,0,0,0,0,0,1,1,0,120711,99999,2730,4TH AVE.S,0000000,1
17,191,4,13,97,21,15,1,2,0,6,4,0,32,0,1,4,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,1,1,170303,0,0,1200E,0000000,0
25,9,4,13,97,21,50,1,1,1,11,1,0,36,0,1,4,3,3,65,1,1,2,1,0,0,0,3,1,0,21,44,21,50,0,0,0,0,0,0,1,1,0,250155,99999,470,I495,0000000,0
