STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
34,340161,1,1,1,0,7,13,4,22,3,13,8,0,0,7,7482,31,2001,T,DODG,Q15,4C,1,17,,2,1547,1387,RPC,G,,,8,360,,,B,5008,01,,U,44,0,0,0,0,12,12,0,44,1,1,0,11,3,0,20,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
34,340213,1,1,1,0,23,13,4,16,21,16,33,0,0,12,12013,6,1994,P,FORD,EST,SW,94,17,2419,,0,984,,G,,F,4,113,,14R175,,,,,,,0,0,0,0,14,12,0,87,2,1,4,11,7,0,1,0,0,0,0,1,2,1,0,0,1,2,1,0,0,1,0,0,5,0,13,4,2011,17,10,1710,0,49,0,0,0,************,0,7,1,0
36,360405,1,0,1,1,81,13,4,18,20,16,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1,5,4,0,96,8,97,8,0,0,8,9,2,1,0,8,8,2,1,0,0,1,0,0,5,0,30,4,2011,99,99,9999,999,99,0,0,0,************,9,99,99,2
36,360405,1,1,1,0,81,13,4,18,20,16,8,0,0,84,84881,63,1997,T,INTL,470,CC,97,17,,7,2540,1280,40S,D,,,6,466,,,,00000,00,,,42,0,0,0,0,6,6,0,36,1,1,0,11,3,0,20,0,0,0,8,9,8,95,95,8,8,8,6,0,0,95,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
36,360405,1,1,2,0,81,13,4,18,20,16,8,0,0,84,84881,63,1997,T,INTL,470,CC,97,17,,7,2540,1280,40S,D,,,6,466,,,,00000,00,,,42,0,0,0,0,6,6,0,39,1,2,0,13,3,0,20,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
37,370238,2,1,1,0,49,13,4,16,41,2,12,6,0,19,19022,4,2006,P,CADI,TDS,4D,6,17,4009,,0,1156,,G,,F,8,281,,17R225,,,,,,,0,0,0,0,9,9,0,80,2,1,4,11,3,0,2,0,0,0,0,9,2,1,0,0,8,0,0,0,0,0,0,0,0,7,13,4,2011,16,41,1641,0,0,0,0,0,************,0,7,1,0
37,370238,2,2,1,0,49,13,4,16,41,2,12,6,0,7,7472,30,1994,T,DODG,DAK,PC,94,17,,1,0,1309,DAK,G,,,6,239,,,B,3472,00,,B,42,0,0,0,0,12,12,0,49,1,1,1,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
40,400124,3,1,1,0,83,13,4,16,48,4,12,1,0,55,55033,4,2009,P,HYUN,SGL,4D,9,17,3292,,0,1074,,G,,F,4,144,,16R215,,,,,,,0,0,0,0,6,6,0,56,2,1,3,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
40,400124,3,2,1,0,83,13,4,16,48,4,12,1,0,20,20481,31,2008,T,CHEV,SC1,PK,8,17,,2,1330,1190,SIL,G,,,6,262,,,B,4453,01,,,42,0,0,0,0,12,12,0,76,1,1,4,11,7,0,1,0,0,0,0,9,2,1,0,0,8,0,0,0,0,0,0,0,0,7,13,4,2011,17,15,1715,0,27,0,0,0,************,0,7,1,0
40,400124,3,3,1,0,83,13,4,16,48,4,12,1,0,20,20002,4,2000,P,CHEV,IPL,4D,0,17,3466,,0,1110,,G,,F,6,231,,16R225,,,,,,,0,0,0,0,12,12,0,36,2,1,3,11,3,0,1,0,0,1,0,9,0,0,96,0,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
40,400212,2,1,1,0,143,13,4,20,43,16,12,6,0,20,20019,4,1996,P,CHEV,CSA,4D,96,17,2745,,0,1034,,G,,F,4,133,,14R195,,,,,,,0,0,0,0,1,1,0,74,2,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
40,400212,2,2,1,0,143,13,4,20,43,16,12,6,0,72,72706,80,2007,M,HD,ETA,RS,7,17,,,,,,,1800,,2,,4,,,,,694,,,0,0,0,0,12,12,0,61,1,1,4,11,17,0,0,8,0,0,9,9,0,0,96,0,8,0,0,0,0,0,0,0,5,0,22,4,2011,12,45,1245,208,2,0,0,0,************,0,7,1,0
48,480773,1,1,1,0,113,13,4,19,27,16,32,0,0,72,72709,80,1996,M,HD,,,96,9,,,,,,,,,,,,,,,,,,,0,0,0,0,12,12,0,61,1,1,4,11,17,0,0,8,0,0,1,1,2,1,14,0,1,2,1,0,0,1,0,0,0,7,13,4,2011,19,30,1930,0,3,0,0,0,************,0,99,1,0
48,480774,2,1,1,0,113,13,4,23,55,12,12,1,0,35,35051,6,2010,P,NISS,ROG,UT,10,17,3281,,0,1059,,G,,F,4,153,,16R215,,,,,,,0,0,0,1,12,12,0,23,2,1,4,11,7,0,8,1,9,0,1,1,2,1,23,0,1,2,1,0,0,1,0,0,5,0,14,4,2011,1,19,119,1,24,0,0,0,************,0,99,1,0
48,480774,2,2,1,0,113,13,4,23,55,12,12,1,0,37,37032,4,2007,P,HOND,UEX,4D,7,17,3228,,0,1079,,G,,F,4,146,,16R205,,,,,,,0,0,0,0,6,6,0,999,9,1,9,11,99,0,99,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
53,530095,2,1,1,0,33,13,4,21,39,13,12,6,0,53,53705,80,1992,M,SUZI,D6S,T,92,17,,,,,,,641,,1,,4,,,,,347,,,0,0,0,0,12,12,0,24,1,1,4,11,5,0,0,8,0,0,8,9,2,1,9,8,8,2,1,0,0,606,0,0,5,0,13,4,2011,23,7,2307,1,28,0,0,0,************,0,7,1,0
53,530095,2,2,1,0,33,13,4,21,39,13,12,6,0,6,6051,4,2006,P,CHRY,C30,4D,6,17,3623,,0,1200,,G,,F,6,165,,17R215,,,,,,,0,0,0,0,83,83,0,59,2,1,0,11,3,0,20,0,0,0,8,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
