STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,latitude,longitud
1,21,4,13,20,30,1,1,0,0,4,4,0,18,0,1,5,1,2,45,2,2,2,1,28,3,0,2,1,0,99,99,20,45,0,0,0,0,0,0,1,5,0,10315,0,0,2006,1430,99999999999999999999,0000000,1,32.96594444,-86.68690000
1,117,4,13,18,50,1,3,0,0,14,2,0,1,0,1,5,2,2,55,1,1,2,1,0,0,0,5,1,0,99,99,19,0,99,99,0,0,0,0,1,5,0,10321,0,2481,2006,US-SR3,99999999999999999999,0000000,1,33.21076667,-86.78475278
4,13,4,13,21,57,2,3,0,0,13,6,0,12,4,2,1,3,3,45,1,1,2,1,0,0,0,3,1,0,21,58,22,2,99,99,0,0,0,0,1,5,0,40224,370,0,2006,BELL RD,31ST LANE,0000000,2,33.63980000,-112.1270194
4,5,4,13,21,20,1,3,0,0,4,8,3,1,0,1,4,1,2,55,2,1,2,8,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,40390,0,0,2006,INDIAN ROUTE 15,99999999999999999999,0000000,1,,
5,17,4,13,17,45,2,5,0,1,2,2,0,12,5,2,1,2,2,65,1,1,2,1,21,3,0,1,1,0,17,45,17,50,18,20,0,0,0,0,1,5,0,50151,0,23,2006,US-65-20,SR-35,0000000,2,33.53243611,-91.37436389
5,43,4,13,18,2,2,3,0,1,13,2,0,29,0,2,6,1,5,45,1,1,2,1,3,3,0,1,1,0,18,2,18,3,99,99,0,14,0,0,1,5,0,50152,2680,106,2006,US-278-14,US-425,0000000,2,33.62975833,-91.80243889
5,27,4,13,23,20,1,1,0,0,16,6,0,42,0,1,5,1,2,99,1,2,2,1,20,3,0,2,1,0,23,20,23,23,99,99,0,0,0,0,1,5,1,50153,2490,0,2006,HILLTOP ST.,99999999999999999999,0000000,1,33.25386111,-93.22675556
6,37,4,13,20,43,1,2,1,0,9,4,0,8,0,1,1,1,2,25,1,1,2,1,0,0,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,61314,0,0,2006,MESCAL RD,99999999999999999999,0000000,1,33.97631389,-117.9068278
9,11,4,13,18,31,2,2,0,1,11,1,0,12,1,1,1,3,2,65,1,1,2,2,0,0,0,1,2,0,18,34,18,43,0,0,0,0,0,0,1,5,0,90043,520,159,2006,I-395,99999999999999999999,0000000,2,41.57256389,-72.08653889
12,105,4,13,20,25,1,2,1,0,13,2,0,9,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,20,30,20,39,0,0,0,0,0,0,1,5,0,120601,0,99999,2006,us-92,CLARK RD,0000000,1,,
12,59,4,13,23,5,2,3,0,0,3,3,0,12,1,1,1,1,2,55,1,2,2,1,28,3,0,2,1,0,23,9,23,12,99,99,0,0,0,0,1,5,1,120699,0,99999,2006,SR-79,PINE OAK LN,0000000,2,,
12,99,4,13,22,32,2,5,0,1,12,3,0,12,2,1,1,3,2,70,1,2,2,1,28,3,0,2,1,0,22,35,22,49,99,99,0,0,0,0,1,5,0,121462,0,99999,2006,SR-91,MM-106,0000000,2,,
12,97,4,13,20,55,1,4,0,1,2,3,0,1,0,1,3,2,2,70,1,1,2,1,0,0,0,2,1,0,20,59,21,17,99,99,0,0,0,0,3,5,0,121690,0,99999,2006,SR-91,226 MILE MARKER,0000000,1,,
12,101,4,13,17,7,1,1,0,0,6,4,0,42,0,1,2,1,2,45,2,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,121953,0,99999,2006,SHADY HILLS RD,SR-52,0000000,1,28.33778611,-82.54494444
13,23,4,13,22,15,1,3,0,0,4,4,0,42,0,1,6,1,2,55,2,2,2,1,0,0,0,1,1,0,22,15,22,36,23,10,0,0,0,0,1,5,1,130385,0,36,2006,CO RD 226,99999999999999999999,0000000,1,32.48500000,-83.37282778
13,149,4,13,18,2,1,1,0,1,2,3,0,27,0,1,6,1,2,55,2,2,2,1,0,0,0,1,1,0,18,2,18,4,0,0,0,0,0,0,1,5,0,130387,0,111,2006,SR-1,99999999999999999999,0000000,1,33.31343056,-85.10405000
