STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,LATITUDE,LONGITUD
4,13,4,13,16,45,4,5,0,0,13,4,0,12,4,3,1,1,4,55,1,1,2,1,0,0,0,1,1,0,16,45,16,48,99,99,0,0,0,0,2,3,0,40201,0,0,1999,BUCKEYE RD,0000000,88888888,888888888
5,51,4,13,21,30,1,1,0,0,4,3,0,1,0,1,5,1,2,55,2,1,2,1,0,0,0,2,1,0,21,41,21,56,99,99,0,0,0,0,1,3,0,50141,0,99,1999,SR-227-01,0000000,88888888,888888888
6,37,4,13,17,45,3,15,0,1,11,1,0,12,1,1,1,3,6,65,2,2,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60532,1970,40,1999,I-405,0000000,88888888,888888888
12,99,4,13,21,20,1,2,1,0,13,2,0,8,0,3,1,2,2,50,1,1,2,1,3,3,0,2,1,0,21,29,21,32,99,99,0,0,0,0,1,3,1,120674,1559,99999,1999,US-1,0000000,88888888,888888888
12,95,4,13,17,40,1,1,0,1,12,3,0,20,0,1,2,2,2,55,2,1,2,1,0,0,0,1,1,0,17,46,17,52,99,99,0,0,0,0,1,3,1,120676,0,99999,1999,SR-528,0000000,88888888,888888888
12,87,4,13,21,4,1,6,1,1,13,2,0,8,0,2,1,1,2,35,1,1,2,1,0,0,0,2,1,0,21,6,21,8,0,0,0,0,0,0,1,3,1,120677,0,99999,1999,US-1,0000000,88888888,888888888
12,123,4,13,17,15,2,3,0,1,2,2,0,12,1,1,1,2,2,65,1,1,2,1,0,0,0,1,1,0,17,18,17,26,99,99,0,0,0,0,1,3,0,120678,0,99999,1999,US-19,0000000,88888888,888888888
16,27,4,13,19,0,2,5,0,1,2,2,0,12,4,2,1,3,2,65,1,1,2,1,20,3,0,5,1,0,19,6,19,13,99,99,0,0,0,0,3,3,1,160047,0,510,1999,US-95,0000000,88888888,888888888
17,199,4,13,16,33,3,3,0,1,2,3,0,12,4,2,1,3,2,55,1,1,1,1,20,3,0,1,1,0,16,33,16,99,99,99,0,0,0,0,1,3,0,170239,0,1070,1999,SR-13,0000000,88888888,888888888
26,81,4,13,20,55,1,2,1,0,14,6,0,8,0,2,1,2,2,35,1,1,2,1,0,0,2,3,1,0,20,58,20,59,99,99,0,0,0,0,1,3,1,260245,5319,92,1999,CLYDE PARK AVE,0000000,88888888,888888888
