STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,YEAR,TWAY_ID,RAIL,PEDS
9,15,4,13,18,56,1,1,0,4,3,0,39,0,1,4,1,2,40,2,1,2,1,0,0,0,1,1,0,18,56,19,0,0,0,0,0,0,0,1,2,0,90044,42,749,1998,SR-193,0000000,0
12,53,4,13,18,5,1,1,0,9,4,0,19,0,1,6,2,2,45,2,1,2,1,0,0,0,1,1,0,18,8,18,10,99,99,0,0,0,0,1,2,0,120617,99999,0,1998,CR-589,0000000,0
12,117,4,13,18,0,2,2,0,6,8,0,12,4,2,1,2,2,45,1,1,2,1,3,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,120644,99999,0,1998,RED BUG LAKE ROAD,0000000,0
12,11,4,13,21,2,1,1,0,14,3,0,25,0,1,3,2,2,40,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,120794,99999,771,1998,SR-84,0000000,0
12,61,4,13,21,0,1,1,0,12,8,0,1,0,1,1,1,2,55,1,1,2,1,28,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,121207,99999,0,1998,INDIAN RIVER BLVD,0000000,0
18,117,4,13,21,15,1,1,0,9,4,0,30,0,1,6,1,2,55,1,1,2,2,0,0,0,2,2,0,99,99,99,99,99,99,0,0,0,0,1,2,1,180215,0,0,1998,LOWE SAW MILL RD,0000000,0
24,33,4,13,19,8,2,2,1,12,3,0,12,4,2,1,3,3,45,1,1,2,1,99,9,0,1,1,0,19,8,99,99,99,99,0,0,0,0,1,2,0,240139,120,1175,1998,SR-210,0000000,0
25,21,4,13,21,17,1,2,0,14,8,0,8,0,1,1,1,2,35,1,1,2,1,0,0,0,3,1,0,21,53,21,54,0,0,0,0,0,0,1,2,0,250089,0,1276,1998,CENTRAL ST,0000000,1
26,145,4,13,20,34,1,2,0,4,4,0,9,0,1,1,1,4,55,1,9,9,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,260342,78,0,1998,DIXIE HWY,0000000,1
29,177,4,13,18,45,1,1,0,4,3,0,35,0,1,6,1,2,60,1,1,1,1,0,0,0,1,1,0,18,48,18,55,19,45,0,0,0,0,1,2,0,290256,108,0,1998,SR-210,0000000,0
29,47,4,13,21,9,6,8,1,12,3,0,13,2,1,1,2,2,60,1,2,2,1,0,0,0,2,1,0,21,6,21,17,0,0,0,0,0,0,1,2,1,290257,163,4120,1998,SR-169,0000000,0
32,3,4,13,21,0,1,2,0,14,3,0,8,0,3,1,2,3,35,1,1,2,1,2,3,0,1,1,0,21,0,21,2,21,13,0,0,0,0,1,2,1,320074,409,0,1998,SR-604,0000000,1
32,7,4,13,18,35,2,3,1,2,2,0,12,4,1,1,1,2,70,1,1,2,1,0,0,0,5,1,0,18,40,19,5,21,25,0,0,0,0,1,2,0,320082,578,0,1998,US-93,0000000,0
34,1,4,13,21,57,1,3,0,14,2,0,8,0,2,1,1,2,45,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340066,480,0,1998,US-9,0000000,1
34,29,4,13,20,5,1,2,0,14,4,0,8,0,2,1,1,2,25,1,1,2,1,3,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340068,0,180,1998,632,0000000,1
34,1,4,13,22,31,1,6,0,14,4,0,42,0,1,4,1,2,50,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340069,0,0,1998,559,0000000,0
36,81,4,13,23,20,2,2,1,11,1,0,12,1,1,1,3,3,99,1,1,1,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,360335,17,4170,1998,I-278,0000000,0
37,39,4,13,22,30,1,2,1,2,2,0,8,0,1,1,2,4,55,1,2,2,1,0,0,0,2,1,0,22,32,22,40,23,40,0,0,0,0,1,2,0,370295,1300,0,1998,US-19,0000000,1
40,59,4,13,19,15,1,2,0,6,4,3,38,0,1,4,1,2,55,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,2,2,1,400159,0,0,1998,WILLARD RD,0000000,0
42,45,4,13,21,37,1,5,1,11,1,0,8,0,1,1,3,3,55,1,1,1,1,0,0,0,2,1,0,21,46,21,51,0,0,0,0,0,0,1,2,0,420358,51,8710,1998,I-95,0000000,1
45,83,4,13,20,30,1,1,0,9,4,0,1,0,1,6,1,2,35,1,2,1,1,0,0,0,5,1,0,99,99,21,15,99,99,0,0,0,0,1,2,0,450240,0,0,1998,GENDALE,0000000,0
45,85,4,13,23,5,1,2,0,4,4,0,34,0,1,6,1,2,45,1,2,2,1,0,0,0,2,1,0,99,99,23,15,99,99,0,0,0,0,1,2,1,450244,17,0,1998,944,0000000,0
45,91,4,13,18,15,1,2,0,3,3,0,1,0,1,6,1,2,55,1,2,1,1,0,0,0,1,1,0,99,99,18,30,99,99,0,0,0,0,1,2,0,450245,75,0,1998,SR-41,0000000,0
47,91,4,13,22,54,1,2,0,6,4,0,1,0,1,6,1,2,35,2,2,2,1,0,0,0,2,1,0,22,56,23,5,0,0,0,20,0,0,1,2,0,470207,5,0,1998,FALLBRANCHRD,0000000,0
47,77,4,13,16,50,2,2,0,3,2,0,12,2,1,1,1,2,55,1,2,2,2,0,0,0,1,2,0,17,15,17,24,99,99,0,0,0,0,1,2,0,470283,52,0,1998,US-SR20,0000000,0
48,453,4,13,16,45,1,5,0,3,3,0,1,0,1,4,1,4,70,1,1,2,1,0,0,0,1,1,0,16,50,17,2,17,37,0,0,0,0,1,2,0,480984,34,0,1998,SR-71,0000000,0
51,93,4,13,17,15,1,2,1,2,2,0,30,0,1,6,3,4,45,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,510202,3587,0,1998,US-460,0000000,0
53,53,4,13,17,15,1,2,0,3,3,0,8,0,1,2,1,2,50,1,2,2,1,0,0,0,1,1,0,17,21,17,26,18,7,0,0,0,0,1,2,0,530132,168,0,1998,SR-302,0000000,1
53,63,4,13,18,55,2,2,0,3,3,0,12,4,1,1,1,2,50,1,1,2,1,0,0,0,1,1,0,18,55,19,0,0,0,0,0,0,0,1,2,0,530134,161,0,1998,SR-290,0000000,0
