STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
1,61,4,13,96,22,40,1,2,0,6,6,0,8,0,1,1,1,2,25,1,1,2,1,0,0,2,2,1,0,99,99,22,51,99,99,0,0,0,0,1,7,1,10260,0,2710,5004,0000000,1
4,21,4,13,96,19,36,1,4,0,3,3,0,8,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,19,36,19,37,0,0,0,0,0,0,1,7,0,40220,1275,0,79,0000000,1
4,15,4,13,96,20,40,1,2,0,15,6,0,15,0,9,9,1,2,35,1,1,2,1,0,0,2,2,1,0,20,44,20,47,0,0,0,0,0,0,1,7,1,40221,0,59,RIVERVIEW,0000000,1
6,95,4,13,96,21,10,1,2,1,11,1,0,38,0,1,4,3,3,65,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,60794,1,4020,I80,0000000,0
6,59,4,13,96,18,1,1,2,0,16,6,0,8,0,1,1,1,2,30,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,61538,0,80,N LOARA ST,0000000,1
6,71,4,13,96,22,36,2,4,0,13,6,0,12,2,1,1,1,2,50,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,61539,0,3000,BASELINERD,0000000,0
6,113,4,13,96,23,56,4,4,1,11,1,0,12,4,1,1,3,3,65,1,1,1,1,0,0,0,3,1,0,99,99,99,99,99,99,0,19,0,0,1,7,2,61540,29,4163,I305,0000000,0
9,3,4,13,96,22,2,1,3,1,13,3,0,8,0,1,1,3,2,50,1,1,2,2,0,0,0,3,2,0,22,2,22,9,22,34,0,0,0,0,1,7,0,90101,728,46,15,0000000,1
12,53,4,13,96,19,35,1,2,0,9,4,0,9,0,1,1,1,2,45,1,2,2,1,28,3,0,2,1,0,19,44,19,48,99,99,0,0,0,0,1,7,1,120591,99999,0,CR 581,0000000,1
12,63,4,13,96,21,15,1,1,0,6,8,0,35,0,1,6,1,2,55,1,1,5,1,0,0,0,2,1,0,21,21,21,34,0,0,0,0,0,0,1,7,0,120745,99999,1224,FLAT RD.,0000000,0
12,11,4,13,96,17,32,3,3,0,16,6,0,12,4,2,1,2,6,45,1,1,2,1,3,3,0,1,1,0,17,32,17,36,99,99,0,0,0,0,1,7,0,120759,99999,2916,OAKLAND PK,0000000,0
13,187,4,13,96,17,6,2,3,0,4,2,0,12,2,1,1,1,2,45,2,2,2,1,0,0,0,1,1,0,17,6,17,13,17,42,0,0,0,0,1,7,0,130346,144,0,SR9,0000000,0
16,1,4,13,96,17,30,2,3,0,14,4,0,12,4,1,1,1,2,55,1,1,2,1,0,0,0,1,8,0,17,32,17,40,99,99,0,0,0,0,1,7,0,160035,26,0,amityr,0000000,0
17,91,4,13,96,21,25,1,4,0,4,4,0,42,0,1,5,1,2,55,1,1,2,1,0,0,0,2,1,0,21,27,21,99,99,99,0,0,0,0,1,7,0,170333,0,0,2000N,0000000,0
17,43,4,13,96,18,10,2,6,0,14,6,0,12,2,1,2,1,2,30,1,3,2,1,0,0,0,1,1,0,18,10,18,99,99,99,0,0,0,0,1,7,1,170334,0,830,MEDINAH,0000000,0
18,117,4,13,96,23,56,1,2,0,4,3,0,32,0,1,6,1,2,55,1,1,2,1,0,0,0,2,1,0,1,1,1,55,3,2,0,20,0,0,1,7,1,180224,0,0,56,0000000,0
22,43,4,13,96,22,25,1,2,0,3,2,0,1,0,1,5,1,2,55,2,2,2,1,0,0,0,2,1,0,22,43,22,46,99,99,0,0,0,0,1,7,0,220163,988,0,71,0000000,0
26,163,4,13,96,20,0,1,1,0,14,6,0,33,0,1,4,1,2,30,1,9,9,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,260336,11,1260,LYNDON,0000000,0
26,11,4,13,96,17,40,2,5,1,2,2,0,12,2,1,1,2,2,55,1,1,2,1,0,0,0,1,1,0,17,48,17,53,99,99,0,0,0,0,3,7,0,260668,11,0,23,0000000,0
28,71,4,13,96,19,30,1,1,1,2,3,0,1,0,1,6,1,2,55,2,2,2,1,0,0,0,5,1,0,19,41,19,57,20,10,0,0,0,0,1,7,1,280154,128,0,MS 6,0000000,0
29,91,4,13,96,18,50,1,2,0,4,3,0,1,0,1,6,1,2,55,2,2,2,1,0,0,0,1,1,0,19,28,19,34,19,43,0,0,0,0,1,7,1,290236,63,0,RTAP,0000000,0
29,77,4,13,96,20,21,1,2,0,15,6,0,8,0,1,1,1,2,99,1,1,2,1,0,0,0,3,1,0,20,23,20,42,21,14,0,0,0,0,1,7,0,290237,0,7460,MENTOR,0000000,1
37,193,4,13,96,19,10,1,3,0,4,3,0,1,0,1,5,1,2,55,2,1,2,1,0,0,0,5,1,0,99,99,20,14,99,99,0,0,0,0,1,7,1,370287,344,0,NC115,0000000,0
37,145,4,13,96,23,10,2,4,1,2,2,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,2,1,0,99,99,23,28,99,99,0,0,0,0,1,7,0,370289,99999,0,US158,0000000,0
37,127,4,13,96,16,59,1,2,0,6,4,0,31,0,1,2,1,2,55,2,1,2,1,0,0,0,1,1,0,99,99,17,26,99,99,0,0,0,0,1,7,1,370290,99999,0,RP1507,0000000,0
37,51,4,13,96,20,25,1,3,0,4,2,0,8,0,1,1,1,2,55,1,1,2,2,0,0,0,2,2,0,99,99,20,32,99,99,0,0,0,0,1,7,0,370291,502,0,US301,0000000,1
39,75,4,13,96,21,35,1,1,0,5,3,0,37,0,1,5,1,2,55,2,2,2,2,40,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,390289,33,0,754,0000000,0
42,43,4,13,96,20,30,2,10,0,13,3,0,8,0,1,1,3,2,35,1,2,2,2,0,0,0,2,2,0,99,99,99,99,0,0,0,0,0,0,1,7,0,420259,16,0,3020,0000000,1
42,11,4,13,96,17,41,1,1,0,5,3,0,38,0,1,4,1,2,40,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,420649,0,0,4017,0000000,0
45,45,4,13,96,20,22,1,1,0,16,4,0,18,0,4,1,1,2,25,1,2,1,2,20,3,0,2,2,0,20,22,20,28,99,99,0,0,0,0,1,7,0,450195,0,0,CUTTINO ST,0000000,0
47,149,4,13,96,20,1,1,2,1,2,3,0,42,0,1,6,1,2,55,1,2,2,1,0,0,0,2,1,0,20,16,20,29,99,99,0,0,0,0,1,7,1,470216,15,0,SR96,0000000,0
47,93,4,13,96,18,33,1,1,0,6,4,0,17,0,1,6,1,2,30,2,2,2,1,0,0,0,1,1,0,18,35,18,39,18,58,0,0,0,0,1,7,1,470244,2,0,WOODSCREEK,0000000,0
48,347,4,13,96,21,0,2,2,1,13,2,0,12,1,1,1,2,2,50,1,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,480734,244,4810,59,0000000,0
48,423,4,13,96,17,30,3,8,1,1,1,0,13,2,1,1,2,2,70,1,1,2,1,0,0,0,1,1,0,17,39,17,46,18,23,0,0,0,0,1,7,0,480736,20,0,I20,0000000,0
50,7,4,13,96,21,15,1,2,0,14,6,0,8,0,1,1,1,4,30,1,1,2,2,0,0,0,3,6,0,21,15,21,19,21,32,0,0,0,0,1,7,1,500020,23,120,FAU 5026,0000000,1
50,5,4,13,96,22,15,1,1,0,4,3,0,39,0,1,4,1,2,50,2,1,2,2,0,0,0,2,4,0,22,41,22,50,23,20,0,0,0,0,1,7,1,500021,67,9999,VT 18,0000000,0
53,33,4,13,96,22,59,1,3,0,14,4,0,8,0,1,1,1,2,35,1,2,2,1,0,0,2,3,1,0,22,53,22,56,23,49,0,0,0,0,1,7,1,530134,99999,0,JUANTADRNE,0000000,1
53,45,4,13,96,20,20,1,1,0,4,4,0,30,0,1,4,1,2,35,1,1,2,1,0,0,0,2,1,0,20,21,20,33,0,0,0,0,0,0,1,7,1,530136,4,0,23500,0000000,0
