STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,latitude,longitud
1,51,4,13,19,50,1,2,1,0,5,4,0,8,0,1,1,1,2,45,1,1,2,1,0,0,2,2,1,0,99,99,19,59,99,99,0,0,0,0,1,6,1,10219,0,0,2001,1088,0000000,,
1,25,4,13,23,0,2,2,0,1,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,6,1,10246,0,20,2001,SR-5,0000000,,
4,13,4,13,18,34,2,3,0,0,13,6,0,12,4,2,1,3,3,40,1,1,2,1,20,3,0,1,1,0,18,33,18,36,99,99,0,0,0,0,1,6,0,40213,370,0,2001,CACTUS RD,0000000,33.596997222,-112.0053944
4,21,4,13,21,0,1,2,1,0,6,9,3,8,0,9,1,9,9,99,9,9,9,9,99,9,0,9,9,0,99,98,99,98,99,98,0,0,0,0,1,6,1,40214,0,0,2001,SACATE RD,0000000,,
4,12,4,13,22,5,2,3,0,1,2,2,0,12,4,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,22,5,22,13,99,99,0,0,0,0,1,6,0,40215,0,999,2001,US-95,0000000,,
4,13,4,13,22,25,1,2,1,0,14,6,0,8,0,1,99,5,3,45,1,1,2,1,0,0,0,3,1,0,22,26,22,27,99,99,0,0,0,0,1,6,1,40216,290,0,2001,BROADWAY RD,0000000,33.408061111,-111.7877917
5,85,4,13,16,50,3,9,0,1,1,1,0,12,1,1,1,2,2,70,1,1,1,1,0,0,0,1,1,0,16,51,17,3,99,99,0,0,0,0,1,6,0,50121,2350,1826,2001,I-40-41,0000000,34.800713889,-91.74917778
5,27,4,13,16,55,1,2,0,0,6,4,0,32,0,1,4,1,2,55,2,2,2,1,0,0,0,1,1,0,16,55,17,5,99,99,0,0,0,0,1,6,1,50122,0,0,2001,CR 3,0000000,33.037202778,-93.35186111
5,133,4,13,18,0,3,6,0,1,2,2,0,12,6,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,18,13,18,21,99,99,0,0,0,0,1,6,0,50123,0,41,2001,US-71-05,0000000,33.846661111,-94.151075
5,57,4,13,19,0,1,1,0,0,4,3,0,1,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,19,15,19,28,20,50,0,0,0,0,1,6,1,50124,0,42,2001,SR-355-02,0000000,33.705075,-93.86023333
6,19,4,13,18,30,1,3,0,1,1,1,0,33,0,1,4,2,2,70,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,6,0,60779,0,192,2001,I-5,0000000,36.310372222,-120.2826667
6,59,4,13,20,40,1,6,0,1,11,1,0,1,0,1,3,3,5,65,1,1,1,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,2,6,0,60832,1380,420,2001,I-5,0000000,33.856494444,-117.9777222
6,71,4,13,21,32,1,2,1,0,13,6,0,8,0,1,1,5,2,35,1,1,2,1,99,9,2,2,1,1,99,99,99,99,0,0,0,0,0,0,1,6,1,60833,3000,0,2001,RIVERSIDE AVE,0000000,34.093194444,-117.3703861
6,71,4,13,22,14,3,8,0,0,14,6,0,12,4,2,1,1,4,45,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,6,1,61122,1947,0,2001,REDLANDS BLVD,0000000,34.063036111,-117.2436833
6,1,4,13,21,37,2,4,0,0,14,4,0,12,4,1,1,1,2,30,1,1,2,1,0,0,1,3,1,0,99,99,99,99,99,99,0,0,0,0,1,6,1,61316,0,0,2001,D ST,0000000,37.679816667,-122.0584528
