STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
1,73,4,13,20,51,1,11,8,0,0,0,,,,,,,,,,,,,1,1,18,1,5,0,12,0,0,9,9,4,0,4,13,92,20,51,0,0,4,0,0,0,10221,,,,,,2051,************,,,,0,0,0,9,8,9,99,97
1,73,4,13,20,51,1,11,8,0,0,1,20,2,86,0,0,0,0,14,14,1,0,,1,0,33,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,10221,20009,2909,1010,0,,0,000000000000,***,CAM,CP,3,9,0,0,8,0,0,96
1,43,4,13,22,0,1,13,8,0,0,0,,,,,,,,,,,,,1,1,79,2,5,0,13,0,0,9,0,4,9,4,13,92,99,99,999,99,3,0,0,0,10265,,,,,,9999,************,,,,0,0,0,0,8,0,0,96
1,43,4,13,22,0,1,13,8,0,0,1,35,30,85,0,0,0,0,12,12,1,0,1,1,0,45,2,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,10265,35471,,,,,0,000000000000,720,S4U,PK,3,9,0,0,8,0,0,96
4,13,4,13,17,23,1,14,8,0,0,0,,,,,,,,,,,,,1,1,32,1,5,0,12,0,0,9,9,4,1,4,13,92,20,12,2,49,3,0,0,0,40186,,,,,,2012,************,,,,0,0,0,8,8,0,0,29
4,13,4,13,17,23,1,14,8,0,0,1,20,4,89,0,0,0,0,12,12,1,0,,1,0,29,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,40186,20019,2595,1034,0,,0,000000000000,***,CSA,4D,8,9,0,8,8,0,0,96
5,27,4,13,19,45,1,6,5,0,0,1,2,14,77,0,0,0,0,0,0,0,0,1,1,0,99,1,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,50232,2402,,,,,0,000000000000,JEE,CJ5,UT,0,9,0,8,8,0,0,96
5,27,4,13,19,45,1,6,5,0,0,1,2,14,77,0,0,0,0,0,0,0,0,1,2,0,36,1,2,13,0,0,0,9,0,4,1,4,16,92,99,99,999,99,0,0,0,0,50232,2402,,,,,9999,************,JEE,CJ5,UT,0,9,0,8,8,0,0,96
6,99,4,13,16,40,1,16,8,0,0,0,,,,,,,,,,,,,1,1,3,1,5,0,12,0,0,9,0,4,1,4,13,92,17,35,0,55,10,3,15,0,60954,,,,,,1735,************,,,,0,0,0,8,8,0,0,96
6,99,4,13,16,40,1,16,8,0,0,1,12,6,82,0,0,0,0,12,14,1,0,,1,0,31,2,1,11,0,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,8,60954,12011,2965,1055,0,,0,000000000000,***,GRA,SW,3,9,0,8,8,0,0,96
6,99,4,13,16,40,1,16,8,0,0,1,12,6,82,0,0,0,0,12,14,1,0,,2,0,10,2,2,13,0,0,0,9,8,0,0,0,0,0,0,0,,,0,0,0,8,60954,12011,2965,1055,0,,0,000000000000,***,GRA,SW,3,9,0,8,8,0,0,96
6,73,4,13,20,30,1,6,1,0,0,1,52,3,86,1,0,0,0,13,13,1,0,,1,0,19,2,1,11,0,0,0,2,1,2,1,0,0,0,0,0,,,0,0,0,8,60959,52031,2915,959,0,,0,000000000000,***,STA,2H,3,9,0,8,8,0,0,0
6,73,4,13,20,30,1,6,1,0,0,1,52,3,86,1,0,0,0,13,13,1,0,,2,0,20,1,2,21,0,0,0,9,8,4,0,4,13,92,20,30,0,0,0,0,0,0,60959,52031,2915,959,0,,2030,************,***,STA,2H,2,9,0,8,8,1,1,6
6,73,4,13,20,30,1,6,1,0,0,1,52,3,86,1,0,0,0,13,13,1,0,,3,0,21,1,2,13,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,60959,52031,2915,959,0,,0,000000000000,***,STA,2H,3,9,0,8,8,0,0,96
6,73,4,13,20,30,1,6,1,0,0,1,52,3,86,1,0,0,0,13,13,1,0,,4,0,19,2,2,23,0,0,0,9,8,1,1,0,0,0,0,0,,,0,0,0,8,60959,52031,2915,959,0,,0,000000000000,***,STA,2H,2,9,0,8,8,0,0,96
6,1,4,13,20,10,1,15,8,0,0,0,,,,,,,,,,,,,1,1,25,1,5,0,12,0,0,9,9,4,1,4,14,92,0,24,4,14,3,10,0,9,61019,,,,,,24,************,,,,0,0,0,9,8,1,1,20
