STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,latitude,longitud
6,25,4,13,18,30,1,2,0,0,6,4,0,35,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,60840,0,0,2004,BEAL RD,99999999999999999999,0000000,33.273155556,-115.4442694
6,37,4,13,21,45,1,3,2,0,16,6,0,38,0,3,4,1,2,35,1,9,9,1,0,0,0,3,1,4,99,99,99,99,99,99,0,15,0,0,1,3,1,60853,1980,0,2004,INDEPENDENCE AVE,SHERMAN WAY,0000000,34.201175,-118.5906167
6,107,4,13,21,0,1,1,0,0,3,4,0,1,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,99,99,99,1,3,1,60911,0,0,2004,AVENUE 416,99999999999999999999,0000000,36.546116667,-119.4164778
6,59,4,13,19,45,2,4,0,0,13,6,0,12,5,1,1,5,4,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,2,3,0,60990,80,0,2004,W BALL RD,99999999999999999999,0000000,33.817313889,-118.0013806
6,33,4,13,18,12,2,2,0,1,2,3,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,61001,0,313,2004,SR-29,99999999999999999999,0000000,38.943561111,-122.7952889
6,53,4,13,19,47,3,3,0,1,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,2,3,1,61021,0,993,2004,SR-1,99999999999999999999,0000000,36.844255556,-121.77095
6,71,4,13,21,32,1,2,1,0,14,6,0,9,0,1,1,1,2,45,1,1,2,1,0,0,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,61366,1603,0,2004,I AVENUE,99999999999999999999,0000000,34.405822222,-117.2858
8,59,4,13,20,2,1,1,0,0,5,4,0,1,0,1,6,1,2,40,2,2,2,1,28,3,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,3,1,80148,0,0,2004,STAGECOACH RD,99999999999999999999,0000000,39.653055556,-105.3594444
12,71,4,13,21,52,1,1,0,0,13,2,0,33,0,3,3,2,3,45,1,1,2,2,2,3,0,2,2,0,99,99,99,99,99,99,0,0,0,0,1,3,1,120815,0,99999,2004,US-41,GLADIOLUS DR,0000000,26.5276,-81.871375
12,86,4,13,16,30,2,3,0,0,13,3,0,12,4,2,1,2,3,30,1,1,2,2,20,3,0,1,1,0,19,5,19,5,99,99,0,0,0,0,1,3,0,120816,1340,99999,2004,SR-932,49TH ST,0000000,25.866613889,-80.30839167
12,71,4,13,17,45,2,2,0,0,3,8,0,12,5,2,1,2,3,40,1,1,2,2,28,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,120818,457,99999,2004,CAPE CORAL PKWY,SW 1ST CT,0000000,26.562725,-81.97761111
17,91,4,13,23,27,1,1,0,0,14,4,0,30,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,23,27,23,99,0,0,0,0,0,0,1,3,1,170276,0,0,2004,3,99999999999999999999,0000000,41.088447222,-87.82221667
17,31,4,13,23,8,2,4,0,0,16,6,0,12,2,4,1,1,2,35,1,1,2,1,0,0,0,3,1,0,23,11,23,99,99,99,0,0,0,0,1,3,1,170277,1670,0,2004,MILWAUKEE AVE,99999999999999999999,0000000,,
17,117,4,13,23,45,1,1,0,0,4,3,0,35,0,1,4,1,2,55,1,1,2,1,0,0,0,2,1,0,23,48,23,99,0,0,0,0,0,0,1,3,1,170278,0,53,2004,SR-735,99999999999999999999,0000000,39.1685,-89.98885833
17,31,4,13,19,50,1,1,0,0,16,6,0,19,0,4,5,1,2,30,1,2,2,1,0,0,0,1,1,0,19,50,19,99,99,99,0,0,0,0,1,3,0,170403,2770,0,2004,SCHUBERT,99999999999999999999,0000000,41.929188889,-87.81033333
19,155,4,13,21,6,2,2,0,1,11,1,0,12,5,13,1,2,2,55,1,1,1,1,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,190073,0,495,2004,I-29,30TH AVE,0000000,41.229894444,-95.85193056
20,103,4,13,20,37,1,2,1,1,1,1,0,8,0,1,1,3,2,70,1,1,2,1,0,0,0,2,1,0,20,37,20,51,0,0,0,0,0,0,1,3,0,200069,0,402.59985352,2004,I-70,WYANDOTTE CO LINE,0000000,39.081525,-94.96868056
