STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
1,73,4,13,92,20,51,1,2,1,11,1,0,8,0,1,1,2,3,55,1,1,2,1,0,0,0,2,1,0,21,57,22,0,0,0,0,0,0,0,1,2,0,10221,2477,1716,I65,0000000,1
1,43,4,13,92,22,0,1,2,2,13,3,0,8,0,1,1,1,2,55,1,2,2,1,0,0,0,2,1,0,22,10,22,14,0,0,0,0,0,0,1,2,0,10265,99999,830,69,0000000,1
4,13,4,13,92,17,23,1,2,3,14,6,0,8,0,1,1,2,3,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,40186,0,370,N35THAVE,0000000,1
5,27,4,13,92,19,45,1,2,5,6,4,0,5,0,2,1,1,2,99,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,50232,0,0,16,0000000,0
6,99,4,13,92,16,40,1,3,5,16,6,0,8,0,1,1,1,2,25,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60954,0,2200,ROSEDALEAV,0000000,1
6,73,4,13,92,20,30,1,4,5,6,4,0,1,0,1,2,1,2,40,2,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,60959,0,0,LA NORIA,0000000,0
6,1,4,13,92,20,10,1,2,3,15,6,0,8,0,1,1,1,4,30,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,61019,0,2480,90TH AVE,0000000,1
12,25,4,13,92,22,4,1,3,3,14,3,0,8,0,1,1,2,3,30,2,1,2,1,40,3,0,3,1,0,22,5,22,14,99,99,0,0,0,0,1,2,0,120511,99999,2020,COLLINSAVE,0000000,2
12,9,4,13,92,17,14,2,3,2,12,2,0,12,4,1,1,2,6,45,1,1,2,1,0,0,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,2,1,120744,99999,1990,SR5,0000000,0
12,1,4,13,92,17,10,1,1,5,6,6,0,42,0,3,6,1,2,30,1,1,2,1,40,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,120763,99999,1370,MANEST,0000000,0
12,11,4,13,92,20,38,1,3,2,12,2,0,8,0,1,1,2,6,40,1,1,2,1,0,0,2,3,1,0,20,38,20,40,0,0,0,0,0,0,1,2,0,120783,99999,1050,SOFEDHWY,0000000,2
18,155,4,13,92,16,43,1,1,9,99,4,0,1,0,1,6,1,2,55,2,2,2,1,0,0,0,1,1,0,16,44,16,58,99,99,0,0,0,0,1,2,0,180183,0,0,FAIRVIEW,0000000,0
31,151,4,13,92,18,0,1,2,5,6,4,0,1,0,3,4,1,2,50,1,1,4,1,0,0,0,1,1,0,18,4,18,14,19,0,0,0,0,0,1,2,1,310059,0,0,CO RD 1400,0000000,0
36,87,4,13,92,18,47,2,3,3,14,2,0,12,2,1,1,1,2,55,1,1,1,1,0,0,0,1,1,0,18,51,18,56,19,25,0,0,0,0,1,2,0,360393,76,0,202,0000000,0
36,47,4,13,92,17,19,1,3,2,13,6,0,8,0,3,1,2,3,35,1,1,2,1,3,3,0,1,1,0,16,47,16,54,17,16,0,0,0,0,2,2,0,360462,0,4170,LINDEN BLV,0000000,2
37,49,4,13,92,16,25,2,7,3,13,2,0,13,2,1,1,2,2,55,1,1,2,1,0,0,0,1,1,0,16,26,16,32,99,99,0,0,0,0,3,2,0,370289,2245,0,US70,0000000,0
39,141,4,13,92,20,18,1,2,5,6,4,0,42,0,1,6,1,2,55,2,1,9,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,390675,0,0,EASTERDAY,0000000,0
41,35,4,13,92,20,39,1,5,4,4,4,0,1,0,1,2,1,2,55,2,2,2,1,40,3,0,2,1,0,20,40,20,45,21,36,0,0,0,0,2,2,1,410111,110,0,HARPOLD RD,0000000,0
42,97,4,13,92,17,10,1,1,5,5,3,0,1,0,1,6,1,2,40,2,3,2,1,0,0,0,1,1,0,17,18,17,22,20,0,0,0,0,0,1,2,0,420315,120,0,4012,0000000,0
45,19,4,13,92,18,19,2,2,2,13,2,0,12,4,2,1,1,2,45,1,2,2,1,3,3,0,1,1,0,18,20,18,26,99,99,0,0,0,0,1,2,1,450172,215,1710,17,0000000,0
47,179,4,13,92,20,25,3,9,3,15,4,0,12,6,1,1,1,2,30,1,1,2,1,0,0,1,5,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,470245,44,0,AUSTINSPRI,0000000,0
54,91,4,13,92,19,55,1,2,2,3,2,0,24,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,19,57,20,4,20,15,0,0,0,0,1,2,1,540090,52,0,119,0000000,0
