STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,97,4,13,20,56,2,2,0,0,16,6,0,12,8,1,1,1,4,20,2,1,2,1,0,0,3,1,0,0,99,99,20,58,99,99,0,0,0,0,1,2,0,10437,2550,2009,0,7456,99999999999999999999,0000000,30.74068889,-88.08419167,2,1
4,13,4,13,20,56,2,3,0,0,14,6,0,12,5,8,1,5,4,40,1,1,2,1,0,0,3,1,0,0,20,57,21,5,21,28,0,0,0,0,1,2,0,40276,370,2009,0,91ST AVE,99999999999999999999,0000000,33.46614722,-112.2552444,2,1
6,29,4,13,22,45,1,4,1,1,12,3,0,8,0,1,1,3,3,70,1,1,2,1,0,0,2,1,0,0,99,99,99,99,88,88,0,19,23,0,1,2,0,60626,0,2009,326,SR-99,99999999999999999999,0000000,35.46128889,-119.1134611,1,1
6,37,4,13,22,15,2,2,1,1,12,2,0,12,3,1,1,3,5,55,1,1,1,1,0,0,3,1,0,0,99,99,99,99,88,88,0,19,23,0,1,2,0,60863,1980,2009,112,US-101,99999999999999999999,0000000,34.148,-118.3720306,2,1
12,69,4,13,18,53,2,2,0,0,6,4,0,12,6,1,1,1,2,55,2,1,2,1,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,120548,0,2009,99999,CR-452,99999999999999999999,0000000,28.90609722,-81.76974722,2,1
12,7,4,13,17,0,1,1,0,1,2,2,0,53,0,1,4,2,2,65,1,1,2,2,0,0,1,2,0,0,17,6,17,13,99,99,0,0,0,0,1,2,0,120549,0,2009,99999,US-301,99999999999999999999,0000000,30.09955556,-82.05447778,1,2
12,51,4,13,18,16,1,2,0,0,6,4,0,5,0,1,1,1,2,35,1,1,2,1,28,3,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,120782,0,2009,99999,SOUTH CHURCH RD,99999999999999999999,0000000,26.54269722,-81.53095833,1,1
13,245,4,13,18,39,1,2,0,1,13,3,0,24,0,1,2,2,2,55,2,2,2,2,0,0,1,1,0,0,18,39,18,48,19,17,0,0,0,0,1,2,0,130262,310,2009,11,SR-4,99999999999999999999,0000000,33.28619722,-82.29,1,1
13,321,4,13,20,30,1,1,0,0,6,4,0,32,0,1,4,1,2,55,2,2,2,2,0,0,2,2,0,0,88,88,88,88,88,88,0,0,0,0,1,2,1,130300,0,2009,14,PEAFOWL RD,99999999999999999999,0000000,31.56515278,-83.96715278,1,2
23,31,4,13,17,45,1,1,0,1,1,1,0,1,0,1,1,2,2,65,1,2,2,1,0,0,1,1,0,0,17,51,18,0,18,24,0,0,0,0,1,2,0,230022,7200,2009,0,I-95 NB,99999999999999999999,0000000,43.54854722,-70.45532222,1,1
