STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
24,33,4,13,19,8,1,3,0,1,12,3,0,42,0,1,6,3,2,45,1,1,2,2,0,0,5,2,0,0,99,99,99,99,99,99,0,19,0,0,1,2,0,240217,565,2009,120,SR-210,99999999999999999999,0000000,38.79503611,-76.99883889,1,2
26,81,4,13,20,9,1,1,0,1,1,1,0,34,0,1,6,2,2,70,1,1,2,1,0,0,5,1,0,0,20,10,20,25,88,88,0,0,0,0,1,2,1,260134,785,2009,175,I-96,99999999999999999999,0000000,42.91845278,-85.54474444,1,1
34,35,4,13,21,5,1,1,0,0,15,4,0,42,0,1,4,1,2,45,1,1,2,1,0,0,2,1,0,0,21,16,99,97,99,97,0,0,0,0,1,2,0,340164,0,2009,0,533,99999999999999999999,0000000,40.44629444,-74.61171667,1,1
34,29,4,13,20,47,3,5,0,1,13,3,0,12,5,2,1,3,2,50,1,1,2,1,3,3,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,340172,1590,2009,522,SR-70,AIRPORT RD,0000000,40.05311111,-74.17904444,3,1
35,39,4,13,23,0,2,5,0,1,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,3,2,2,350051,213,2009,3540,SR-96,99999999999999999999,0000000,36.19864167,-106.7504583,2,1
35,1,4,13,17,0,1,1,0,1,13,6,0,33,0,1,4,1,2,35,1,2,2,1,0,0,1,1,0,0,88,88,88,88,88,88,0,0,0,0,1,2,0,350078,30,2009,0,MOUNTAIN NE,99999999999999999999,0000000,35.09435,-106.6460028,1,1
37,129,4,13,18,57,1,1,0,0,6,4,0,27,0,1,5,1,2,35,2,1,2,1,0,0,1,1,0,0,19,0,19,7,19,36,0,0,0,0,1,2,0,370220,0,2009,99999,RP-2003,99999999999999999999,0000000,34.25962778,-77.86731667,1,1
37,161,4,13,19,16,1,2,0,0,5,4,0,1,0,1,4,1,2,55,2,2,2,2,0,0,1,2,1,0,19,15,19,24,20,25,0,0,0,0,1,2,1,370227,0,2009,99999,RP-1008,99999999999999999999,0000000,35.43542778,-82.15730556,1,2
45,51,4,13,21,55,1,2,1,1,2,2,0,8,0,1,1,2,2,45,1,1,2,2,0,0,3,2,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,450202,0,2009,99999,US-17,99999999999999999999,0000000,33.65760278,-78.9287,1,2
47,145,4,13,19,40,3,3,0,1,2,2,0,12,5,3,1,5,2,55,2,1,2,2,0,0,1,2,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,470174,0,2009,15,US-SR29,TEASLEY RD,0000000,35.81152222,-84.73335278,3,2
47,109,4,13,21,0,2,2,0,0,5,6,0,12,2,1,1,1,2,45,1,1,2,1,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,1,470444,2160,2009,99999,PEACH AVE,99999999999999999999,0000000,35.19020556,-88.60263333,2,1
48,215,4,13,19,2,1,3,0,0,16,5,0,5,0,1,1,1,2,30,1,1,2,1,0,0,1,1,0,0,88,88,88,88,88,88,0,0,0,0,1,2,0,480684,5330,2009,0,BRONZE,99999999999999999999,0000000,26.22860278,-98.18372778,1,1
48,439,4,13,16,29,1,1,0,1,13,2,0,37,0,1,4,1,4,55,1,2,2,9,0,0,9,9,0,0,88,88,88,88,88,88,0,0,0,0,1,2,0,480685,590,2009,69,US-377,99999999999999999999,0000000,32.65848889,-97.49145278,1,9
48,453,4,13,18,58,1,1,0,1,13,8,0,1,0,1,1,5,4,55,2,2,2,1,0,0,1,1,0,0,88,88,88,88,88,88,0,0,0,0,1,2,0,480686,330,2009,30,FM2222,99999999999999999999,0000000,30.3825,-97.81576389,1,1
48,441,4,13,22,13,2,4,0,1,2,2,0,12,5,2,1,2,2,65,2,1,2,1,20,3,3,1,0,0,22,28,22,31,22,55,0,0,0,0,1,2,1,480801,0,2009,81,US-83,IBERIS,0000000,32.34328611,-99.74284444,2,1
48,201,4,13,20,50,1,1,0,1,11,7,0,33,0,1,4,4,3,45,1,1,1,1,0,0,2,1,0,0,21,0,21,18,21,49,0,0,0,0,1,2,0,482203,3280,2009,98,I-10,99999999999999999999,0000000,29.78544722,-95.65088333,1,1
51,165,4,13,20,0,1,2,0,0,3,2,0,38,0,1,4,1,2,60,1,1,2,1,0,0,2,1,0,0,99,99,21,8,99,99,0,0,0,0,1,2,1,510193,0,2009,476,US-340,99999999999999999999,0000000,38.42131944,-78.62365833,1,1
