STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10212,2,2,0,0,0,4,4,79,0,13,4,2012,6,23,45,1,2,3,SR-24,CR-217,571,34.51621111,-87.20598056,0,12,1,0,3,1,0,1,6,1,0,1,0,0000000,99,99,23,55,99,99,0,0,0,1,0
1,10213,1,1,0,0,0,2,2,5,0,13,4,2012,6,18,15,0,4,3,SR-51,,542,31.93489722,-85.49785,0,1,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,18,28,99,99,0,0,0,1,1
1,10270,1,1,0,0,0,1,1,73,350,13,4,2012,6,22,40,0,15,6,PRATT HIGHWAY,,0,33.54756389,-86.90003056,0,1,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,22,42,99,99,0,0,0,1,0
5,50119,1,1,0,0,0,2,2,15,0,13,4,2012,6,16,57,1,2,2,US-412-05,,151,36.205,-93.35597778,0,1,0,0,1,1,0,4,1,1,0,1,0,0000000,16,44,16,57,99,99,0,0,0,1,0
6,60572,2,2,0,0,0,2,2,73,3260,13,4,2012,6,18,6,0,14,6,UNIVERSITY AVE,,0,32.74776667,-117.0760139,0,12,2,0,1,1,0,1,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,60575,1,1,0,0,0,1,1,65,0,13,4,2012,6,22,50,0,4,4,CR-OLD ELSINORE RD,,0,33.82916944,-117.2857917,0,42,0,0,1,1,0,5,2,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
10,100027,1,1,0,0,0,1,1,3,0,13,4,2012,6,21,21,0,6,3,SR-15,LLOYD GUESSFORD RD,27,39.36204722,-75.71259444,0,42,0,0,3,4,0,5,2,1,0,1,0,0000000,21,22,21,32,22,11,0,0,0,1,0
12,120970,2,2,0,0,0,2,2,99,290,13,4,2012,6,22,48,0,14,2,US-1,NE 70TH ST,99998,26.41224722,-80.07580278,0,12,6,0,3,3,0,1,3,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,2
13,130310,1,1,0,0,0,1,1,77,0,13,4,2012,6,19,18,0,6,4,CR-125 / WALTON RD,,10,33.32981111,-84.749375,0,34,0,0,1,1,0,4,1,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
17,170187,1,1,0,0,0,3,3,201,0,13,4,2012,6,21,13,0,6,5,SOUTH GATE RD,,0,42.43011667,-88.97385833,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,21,13,99,99,99,99,0,0,0,1,0
18,180168,1,1,0,0,0,1,1,3,1580,13,4,2012,6,20,20,0,16,5,LOWER HUNTINGTON RD,ELZEY ST,0,41.02024167,-85.17396667,0,33,0,0,3,3,0,4,2,10,0,10,0,0000000,20,20,20,25,99,99,0,0,0,1,0
20,200079,1,1,0,1,1,1,1,173,5880,13,4,2012,6,20,52,0,16,6,GROVE ST,8TH ST,0,37.69911667,-97.30812778,0,8,0,0,3,3,0,1,3,1,0,1,0,0000000,20,53,20,55,88,88,0,0,0,1,0
20,200090,2,2,0,0,0,3,3,169,0,13,4,2012,6,20,58,1,2,2,US-81B,,77,38.80869444,-97.62916111,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,21,2,21,9,88,88,0,0,0,1,1
21,210166,1,1,0,0,0,1,1,163,0,13,4,2012,6,21,3,0,5,3,SR-144,,37,38.01734167,-86.43238889,0,35,0,0,1,1,0,4,2,2,0,2,0,0000000,21,4,21,20,88,88,0,0,0,1,0
22,220156,1,1,0,1,1,1,1,109,0,13,4,2012,6,22,12,1,13,3,SR-24,,51,29.67491111,-90.77966944,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,22,17,22,24,22,45,16,0,0,1,0
22,220157,2,2,0,0,0,2,2,67,0,13,4,2012,6,23,15,0,4,2,US-425,SR-3051,938,32.73885,-91.78375,0,12,6,0,2,2,0,1,2,1,0,1,0,0000000,23,26,23,43,0,45,0,0,0,1,0
29,290191,2,2,0,1,1,2,2,95,4120,13,4,2012,6,23,27,1,11,1,I-435,,96,39.01367222,-94.497025,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,23,31,23,45,88,88,0,0,0,1,0
32,320166,1,1,0,1,1,1,1,3,120,13,4,2012,6,17,40,0,14,6,OWENS AVE,,0,36.18831111,-115.1040639,0,8,0,0,1,1,0,4,1,10,0,10,0,0000000,17,41,17,44,18,1,0,0,0,1,0
32,320211,1,1,0,0,0,1,1,3,141,13,4,2012,6,20,29,0,16,6,MESA BLVD,,0,36.81626944,-114.0633417,0,1,0,0,1,1,0,4,3,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
36,360235,2,2,0,0,0,5,5,63,3340,13,4,2012,6,21,16,0,3,3,SR-31,,0,43.14453889,-78.77731111,0,12,2,0,1,1,0,1,2,10,0,10,0,0000000,21,16,21,16,22,13,0,0,0,1,1
36,360237,1,1,0,0,0,1,1,103,360,13,4,2012,6,19,3,0,16,5,OCEAN PKWY,,0,40.627125,-73.36664444,0,59,0,0,1,1,0,4,1,1,0,1,0,0000000,19,19,19,30,88,88,0,0,0,1,0
36,360279,1,1,0,0,0,1,1,103,5769,13,4,2012,6,20,46,0,3,4,CR-67,,0,40.81021667,-73.28201667,0,58,0,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
37,370252,2,2,0,1,1,3,3,21,0,13,4,2012,6,22,47,1,1,1,I-26,,99999,35.52779722,-82.59846667,0,8,0,1,17,1,0,1,2,1,0,1,0,0000000,23,18,23,43,0,14,0,0,0,1,0
37,370273,1,1,0,1,1,4,4,81,4504,13,4,2012,6,19,10,0,6,4,CR-2127,,99999,36.18337222,-79.92975833,0,9,0,0,1,1,0,1,1,1,0,1,0,0000000,19,6,19,21,19,51,0,0,0,1,0
37,370275,2,2,0,0,0,4,4,81,0,13,4,2012,6,17,24,0,14,6,SANDY RODGE ROAD,NORCROSS BLVD,99999,36.09038889,-79.99607778,0,12,6,0,2,3,0,1,1,1,0,1,0,0000000,17,15,17,24,17,59,0,0,0,1,0
37,370325,1,1,0,0,0,1,1,191,0,13,4,2012,6,23,18,0,3,3,SR-1932,,99999,35.23705,-78.00000833,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,23,13,23,18,0,24,0,0,0,1,0
39,390140,1,1,0,0,0,1,1,61,1610,13,4,2012,6,23,4,0,14,6,KELLOGG AVE,,0,39.08683611,-84.42224444,0,1,0,0,1,1,0,4,2,10,0,10,0,0000000,23,8,23,14,23,35,0,0,0,1,0
39,390182,1,1,0,0,0,2,2,153,70,13,4,2012,6,21,34,0,16,6,HILBISH AVE,,0,41.04165556,-81.45395278,0,33,0,0,1,1,0,4,2,10,0,10,0,0000000,21,36,21,42,22,8,0,0,0,2,1
39,390183,2,2,0,0,0,2,2,119,0,13,4,2012,6,16,35,0,13,3,SR-60 S RIVER RD,SR-555 CENTER RD,146,39.91076667,-82.0013,0,12,6,0,2,3,0,1,1,1,0,1,0,0000000,16,36,16,41,16,58,0,0,0,1,1
41,410083,1,1,0,0,0,1,1,57,0,13,4,2012,6,18,40,1,2,2,US-101 (ODOT 9),,532,45.56888056,-123.9420194,0,1,0,0,1,1,0,4,1,10,0,10,0,0000000,18,44,19,20,99,99,0,0,0,1,1
42,420291,1,1,0,0,0,1,1,115,0,13,4,2012,6,21,52,0,3,3,SR-171 STATE ST,,314,41.95889167,-75.70435278,0,34,0,0,1,1,0,4,2,1,0,1,0,0000000,22,1,22,9,88,88,0,0,0,1,1
42,420302,1,1,0,0,0,1,1,129,6087,13,4,2012,6,23,22,0,14,3,SR-3049,,21,40.30703889,-79.73782778,0,32,0,0,1,1,0,6,3,1,0,1,0,0000000,23,23,23,27,99,96,0,0,0,1,1
48,480742,3,1,2,0,1,1,2,85,1730,13,4,2012,6,22,48,0,16,5,DUFFIELD DR,MCCALLUM BLVD,0,32.98781111,-96.79125556,0,33,0,0,3,4,0,4,3,10,0,10,0,0000000,99,99,99,99,99,99,14,0,0,1,1
48,480846,2,2,0,0,0,4,4,163,0,13,4,2012,6,20,44,0,4,8,FM 1582,,121,28.74884167,-98.95787778,0,44,0,0,1,1,0,1,2,1,0,1,0,0000000,21,4,21,32,22,21,0,0,0,3,1
53,530085,1,1,0,0,0,1,1,63,0,13,4,2012,6,22,52,0,4,4,CR-W DENISON CHATTAROY,,5,47.90373333,-117.427575,0,42,0,0,1,1,0,5,2,1,0,1,0,0000000,22,54,23,1,88,88,0,0,0,1,1
