STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,WEATHER,latitude,longitud
4,13,4,13,19,99,2,2,0,0,6,9,0,12,1,1,1,1,2,45,1,1,2,1,0,0,0,2,1,0,0,19,28,19,44,99,99,0,0,0,0,1,6,0,40418,0,0,2007,AIRPORT RD,99999999999999999999,0000000,2,1,33.33759444,-112.5043500
6,107,4,13,17,45,1,2,0,0,4,4,0,30,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,60780,0,0,2007,AVENUE 152,99999999999999999999,0000000,1,1,36.06586389,-119.1397444
6,95,4,13,19,20,2,2,0,0,4,4,0,12,3,1,1,1,2,55,1,1,2,1,40,3,0,5,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,2,60781,0,0,2007,GRIZZLY ISLAND RD,99999999999999999999,0000000,2,1,38.23580833,-122.0204056
6,13,4,13,21,32,1,1,0,1,11,1,0,25,0,1,4,3,3,65,1,1,1,1,0,0,0,2,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,1,60782,0,114,2007,I-80,99999999999999999999,0000000,1,1,38.02948611,-122.2560278
6,71,4,13,23,55,1,1,0,1,11,1,0,24,0,1,3,3,3,70,2,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,60783,260,749,2007,I-15,99999999999999999999,0000000,1,1,34.42650833,-117.3804167
11,1,4,13,20,49,1,2,1,0,16,6,0,8,0,3,1,1,2,25,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,110013,10,0,2007,MINNESOTA AVENUE S.E,30TH STREET,0000000,1,1,38.87645278,-76.96470278
12,115,4,13,17,54,2,2,0,0,6,4,0,12,6,2,1,2,2,45,1,1,2,1,20,3,0,1,1,0,0,17,55,18,0,99,99,0,0,0,0,1,6,0,120511,0,99999,2007,BENEVA RD,MARKRIDGE RD,0000000,2,1,27.25975278,-82.49764444
12,101,4,13,23,26,2,3,0,0,13,2,0,13,6,1,1,2,2,50,1,1,2,1,0,0,0,3,1,0,0,23,27,23,32,99,99,0,0,0,0,1,6,1,120569,1755,99999,2007,US-41,SWANS LANDING DR,0000000,2,1,28.20844444,-82.46205278
12,15,4,13,16,22,2,2,0,0,14,3,0,12,6,2,1,2,2,55,1,1,2,1,20,3,0,1,1,0,0,16,24,16,30,99,99,0,0,0,0,1,6,1,120570,0,99999,2007,SR-776,FLAMINGO BLVD,0000000,2,1,27.00399722,-82.17237222
12,107,4,13,22,32,1,2,0,0,13,3,0,27,0,1,2,1,2,45,2,2,2,1,0,0,0,3,1,0,0,22,32,22,44,99,99,0,20,0,0,2,6,1,120571,2776,99999,2007,SR-100,EAST END RD,0000000,1,1,29.60166944,-81.58170278
12,105,4,13,20,13,2,2,0,0,6,4,0,12,5,1,1,1,2,40,2,1,2,1,0,0,0,2,1,0,0,20,18,20,28,99,99,0,0,0,0,1,6,0,120735,0,99999,2007,ROCKRIDGE RD,US-98,0000000,2,1,28.18932500,-82.00569722
12,61,4,13,17,56,2,2,0,0,12,6,0,12,5,10,1,1,2,45,1,1,2,1,20,3,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,121142,0,99999,2007,CR-510,CR-5A,0000000,2,1,27.74839722,-80.43628611
12,11,4,13,22,52,1,1,0,1,12,1,0,1,0,5,2,6,2,50,2,2,2,1,0,0,0,2,1,0,0,22,57,23,5,0,0,0,0,0,0,1,6,0,121143,1050,99999,2007,i-595,SR-862,0000000,1,1,,
13,157,4,13,17,45,2,2,0,1,1,1,0,13,5,1,1,2,2,70,1,2,2,1,0,0,0,1,1,0,0,17,45,17,53,18,38,0,0,0,0,1,6,1,130352,0,116,2007,I-85 / SR-403,99999999999999999999,0000000,2,1,34.17165556,-83.61592778
18,5,4,13,21,40,1,1,0,0,16,4,0,42,0,1,6,1,2,45,2,2,2,1,28,3,0,2,1,0,0,21,43,21,49,99,99,0,0,0,0,1,6,1,180223,990,0,2007,cr-500,cr-1150,0000000,1,1,39.27453333,-85.70152500
20,205,4,13,23,38,2,3,0,1,2,2,0,12,5,2,1,1,2,65,1,1,2,2,20,3,0,3,1,0,0,23,38,23,40,0,53,0,0,0,0,1,6,1,200085,0,3603,2007,US-400,HARPER RD,0000000,2,1,37.55513611,-95.83337222
20,207,4,13,22,46,2,7,0,1,2,2,0,12,5,1,1,1,2,65,1,2,2,3,0,0,0,2,4,0,0,22,49,22,56,23,43,0,0,0,0,1,6,0,200086,0,791,2007,US-75,US-54,0000000,2,4,37.95287500,-95.73946389
20,155,4,13,18,5,2,2,0,1,2,2,0,12,5,1,1,1,2,65,1,1,2,3,0,0,0,1,4,0,0,18,8,18,29,0,0,0,0,0,0,1,6,0,200087,0,2187,2007,US-50,LANDGON RD,0000000,2,4,37.98454722,-98.31703056
20,17,4,13,17,20,2,2,0,0,3,3,0,12,3,1,1,1,2,55,1,1,2,3,0,0,0,1,4,0,0,17,21,17,38,0,0,0,0,0,0,1,6,0,200095,0,83,2007,SR-150,MARION CO LINE,0000000,2,4,38.36307222,-96.81425556
21,47,4,13,17,38,1,1,0,0,14,3,0,30,0,3,4,1,2,45,1,1,2,2,40,3,0,1,1,0,0,17,39,17,41,17,58,0,0,0,0,1,6,0,210194,2455,10,2007,SR-115,VALLEY ST.,0000000,1,1,36.64971944,-87.41540000
22,37,4,13,18,35,1,3,0,0,4,3,0,34,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,0,18,43,18,57,19,59,0,0,0,0,1,6,0,220206,0,70,2007,SR-68,99999999999999999999,0000000,1,1,30.77961944,-91.21400000
26,49,4,13,21,15,1,2,1,0,14,6,0,9,0,1,1,1,2,25,1,1,9,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,2,260177,1730,29,2007,AVERILL,WYOMING,0000000,1,1,43.04569167,-83.64558056
28,75,4,13,21,22,3,7,0,1,2,2,0,12,2,1,1,2,4,65,1,2,2,1,0,0,0,2,1,0,0,21,32,21,49,22,20,0,0,0,0,3,6,1,280174,0,99999,2007,US-45,99999999999999999999,0000000,3,1,32.48317778,-88.59494722
30,53,4,13,19,39,1,1,0,0,6,4,0,38,0,1,4,1,2,25,2,1,2,1,0,0,0,1,1,0,0,19,39,19,44,20,10,0,0,0,0,1,6,0,300062,0,0,2007,5th St Extension,99999999999999999999,0000000,1,1,48.38932778,-115.5345556
31,109,4,13,20,25,2,4,0,1,2,2,0,12,5,2,1,1,4,55,1,2,1,1,20,3,0,3,1,0,0,20,32,20,50,21,14,0,0,0,0,2,6,1,310057,0,730,2007,US-77,WAVERLY RD,0000000,2,1,40.92918611,-96.64331944
37,97,4,13,22,58,1,1,0,0,6,4,0,34,0,1,2,1,2,45,2,1,2,1,0,0,0,2,1,0,0,23,0,23,12,23,36,0,0,0,0,1,6,0,370511,0,99999,2007,RP-1113,RP-1100,0000000,1,1,35.55346389,-80.90484722
40,109,4,13,20,0,2,3,0,1,11,1,0,13,4,15,1,2,2,60,1,1,2,2,0,0,0,2,2,0,0,20,0,20,1,20,39,0,0,0,0,1,6,0,400141,3550,47,2007,I-240,99999999999999999999,0000000,2,2,35.39148056,-97.49099167
40,31,4,13,16,30,2,3,0,1,12,2,0,12,2,1,1,2,2,40,1,1,1,2,0,0,0,1,1,0,1,99,99,99,99,99,99,0,0,0,0,1,6,0,400394,2750,68,2007,US-62,99999999999999999999,0000000,2,1,34.63795833,-98.39278889
42,29,4,13,22,59,2,3,1,1,12,2,0,8,0,1,1,3,3,55,1,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,420320,2040,147,2007,US-30,99999999999999999999,0000000,2,1,40.01853333,-75.70317778
45,9,4,13,23,27,1,5,0,0,9,4,0,1,0,1,4,1,2,55,1,2,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,450215,0,129,2007,SR-49,BARNWELL CO LINE,0000000,1,1,33.36673889,-81.09366389
47,97,4,13,17,0,1,3,0,0,4,3,0,42,0,1,4,1,2,55,2,2,2,2,0,0,0,1,2,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,470234,0,153,2007,SR-88,99999999999999999999,0000000,1,2,35.87924167,-89.41756944
48,113,4,13,20,43,1,1,0,1,12,3,0,29,0,5,3,6,1,60,1,3,2,2,0,0,0,3,2,0,0,20,46,20,52,21,43,0,0,0,0,1,6,0,480707,3420,64,2007,SR-183,99999999999999999999,0000000,1,2,32.83706944,-96.94096111
48,157,4,13,22,2,2,5,0,0,3,8,0,12,4,8,1,1,2,60,1,1,2,1,0,0,0,2,1,0,0,22,5,22,15,22,48,0,0,0,0,1,6,1,480708,0,79,2007,FM521,99999999999999999999,0000000,2,1,29.53676389,-95.44950278
48,223,4,13,21,34,2,2,0,0,4,3,0,12,4,1,1,1,2,65,1,1,2,2,0,0,0,2,2,0,0,21,38,21,52,22,37,0,0,0,0,1,6,0,480710,0,37,2007,SR-11,99999999999999999999,0000000,2,2,33.02765278,-95.40330278
49,35,4,13,18,30,2,4,1,0,16,5,0,12,5,10,1,1,4,40,1,1,2,1,3,3,0,1,1,0,0,18,30,18,32,99,99,0,20,0,0,2,6,1,490057,1700,0,2007,1700 S,MAIN,0000000,2,1,40.73358056,-111.8910444
53,45,4,13,23,15,2,4,0,0,4,3,0,12,5,1,1,1,2,40,1,1,2,2,0,0,0,2,2,0,0,23,23,23,31,0,19,0,0,0,0,1,6,1,530151,0,180,2007,SR-106,99999999999999999999,0000000,2,2,47.43147778,-122.8429778
