STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
4,19,4,13,93,18,21,1,1,4,4,4,0,1,0,1,4,1,2,50,2,1,2,1,40,3,0,1,1,0,18,19,18,32,0,0,0,0,0,0,1,3,1,40165,0,0,MISSIONRD,0000000,0
6,59,4,13,93,21,13,2,3,3,13,6,0,12,4,2,1,1,4,35,1,1,2,1,2,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,60836,0,80,BROOKHURST,0000000,0
11,1,4,13,93,23,19,1,2,3,13,6,0,8,9,3,1,2,6,25,1,1,2,1,2,3,2,3,1,0,23,22,23,35,23,48,0,0,0,0,1,3,0,110020,0,10,21CONSTAVE,0000000,1
12,97,4,13,93,18,12,1,2,5,6,6,0,9,0,1,1,1,2,30,1,1,2,1,40,3,0,1,1,0,18,15,18,18,99,99,0,0,0,0,1,3,0,120630,99999,0,PINERIDGER,0000000,1
13,9,4,13,93,16,40,2,2,4,4,3,0,12,2,1,1,1,2,55,2,2,2,1,0,0,0,1,1,1,16,45,16,55,17,56,0,0,0,0,2,3,0,130289,21,0,384,0000000,0
18,91,4,13,93,19,24,2,3,2,3,3,0,12,2,1,1,1,2,55,1,3,2,1,28,3,0,2,1,0,19,20,19,32,20,2,0,0,0,0,2,3,0,180179,0,0,2,0000000,0
22,71,4,13,93,22,45,2,3,5,16,6,0,12,1,1,1,4,2,35,1,1,2,1,0,0,0,3,1,0,22,46,22,50,0,0,0,0,0,0,1,3,1,220243,0,1690,ORLEANS,0000000,0
24,33,4,13,93,21,5,2,2,5,16,4,0,12,2,1,1,4,2,30,2,1,2,2,0,0,0,3,2,0,21,6,21,10,99,99,0,0,0,0,1,3,1,240246,823,0,382,0000000,0
26,163,4,13,93,21,19,2,8,9,13,3,0,8,0,1,1,2,2,40,1,1,2,1,0,0,0,3,1,0,21,19,21,20,0,0,0,0,0,0,1,3,1,260228,116,2850,PLYMOUTH,0000000,1
27,171,4,13,93,23,21,1,2,4,4,4,0,1,0,1,4,1,2,55,2,2,2,2,0,0,0,2,2,0,23,25,23,43,0,0,0,0,0,0,1,3,0,270078,244,0,7,0000000,0
27,53,4,13,93,17,30,1,1,1,11,1,0,24,0,1,4,2,2,55,2,1,1,1,0,0,0,1,1,0,17,33,17,34,18,38,0,0,0,0,1,3,1,270126,119,2008,I494,0000000,0
29,510,4,13,93,19,20,1,1,3,12,6,0,26,0,1,6,1,2,35,1,1,2,1,0,0,0,3,1,0,19,19,19,26,19,41,0,0,0,0,1,3,0,290191,0,7080,BROADWAY,0000000,0
29,99,4,13,93,22,5,1,1,5,6,6,0,30,0,1,4,1,2,30,2,2,2,1,0,0,0,2,1,0,22,10,22,16,22,55,0,0,0,0,1,3,0,290192,0,0,LOCAL ROAD,0000000,0
34,5,4,13,93,17,7,2,2,2,3,4,0,12,2,1,1,1,2,50,2,3,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,340145,0,0,CR537,0000000,0
34,37,4,13,93,17,45,1,1,5,6,5,0,34,0,1,4,1,2,40,2,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,340180,0,0,ROSEMORROW,0000000,0
36,47,4,13,93,19,20,2,4,5,16,6,0,12,4,2,1,4,2,30,1,1,2,1,2,3,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,360572,0,4170,46TH ST,0000000,0
37,53,4,13,93,22,0,1,1,5,5,4,0,42,0,1,5,1,2,55,2,1,2,1,0,0,0,2,1,0,99,99,22,20,99,99,0,0,0,0,1,3,0,370285,130,0,RP1140,0000000,0
