STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
39,147,4,13,93,23,15,2,2,2,3,2,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,23,18,23,24,99,99,0,0,0,0,1,3,0,390249,162,0,224,0000000,0
39,99,4,13,93,19,40,1,2,5,6,6,0,8,0,1,1,1,2,25,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,390364,0,9230,WPRINCETON,0000000,1
42,31,4,13,93,18,15,1,1,2,3,3,0,1,0,1,1,1,2,45,2,4,2,1,0,0,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,3,0,420319,217,0,68,0000000,0
45,79,4,13,93,22,25,1,2,3,13,4,0,8,0,1,1,2,2,25,1,1,2,1,0,0,0,2,1,0,22,25,22,32,99,99,0,0,0,0,1,3,1,450227,0,520,HARDEN ST,0000000,1
47,155,4,13,93,16,40,2,2,5,5,4,0,12,2,1,1,1,2,35,1,1,2,1,0,0,0,1,1,0,16,46,16,49,17,20,0,0,0,0,1,3,1,470221,17,0,LOWERMIDDL,0000000,0
47,163,4,13,93,19,16,2,3,5,16,6,0,12,2,2,1,1,2,25,2,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,2,3,1,470246,2,290,SPRINGDALE,0000000,0
48,53,4,13,93,22,45,1,1,2,2,2,0,43,0,1,4,2,2,55,1,1,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,480651,242,0,281,0000000,0
48,93,4,13,93,19,20,1,1,2,2,3,0,42,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,480652,189,0,36,0000000,0
48,309,4,13,93,23,43,1,1,5,16,5,0,24,0,3,4,1,2,30,1,1,2,1,20,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,480654,0,7210,PARKLAKE,0000000,0
48,455,4,13,93,18,50,1,2,2,3,3,0,42,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,19,3,19,25,99,99,0,0,0,0,1,3,1,480655,222,0,94,0000000,0
