STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10107,1,1,1,2,19,610,13,4,2010,3,20,48,0,14,3,SR-9,,2634,34.22063889,-85.596322220,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,20,25,88,88,0,0,0,1,0
1,10183,2,2,0,2,89,0,13,4,2010,3,21,32,1,12,2,US-SR 2,,1119,34.70495556,-86.395283330,0,12,2,0,1,1,1,0,3,1,0,1,0,0000000,99,99,21,36,88,88,0,0,0,2,0
6,60472,2,2,0,3,19,0,13,4,2010,3,18,50,0,4,4,FLORAL AVE,CHESTNUT AVE,0,36.57640278,-119.736944440,0,12,6,0,2,2,1,0,5,1,0,1,0,0000000,18,54,99,99,99,99,0,0,0,1,0
8,80073,1,1,0,1,69,0,13,4,2010,3,22,59,0,6,4,29,,0,40.37433056,-105.192069440,0,1,0,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
8,80074,2,2,0,2,41,430,13,4,2010,3,17,7,0,13,6,W FILLMORE ST,,0,38.87598333,-104.849447220,0,12,6,0,8,1,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
13,130283,2,2,0,3,139,0,13,4,2010,3,17,10,0,14,3,SR-347,,44,99.99990000,999.999900000,0,53,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
26,260134,2,2,0,4,99,2934,13,4,2010,3,17,38,0,14,4,22 MILE,,62,42.65691667,-82.954041670,0,12,6,0,1,1,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
29,290182,2,2,0,3,71,0,13,4,2010,3,16,20,1,11,1,I-44,,242,38.44700000,-90.897083330,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
29,290183,6,6,0,7,71,0,13,4,2010,3,21,8,0,2,3,SR-100,,321,38.47755556,-90.869944440,0,12,8,0,1,1,1,1,2,1,0,1,0,0000000,21,11,21,14,21,33,0,0,0,1,1
30,300029,2,2,0,4,99,0,13,4,2010,3,17,0,1,1,1,I-15 N,,3190,47.92515833,-111.733072220,0,12,6,0,1,1,1,0,1,4,10,4,0,0000000,17,25,18,15,19,7,0,0,0,1,0
31,310038,1,1,0,2,67,0,13,4,2010,3,18,20,0,6,4,GAGE RD,,0,40.52319444,-96.910227780,0,1,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
36,360225,1,1,0,2,65,6275,13,4,2010,3,17,15,0,5,5,FOX RD,,0,43.11591111,-75.624797220,0,43,0,0,1,1,1,0,1,1,0,1,0,9999999,17,15,17,21,88,88,0,0,0,2,0
36,360271,4,4,1,4,103,705,13,4,2010,3,21,8,1,13,5,NICOLLS RD,SOUTH DR,0,40.90396111,-73.116416670,0,8,0,0,3,4,1,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
39,390174,1,1,0,1,81,0,13,4,2010,3,19,48,0,4,4,SINCLAIR-AVE,,0,40.35536389,-80.643044440,0,1,0,0,1,1,4,0,5,1,0,1,0,0000000,19,54,20,3,20,30,0,0,0,1,1
42,420206,1,1,0,3,109,0,13,4,2010,3,18,42,0,6,3,SR-2003,,31,40.75708056,-76.936066670,0,33,0,0,1,1,5,0,1,1,0,1,0,0000000,18,38,18,48,19,2,0,0,0,1,1
42,420263,1,1,0,4,5,0,13,4,2010,3,19,51,0,6,5,WIBLE RD,,0,40.81887222,-79.552208330,0,1,0,0,1,1,1,0,1,1,0,1,0,0000000,19,53,19,53,20,17,0,0,0,1,1
42,420295,2,2,0,2,107,0,13,4,2010,3,20,0,1,13,3,SR-0061,MANHEIM RD,106,40.64090278,-76.158452780,0,12,6,0,2,2,1,0,5,1,0,1,0,0000000,4,31,4,39,88,88,0,0,0,1,0
45,450179,1,1,0,2,7,0,13,4,2010,3,16,50,0,13,3,SR-28,,116,34.46417778,-82.642894440,0,34,0,0,8,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
47,470207,2,2,0,6,17,0,13,4,2010,3,17,12,0,3,2,US-SR1,SR-424,74,35.93035556,-88.494669440,0,12,6,0,2,3,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
47,470217,2,2,0,2,93,1973,13,4,2010,3,23,48,0,13,2,US-SR9,SR-131,11,36.01891944,-84.052347220,0,12,6,0,2,2,1,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
47,470235,2,2,0,3,107,0,13,4,2010,3,17,35,0,5,4,700,,25,35.40192500,-84.635838890,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
47,470379,1,1,1,1,157,1620,13,4,2010,3,21,36,1,13,2,US-SR14,,60,35.05817778,-90.059716670,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480875,1,1,1,1,121,0,13,4,2010,3,20,52,0,14,8,FM156,,159,33.13188333,-97.289547220,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
48,481486,2,2,1,1,29,2187,13,4,2010,3,20,45,0,5,8,FM1303,,1,29.21608056,-98.359908330,0,8,0,0,1,1,1,0,2,10,0,10,0,0000000,88,88,88,88,88,88,23,0,0,1,0
51,510191,1,1,0,1,177,0,13,4,2010,3,20,23,0,3,3,SR-3,,257,38.30067222,-77.614147220,0,42,0,0,1,1,4,0,2,2,0,2,0,0000000,99,99,99,99,88,88,0,0,0,1,0
