STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
6,107,4,13,21,11,1,3,1,0,14,6,0,8,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,0,99,99,99,99,0,0,0,0,0,0,1,1,0,60792,1254,0,2008,FARMERSVILLE BL,99999999999999999999,0000000,36.32339444,-119.2068861,1,1
6,71,4,13,20,14,2,6,0,0,14,3,0,12,2,2,1,1,2,45,1,2,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,60923,4291,6,2008,SR-247,WARREN WY,0000000,34.14406111,-116.4148889,2,1
8,41,4,13,16,45,3,4,0,0,3,3,0,1,0,1,1,1,2,60,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,0,0,0,14,0,0,1,1,0,80105,0,337,2008,SR-115,99999999999999999999,0000000,38.63781944,-104.8678694,3,1
13,293,4,13,20,31,1,2,1,0,5,4,0,8,0,1,1,1,2,45,1,2,2,1,0,0,0,2,1,0,0,20,33,20,41,0,0,0,0,0,0,1,1,0,130346,0,21,2008,PICKARD RD,99999999999999999999,0000000,32.91907222,-84.41216944,1,1
16,1,4,13,22,26,2,2,0,0,13,6,0,12,5,8,1,5,4,40,1,1,2,1,0,0,0,3,1,0,0,22,26,22,28,99,99,0,0,0,0,1,1,0,160043,160,29,2008,FEDERAL WAY,0,0000000,43.57001944,-116.1856278,2,1
20,173,4,13,18,47,1,1,0,1,1,1,0,1,0,1,4,2,2,60,2,2,2,1,0,0,0,1,1,0,0,18,53,18,56,19,3,0,0,0,0,1,1,0,200070,5880,31,2008,I-135,SR-15,0000000,37.65531944,-97.31225833,1,1
22,109,4,13,21,58,1,1,0,0,14,3,0,27,0,1,4,1,2,35,2,2,2,1,40,3,0,3,1,0,0,22,1,22,16,0,0,0,0,0,0,1,1,0,220171,1070,2100,2008,SR-182,99999999999999999999,0000000,29.57516944,-90.7417,1,1
27,163,4,13,22,4,1,4,0,0,16,6,0,42,0,1,4,1,2,30,1,1,4,1,0,0,0,2,1,0,0,22,4,22,6,22,57,0,0,0,0,2,1,0,270241,6770,0,2008,UPPER LEVEE RD,NEAR MULBERRY ST,0000000,45.06006389,-92.80606389,1,1
32,510,4,13,19,22,1,2,0,0,6,9,0,1,0,1,1,1,2,25,2,1,2,1,0,0,0,1,1,0,0,19,32,19,45,20,6,0,0,0,0,1,1,1,320078,50,0,2008,GOLDEN EAGLE LN,99999999999999999999,0000000,39.10796944,-119.7375556,1,1
35,51,4,13,17,0,1,2,0,1,1,1,0,1,0,1,6,2,4,75,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,350044,0,9650,2008,I-25,99999999999999999999,0000000,32.90582222,-107.3184861,1,1
37,183,4,13,22,39,2,4,0,1,12,2,0,12,1,2,1,2,6,55,1,1,2,1,3,3,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,370248,110,99999,2008,US-64,LAKE PINE DR,0000000,35.74484167,-78.82278333,2,1
37,153,4,13,19,30,1,1,0,0,6,4,0,42,0,1,2,1,2,55,2,1,2,1,0,0,0,5,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,370376,0,99999,2008,RP-2001,99999999999999999999,0000000,34.87762222,-79.73902778,1,1
37,101,4,13,18,15,1,2,1,0,6,4,0,8,0,1,1,1,2,45,2,1,2,1,0,0,2,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,370451,0,99999,2008,RP-1242,99999999999999999999,0000000,35.44754167,-78.43605556,1,1
37,51,4,13,19,35,1,4,0,0,16,6,0,42,0,1,2,1,2,55,2,2,2,2,0,0,0,2,1,0,0,20,43,20,45,21,13,0,0,0,0,1,1,1,370661,1670,99999,2008,STRICKLAND BRIDGE RD,99999999999999999999,0000000,35.01101667,-79.01504444,1,1
40,19,4,13,18,20,2,2,0,0,3,2,0,12,5,1,1,2,2,65,1,1,2,1,4,3,0,1,1,0,0,18,17,18,23,0,0,0,0,0,0,1,1,0,400135,0,50,2008,US-70,SR-76,0000000,34.17204444,-97.16651944,2,1
40,29,4,13,17,30,1,2,0,0,4,3,0,53,0,1,4,1,2,65,2,1,2,1,0,0,0,1,1,0,0,17,26,17,29,99,99,0,0,0,0,1,1,1,400167,0,11,2008,SR-43,99999999999999999999,0000000,34.53109722,-96.19903611,1,1
42,37,4,13,20,30,1,1,0,0,6,5,0,1,0,1,1,1,2,25,1,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,420287,0,0,2008,BLACK BIRD RD,99999999999999999999,0000000,41.12927222,-76.53363611,1,1
47,37,4,13,23,5,2,2,0,1,1,1,0,13,2,1,1,2,2,70,1,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,470237,1760,9,2008,I-40,99999999999999999999,0000000,36.07685556,-87.02244722,2,1
48,29,4,13,22,15,1,1,0,0,16,5,0,31,0,1,4,1,2,30,2,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,480658,6090,0,2008,VERBENA,99999999999999999999,0000000,29.53603333,-98.59620556,1,1
48,113,4,13,23,3,1,1,0,1,11,1,0,52,0,5,8,3,3,55,1,1,1,1,0,0,0,3,1,0,0,23,6,23,11,23,42,0,0,0,0,1,1,1,480663,1730,39,2008,I-30,99999999999999999999,0000000,32.7752,-96.78823889,1,1
55,75,4,13,23,6,1,1,0,0,5,4,0,30,0,1,5,1,2,55,2,1,2,1,0,0,0,2,1,0,0,23,12,23,22,99,99,0,0,0,0,1,1,1,550104,0,0,2008,BB,99999999999999999999,0000000,45.01900278,-87.70171111,1,1
55,131,4,13,18,53,1,3,0,1,2,2,0,1,0,1,3,2,2,65,2,1,1,1,0,0,0,1,1,0,0,18,53,19,4,19,45,0,0,0,0,1,1,0,550106,0,0,2008,US-41,99999999999999999999,0000000,43.45815278,-88.36475278,1,1
