STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,latitude,longitud
1,33,4,13,22,7,2,3,0,1,12,2,0,12,7,1,1,2,4,45,1,1,2,2,0,0,0,3,1,1,22,7,22,10,99,99,0,0,0,0,1,4,0,10265,3060,0,2005,US-SR2,00000000,0000000,2,34.71381389,-87.70920833
4,21,4,13,23,5,3,13,0,1,11,1,0,12,2,19,1,2,2,65,1,1,2,1,0,0,0,3,1,0,23,5,23,20,99,99,0,0,0,0,3,4,0,40230,0,1990,2005,I-10,99999999999999999999,0000000,3,32.82060833,-111.6838056
4,19,4,13,19,37,2,2,0,1,11,9,0,12,5,10,1,2,4,35,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,40259,530,0,2005,AJO WAY,I-19 NB OFF RAMP,0000000,2,32.17770556,-110.9834944
12,81,4,13,22,45,1,1,0,0,13,2,0,42,0,1,6,2,2,65,1,1,2,1,28,3,0,2,1,0,22,49,22,56,99,99,0,0,0,0,1,4,0,120645,0,99999,2005,US-41,PINEY POINT RD,0000000,1,27.63951944,-82.53353889
13,87,4,13,17,55,2,6,0,1,2,3,0,12,4,1,1,2,4,65,2,2,2,1,0,0,0,1,1,0,18,10,18,26,19,8,0,0,0,0,1,4,0,130289,0,11,2005,SR-1,99999999999999999999,0000000,2,30.70545278,-84.39095000
17,55,4,13,23,41,2,4,0,0,3,3,0,12,2,1,1,2,2,55,2,2,2,1,0,0,0,2,1,0,23,41,23,99,99,99,0,0,0,0,1,4,2,170237,0,404,2005,SR-149,99999999999999999999,0000000,2,37.90328611,-88.80000000
17,115,4,13,23,30,2,2,0,0,15,6,0,43,0,1,5,1,2,30,1,2,2,1,0,0,3,3,1,0,23,35,23,99,99,99,0,0,0,0,1,4,2,170238,2250,0,2005,CANTRELL,99999999999999999999,0000000,1,39.83345833,-88.93486111
18,163,4,13,20,50,1,2,1,0,14,2,0,8,0,1,1,3,2,45,1,1,2,1,0,0,0,2,1,0,20,55,21,0,99,99,0,0,0,0,1,4,1,180190,1480,0,2005,US- 41,99999999999999999999,0000000,1,38.01402222,-87.53760833
18,89,4,13,21,30,1,1,0,0,6,4,0,38,0,1,6,1,2,40,2,2,2,1,0,0,0,2,1,0,21,36,21,42,99,99,0,0,0,0,1,4,1,180215,1730,0,2005,4TH AVE,99999999999999999999,0000000,1,41.60372500,-87.38424167
24,25,4,13,17,32,2,2,0,0,13,2,0,12,2,2,1,2,2,55,1,1,2,1,99,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,240157,770,171,2005,US-40,MU-420,0000000,2,39.54638611,-76.10683611
26,127,4,13,20,1,1,3,0,0,6,4,0,1,0,1,6,1,2,55,1,1,4,1,0,0,0,1,1,0,20,7,20,19,99,99,0,22,0,0,1,4,2,260103,0,8,2005,126TH AVE,99999999999999999999,0000000,1,43.79926111,-86.24355556
30,111,4,13,20,5,2,2,0,0,6,4,0,12,3,2,1,1,2,60,1,1,2,1,20,3,0,1,1,0,16,21,16,46,17,25,0,0,0,0,1,4,0,300053,0,10,2005,CO RDS- SHEPHERD RD,YEOMAN,0000000,2,45.92927778,-108.3426333
35,37,4,13,22,1,1,16,0,0,16,5,0,1,0,2,6,1,2,35,2,2,2,1,20,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,350396,0,3103,2005,US-54,QUAY ROAD,0000000,1,35.29622778,-103.4694944
37,109,4,13,17,1,2,2,0,0,4,3,0,12,1,1,1,1,2,55,1,2,2,2,0,0,0,1,2,0,17,3,17,19,17,51,0,0,0,0,1,4,0,370330,0,99999,2005,SR-27,99999999999999999999,0000000,2,35.53626389,-81.50936667
37,155,4,13,21,0,1,2,1,0,5,4,0,8,0,1,1,1,2,55,1,1,2,2,0,0,0,2,2,0,21,2,21,22,22,23,0,0,0,0,1,4,0,370353,0,99999,2005,RP-2413,99999999999999999999,0000000,1,34.60635000,-79.04812222
37,193,4,13,16,23,1,3,0,0,16,6,0,43,0,1,2,1,4,35,1,1,2,2,0,0,0,1,2,0,16,29,16,29,16,40,0,0,0,0,1,4,0,370373,3370,99999,2005,EAST MAIN STREET,CHESNUT STREET,0000000,1,36.16297500,-81.13843889
39,51,4,13,18,18,1,1,0,0,5,4,0,53,0,1,5,1,2,55,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,390263,0,0,2005,S,99999999999999999999,0000000,1,41.59336667,-84.04094722
40,9,4,13,16,30,1,1,0,0,6,4,0,11,0,1,1,1,2,65,1,1,2,1,0,0,0,1,1,0,16,27,16,35,0,0,0,0,0,0,1,4,0,400133,0,0,2005,OLD HIGHWAY 66,99999999999999999999,0000000,1,35.39485833,-99.49643889
40,13,4,13,17,36,2,4,0,1,2,2,0,12,4,2,1,1,2,70,1,2,2,1,0,0,0,1,1,0,17,29,17,37,18,1,0,0,0,0,1,4,1,400134,0,48,2005,US-70,NEWBERRY CREEK ROAD,0000000,2,33.99820000,-96.55077778
40,27,4,13,21,48,1,5,1,1,11,1,0,8,0,1,1,2,2,60,1,1,2,1,0,0,0,2,1,1,21,44,21,47,22,35,0,0,0,0,1,4,1,400135,3430,25,2005,I-35,99999999999999999999,0000000,1,35.22720833,-97.48535833
40,83,4,13,23,30,1,5,0,0,16,6,0,43,0,1,4,1,2,35,2,1,2,1,0,0,0,2,1,0,23,43,23,51,0,35,0,0,0,0,1,4,1,400136,2000,0,2005,LAKE ROAD,99999999999999999999,0000000,1,35.82170000,-97.43579444
45,45,4,13,22,0,8,5,0,0,3,3,0,12,7,1,1,2,2,35,2,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,450266,0,4.7999992371,2005,SR-253,SR-183,0000000,2,34.86948889,-82.43122778
47,71,4,13,23,30,2,2,0,0,5,4,0,12,2,1,1,1,2,45,1,3,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,470157,0,7,2005,OLD TOWN LOOP RD,99999999999999999999,0000000,2,35.22843611,-88.17633889
48,141,4,13,20,20,2,2,0,0,16,5,0,12,2,1,1,1,4,35,2,1,2,1,0,0,0,3,1,0,20,20,20,23,21,44,0,0,0,0,1,4,1,480733,2190,0,2005,WALTERJONES,00,0000000,2,31.83133056,-106.3555389
51,770,4,13,21,30,1,1,0,1,11,1,0,25,0,13,2,6,1,55,2,9,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,510155,2100,3,2005,I-58,*460,0000000,1,,
51,93,4,13,18,10,2,3,0,0,4,2,0,12,2,15,1,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,3,4,0,510157,0,100,2005,US-58,99999999999999999999,0000000,2,36.75745278,-76.86098056
51,61,4,13,21,35,1,1,0,1,2,2,0,7,0,1,1,3,4,55,1,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,1,510163,0,2224,2005,US-17,RT 777,0000000,1,38.77903056,-77.82527778
53,53,4,13,23,9,1,1,0,0,14,4,0,42,0,1,6,1,2,35,2,1,2,1,0,0,0,2,1,0,23,9,23,15,0,0,0,0,0,0,1,4,1,530149,0,4,2005,218TH AVE E,99999999999999999999,0000000,1,,
