STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
5,45,4,27,21,15,1,2,0,0,4,3,0,42,0,2,5,1,2,55,2,2,2,1,20,3,0,2,1,0,0,21,16,21,31,99,99,0,0,0,0,1,1,1,50147,0,97,2008,SR-25-00,JENTAR FARM RD.,0000000,35.21435,-92.40986944,1,1
6,77,4,27,23,28,1,1,0,1,12,3,0,1,0,1,1,3,3,65,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,60701,0,217,2008,SR-99,99999999999999999999,0000000,37.66073889,-121.025975,1,1
6,37,4,27,16,20,1,2,1,0,13,6,0,9,0,1,1,2,3,40,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,60856,1980,0,2008,LA CIENEGA BL,99999999999999999999,0000000,34.01881944,-118.3726222,1,1
6,37,4,27,16,22,1,2,0,0,4,4,0,7,0,1,1,1,2,35,1,2,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,60857,0,0,2008,MULHOLLAND HWY,99999999999999999999,0000000,34.11238056,-118.7870778,1,1
6,115,4,27,17,16,2,6,0,0,15,6,0,12,1,1,1,2,2,25,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,60858,2100,0,2008,E ST,99999999999999999999,0000000,39.09853889,-121.4103528,2,1
8,123,4,27,16,30,2,4,0,0,3,3,0,12,5,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,80122,0,1136,2008,SR-392,35,0000000,40.48107778,-104.73495,2,1
12,115,4,27,23,41,1,1,0,0,14,3,0,1,0,3,3,2,3,45,2,1,2,1,0,0,0,3,1,0,0,23,46,23,49,99,99,0,0,0,0,1,1,1,120586,0,99999,2008,SR-776,US-41,0000000,27.05028056,-82.40646111,1,1
12,99,4,27,20,50,1,1,0,0,12,6,0,33,0,1,2,2,3,45,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,121464,2431,99999,2008,CR-809,GARDEN LAKES BLVD,0000000,26.84134167,-80.105525,1,1
12,23,4,27,18,48,1,3,0,1,1,1,0,1,0,1,1,2,3,70,1,2,2,1,0,0,0,1,1,0,0,18,48,18,52,99,99,0,0,0,0,2,1,0,121811,0,99999,2008,I-75,US-90,0000000,30.161325,-82.67932778,1,1
17,199,4,27,17,32,1,1,0,0,6,6,0,1,0,1,5,2,2,30,1,1,2,1,0,0,0,1,1,0,0,17,32,17,99,99,99,0,0,0,0,1,1,1,170324,1420,0,2008,PIN OAK DR,99999999999999999999,0000000,37.74506389,-89.10032222,1,1
18,25,4,27,17,30,1,1,0,0,4,3,0,24,0,1,2,1,2,55,2,1,2,1,0,0,0,1,1,0,0,17,31,17,41,0,0,0,0,0,0,1,1,0,180187,2840,0,2008,SR-64,HARDINSBURG RD,0000000,38.371875,-86.33305556,1,1
22,41,4,27,17,30,1,1,0,0,4,3,0,24,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,0,17,36,17,50,0,0,0,0,0,0,1,1,1,220153,0,27,2008,SR-860,99999999999999999999,0000000,32.30291111,-91.57425,1,1
24,11,4,27,20,3,2,2,0,1,2,3,0,12,2,1,1,2,2,55,1,1,2,2,0,0,0,3,2,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,240125,440,88,2008,SR-404,99999999999999999999,0000000,38.82713889,-75.76395,2,2
27,27,4,27,21,58,1,3,1,1,2,2,0,8,0,1,1,2,2,30,1,1,2,1,0,0,0,3,1,0,0,22,3,99,99,0,0,0,0,0,0,1,1,0,270145,2740,94,2008,US-10 0200000010,NEAR LUND AVE,0000000,46.87728889,-96.57629444,1,1
28,81,4,27,17,8,2,2,0,0,4,4,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,0,280225,0,0,2008,CO RD 1498,99999999999999999999,0000000,34.29863611,-88.60301944,2,1
29,215,4,27,17,15,4,10,0,1,2,2,0,12,4,1,1,1,3,65,2,2,2,1,0,0,0,1,1,0,0,17,9,17,18,99,99,0,0,0,0,1,1,0,290242,0,143,2008,US-63,99999999999999999999,0000000,37.39827778,-91.88311111,4,1
29,207,4,27,22,25,1,1,0,0,5,3,0,37,0,1,4,1,2,55,2,2,2,1,0,0,0,2,1,0,0,99,98,99,98,0,0,0,0,0,0,1,1,1,290243,0,19,2008,SR-AD,99999999999999999999,0000000,36.81705556,-89.99736111,1,1
36,27,4,27,18,37,2,2,0,0,16,5,0,12,2,1,1,1,2,55,2,1,2,1,28,3,0,1,1,0,0,18,42,18,49,19,15,0,0,0,0,1,1,0,360281,6266,0,2008,CR-21,99999999999999999999,0000000,41.64729444,-73.63989722,2,1
36,103,4,27,20,30,1,1,0,0,16,5,0,38,0,2,4,9,9,99,1,1,9,1,20,3,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,360314,360,0,2008,S 30TH ST,JAMAICA AVE,0000000,40.7475,-73.37279722,1,1
37,135,4,27,20,30,1,1,0,0,5,4,0,42,0,1,4,1,2,55,2,2,2,2,0,0,0,2,2,1,0,20,33,20,36,0,0,0,0,0,0,1,1,0,370229,0,99999,2008,RP-1538,RP-1002,0000000,36.10688333,-79.05409722,1,2
37,135,4,27,20,41,1,2,1,0,13,6,0,8,0,2,1,2,5,35,1,2,2,2,5,3,0,3,2,1,0,20,41,99,99,20,57,0,0,0,0,1,1,0,370230,860,99999,2008,MLK JR BLVD,UMSTEAD DR,0000000,35.9252,-79.05426944,1,2
37,163,4,27,21,7,2,2,0,0,5,4,0,12,2,1,1,1,2,55,2,1,2,2,0,0,0,2,2,1,0,99,99,99,99,99,99,0,0,0,0,1,1,0,370241,0,99999,2008,RP-1004,US-421,0000000,34.86008889,-78.26316944,2,2
37,157,4,27,19,21,1,2,0,0,16,6,0,43,0,1,2,1,4,35,2,1,2,1,0,0,0,1,1,0,0,19,25,19,33,20,56,0,0,0,0,1,1,0,370412,3800,99999,2008,WAY ST,RICHARDSON DR,0000000,36.34416667,-79.66057778,1,1
37,183,4,27,20,20,1,1,0,0,3,2,0,42,0,1,4,3,4,70,2,1,2,2,0,0,0,2,2,1,0,99,99,99,99,99,99,0,0,0,0,1,1,1,371243,0,99999,2008,US-64,99999999999999999999,0000000,35.8597,-78.27389722,1,2
39,107,4,27,16,38,2,3,0,0,6,4,0,12,7,1,5,1,2,55,1,1,2,1,0,0,0,1,1,0,0,16,40,16,53,17,5,0,0,0,0,1,1,1,390423,0,0,2008,ST ANTHONY,99999999999999999999,0000000,40.50889167,-84.78365833,2,1
41,65,4,27,20,35,1,2,1,1,11,1,0,8,0,1,1,3,2,65,1,1,2,1,0,0,0,5,1,0,0,20,35,20,42,0,0,0,0,0,0,1,1,0,410092,2060,831,2008,I-84,0,0000000,45.61991944,-121.2114917,1,1
42,133,4,27,21,1,1,2,1,0,14,3,0,8,0,1,1,1,2,45,1,2,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,1,1,420352,0,170,2008,SR-24,99999999999999999999,0000000,39.92589722,-76.63633333,1,1
42,9,4,27,21,10,1,2,0,0,5,3,0,7,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,0,20,28,20,40,22,18,0,0,0,0,1,1,0,420708,0,24,2008,SR-868,99999999999999999999,0000000,40.213425,-78.40363889,1,1
48,245,4,27,22,22,2,2,0,0,4,3,0,12,2,2,1,1,2,50,1,1,2,1,4,3,0,3,1,0,0,22,29,22,34,23,27,0,0,0,0,1,1,1,480899,0,54,2008,SR-124,HAMSHIRE,0000000,29.85993889,-94.30930556,2,1
