STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
1,121,4,27,96,16,55,2,3,1,2,3,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,1,1,0,17,15,17,30,18,10,0,0,0,0,1,7,1,10263,703,0,77,0000000,0
4,13,4,27,96,16,53,2,3,0,13,6,0,13,4,1,1,2,3,35,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,40253,0,370,THOMAS RD,0000000,0
4,13,4,27,96,19,57,1,2,0,14,6,0,9,0,1,4,1,9,99,9,1,2,1,0,0,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,40254,0,370,SIXTH AV,0000000,1
6,101,4,27,96,18,35,2,2,0,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,61134,149,0,99,0000000,0
6,39,4,27,96,19,45,2,4,1,2,3,0,12,4,1,1,1,2,55,1,2,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,61135,197,0,41,0000000,0
6,97,4,27,96,23,7,1,3,0,12,3,0,8,0,1,1,2,2,55,2,1,1,1,28,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,61136,163,3490,12,0000000,1
6,19,4,27,96,21,40,1,2,0,4,4,0,8,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,7,0,61206,0,0,SHAW AVE,0000000,1
12,121,4,27,96,17,0,1,1,0,9,4,0,1,0,1,4,2,2,55,1,1,2,1,0,0,0,1,1,0,17,1,17,17,0,0,0,0,0,0,1,7,1,120662,99999,0,CR 349,0000000,0
12,57,4,27,96,21,30,2,3,0,2,3,0,12,4,2,1,2,4,55,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,2,120847,99999,0,SR 39,0000000,0
12,11,4,27,96,19,20,3,5,0,14,3,0,12,1,1,1,1,4,40,1,1,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,2,7,1,120853,99999,1050,DAVIE BLVD,0000000,0
13,145,4,27,96,17,22,2,8,0,3,2,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,1,1,0,18,19,18,26,18,52,0,0,0,0,1,7,0,130371,22,0,SR1,0000000,0
13,95,4,27,96,17,56,1,2,0,99,5,0,8,0,1,1,1,2,30,1,1,2,1,0,0,0,1,1,0,17,56,17,59,18,10,0,0,0,0,1,7,0,130436,99999,90,999999,0000000,1
17,89,4,27,96,21,36,1,1,0,16,6,0,10,0,6,1,1,2,30,1,1,2,1,72,3,0,3,1,0,21,37,21,99,99,99,0,0,0,0,1,7,1,170360,0,8388,DUGAN RD,069728S,0
17,31,4,27,96,18,20,1,1,0,16,6,0,14,0,1,4,2,2,30,1,1,2,1,0,0,0,1,1,0,18,23,18,99,99,99,0,0,0,0,1,7,0,170361,0,8367,SO PARK,0000000,0
17,119,4,27,96,22,5,2,4,0,14,3,0,12,2,1,1,1,2,55,1,1,2,2,0,0,0,2,2,0,22,6,22,99,99,99,0,0,0,0,1,7,1,170363,15,0,MORO ROAD,0000000,0
18,39,4,27,96,17,30,1,3,0,16,6,0,10,0,6,1,9,9,35,1,9,9,1,60,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,3,7,0,180242,0,0,Sunnyside,510014R,0
20,177,4,27,96,21,40,1,3,0,13,2,0,8,0,1,1,2,2,50,1,1,2,2,0,0,0,2,2,0,21,42,21,50,0,0,0,0,0,0,1,7,1,200116,1513,0,75,0000000,1
20,173,4,27,96,23,15,1,1,1,11,1,0,31,0,1,4,3,2,65,1,1,2,2,0,0,0,2,2,0,23,41,23,51,0,0,0,0,0,0,1,7,1,200165,406,0,I35,0000000,0
21,83,4,27,96,17,51,1,1,1,4,3,0,30,0,1,6,1,2,55,2,1,2,1,0,0,0,1,1,0,17,56,18,15,18,30,0,0,0,0,1,7,1,210169,78,0,0129,0000000,0
21,205,4,27,96,19,10,1,1,1,1,1,0,24,0,1,4,2,2,65,1,2,1,1,0,0,0,1,1,0,19,15,19,22,19,44,0,0,0,0,1,7,1,210173,1345,0,9064,0000000,0
21,219,4,27,96,18,36,2,6,0,4,3,0,12,2,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,18,36,18,50,19,32,0,0,0,0,1,7,2,210200,162,0,0181,0000000,0
21,151,4,27,96,23,0,1,2,0,6,4,0,38,0,1,6,1,2,55,2,1,2,1,0,0,0,2,1,0,23,6,23,12,23,24,0,0,0,0,1,7,1,210213,0,0,DUNCANNON,0000000,0
22,79,4,27,96,16,35,1,5,1,1,1,0,1,0,1,1,2,2,65,1,1,1,1,0,0,0,1,1,0,16,35,16,45,99,99,0,0,0,0,1,7,0,220202,669,0,I49,0000000,0
22,109,4,27,96,18,41,1,4,0,6,4,0,5,0,1,1,1,2,35,1,1,1,1,0,0,0,1,1,0,18,46,19,0,99,99,0,0,0,0,1,7,1,220203,0,0,ARAGON RD,0000000,0
22,55,4,27,96,20,15,1,3,0,6,4,0,5,0,1,1,1,2,25,1,1,2,1,0,0,0,3,1,0,20,15,20,23,99,99,0,0,0,0,1,7,1,220247,0,0,SOUTHFIELD,0000000,0
22,89,4,27,96,21,15,1,3,1,2,2,0,8,0,10,1,2,2,45,1,1,2,1,0,0,0,3,1,0,21,15,21,23,99,99,0,0,0,0,1,7,0,220248,2416,0,90,0000000,1
24,23,4,27,96,19,10,1,2,0,5,4,0,37,0,1,4,1,2,40,2,1,2,2,0,0,0,1,1,0,19,15,19,25,99,99,0,0,0,0,1,7,1,240138,0,0,170,0000000,0
24,510,4,27,96,16,35,1,2,0,16,9,0,8,0,2,1,1,4,30,1,1,2,1,3,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,240175,99999,50,9999999999,0000000,1
25,13,4,27,96,20,13,1,1,0,16,8,0,14,0,1,2,1,2,30,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,250092,0,1270,LAWTON ST,0000000,0
25,27,4,27,96,21,58,1,3,0,4,2,0,37,0,1,2,1,2,40,1,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,250094,0,1500,RTE 202,0000000,0
25,17,4,27,96,16,30,1,1,1,11,1,0,1,0,1,4,3,4,65,1,1,2,1,0,0,0,1,1,0,16,42,16,46,17,16,0,0,0,0,1,7,0,250138,99999,1490,I93,0000000,0
26,93,4,27,96,18,11,1,1,1,11,1,0,1,0,1,1,2,3,65,1,9,1,1,0,0,0,1,1,0,18,12,18,16,0,0,0,0,0,0,1,7,1,260293,212,0,I96,0000000,0
26,125,4,27,96,20,4,6,8,1,11,1,0,12,1,1,1,2,3,55,1,2,1,1,0,0,0,1,1,0,20,10,99,99,99,99,0,0,0,0,1,7,0,260396,23,4340,I75,0000000,0
26,115,4,27,96,20,38,1,2,0,4,4,0,8,0,2,1,1,2,55,1,1,2,1,0,0,0,5,1,0,20,42,20,51,0,0,0,0,0,0,1,7,1,260501,22,0,NEWPORT RD,0000000,1
26,125,4,27,96,23,15,1,1,0,14,4,0,33,0,3,4,2,2,45,1,1,2,1,3,3,0,3,1,0,23,20,23,25,0,0,0,0,0,0,1,7,1,260577,65,203,OPDYKE RD,0000000,0
27,163,4,27,96,23,45,1,5,0,15,6,0,34,0,1,4,1,2,45,1,2,2,1,0,0,0,3,1,0,23,47,99,99,99,99,0,0,0,0,1,7,0,270121,11,7716,M32,0000000,0
28,95,4,27,96,20,44,2,5,0,13,3,0,12,2,1,6,1,2,55,1,1,2,1,0,0,0,2,1,0,20,59,21,13,21,41,0,0,0,0,4,7,1,280246,35,0,MS 6,0000000,0
29,79,4,27,96,23,15,2,3,0,5,3,0,12,2,1,1,1,2,55,1,2,2,1,0,0,0,2,1,0,23,36,23,47,0,21,0,0,0,0,1,7,1,290357,9,0,RTWW,0000000,0
32,3,4,27,96,17,52,2,5,0,15,6,0,12,4,2,1,1,2,35,1,1,2,1,20,3,0,1,1,0,17,53,18,0,18,37,0,0,0,0,1,7,0,320126,0,0,WINDMILLLN,0000000,0
33,15,4,27,96,22,38,1,1,0,14,3,0,42,0,1,4,1,2,30,2,2,2,1,0,0,0,2,1,0,22,38,22,42,99,99,0,0,0,0,1,7,1,330033,33,85,ROUTE 28,0000000,0
34,23,4,27,96,21,0,1,3,0,13,3,0,8,0,2,1,1,4,35,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,340112,99999,1920,RT28,0000000,1
37,101,4,27,96,22,30,2,2,0,3,4,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,2,1,0,99,99,22,50,99,99,0,0,0,0,1,7,1,370230,99999,0,RP2112,0000000,0
37,23,4,27,96,23,30,1,2,0,5,4,0,34,0,1,4,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,23,52,99,99,0,0,0,0,1,7,1,370332,69,0,RP1800,0000000,0
40,143,4,27,96,23,20,2,4,0,14,6,0,12,4,3,1,1,2,35,1,1,2,1,0,0,0,3,1,0,23,25,23,31,23,41,0,0,0,0,1,7,1,400182,0,4780,S PEORIA A,0000000,0
41,5,4,27,96,22,19,1,2,0,14,6,0,8,0,1,1,1,2,35,1,1,2,1,0,0,0,2,1,0,22,19,22,23,22,45,0,0,0,0,1,7,0,410141,38,0,22232/Rive,0000000,1
42,129,4,27,96,17,50,3,9,0,3,3,0,12,4,2,1,1,2,35,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,2,7,0,420343,139,0,31,0000000,0
42,29,4,27,96,23,28,3,3,1,2,2,0,12,2,1,1,1,2,45,1,1,2,1,0,0,0,2,1,0,23,33,23,42,0,8,0,0,0,0,1,7,1,420559,75,0,322,0000000,0
45,45,4,27,96,16,45,1,1,0,3,3,0,1,0,1,6,1,2,55,1,2,1,1,0,0,0,1,1,0,16,55,17,1,99,99,0,0,0,0,1,7,0,450214,26,0,418,0000000,0
45,25,4,27,96,18,25,2,2,0,6,4,0,12,2,1,1,1,2,45,1,1,2,1,0,0,0,2,1,0,18,27,18,40,99,99,0,0,0,0,1,7,1,450229,0,0,GEORGE M.,0000000,0
47,157,4,27,96,19,16,1,3,0,14,6,0,42,0,1,6,1,4,40,1,2,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,470357,27,1620,MILLBRANCH,0000000,0
48,5,4,27,96,17,40,2,4,0,5,8,0,12,4,4,1,1,2,55,1,1,2,1,0,0,0,1,1,0,17,43,17,59,18,30,0,0,0,0,1,7,0,480846,47,0,FM328,0000000,0
48,51,4,27,96,17,0,1,4,0,4,8,0,31,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,480848,123,0,FM60,0000000,0
48,113,4,27,96,22,50,2,3,1,13,3,0,12,4,2,1,1,4,30,1,1,2,1,20,3,0,2,1,0,22,54,22,59,99,99,0,0,0,0,1,7,0,480850,133,1730,310,0000000,0
48,141,4,27,96,22,45,1,3,1,2,2,0,8,0,1,1,2,2,55,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,480851,223,2190,62,0000000,1
48,141,4,27,96,23,35,3,8,1,12,8,0,12,1,5,1,2,2,55,1,1,2,1,0,0,0,3,1,0,23,36,0,4,0,20,0,15,0,0,1,7,0,480887,56,2190,LP375,0000000,2
53,37,4,27,96,20,6,1,3,0,6,4,0,1,0,1,6,1,2,35,1,1,2,1,0,0,0,5,1,0,20,6,20,18,20,37,0,0,0,0,2,7,1,530207,7,0,23010,0000000,0
56,25,4,27,96,16,32,2,8,0,16,6,0,12,4,2,1,1,2,99,1,1,2,2,20,3,0,1,4,0,16,37,16,39,16,49,0,0,0,0,1,7,0,560025,0,90,JACKSON,0000000,1
