STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,latitude,longitud
17,115,4,27,17,20,2,5,0,0,13,2,0,12,5,2,1,2,2,30,1,1,2,2,3,3,0,1,2,0,17,23,17,99,99,99,0,0,0,0,1,7,0,170328,2250,66,2002,US-51,0000000,39.84145,-88.95566111
18,97,4,27,18,10,2,4,0,0,16,4,0,12,5,2,1,1,2,35,1,1,2,2,20,3,0,1,2,0,99,99,99,99,99,99,0,20,0,0,2,7,1,180199,2210,0,2002,N. ARLINGTON AVE.,0000000,39.782616667,-86.06415278
18,165,4,27,17,5,2,4,0,0,3,2,0,12,5,2,1,1,2,55,1,1,9,2,3,2,0,1,2,0,99,99,99,99,99,99,0,0,0,0,1,7,0,180244,0,99999,2002,US-36,0000000,39.796719444,-87.49468889
20,149,4,27,20,0,1,3,0,0,6,4,0,35,0,1,4,1,2,55,1,2,5,2,0,0,0,5,1,0,20,5,20,6,20,6,0,22,0,0,1,7,1,200095,0,0,2002,CR-PRAIRIE,0000000,39.241127778,-96.36290556
21,123,4,27,16,20,2,3,0,0,5,3,0,12,4,1,1,1,2,55,2,1,2,2,0,0,0,1,2,0,16,36,16,54,18,19,0,0,0,0,1,7,0,210225,0,22,2002,SR-1079,0000000,37.439191667,-85.76050833
21,237,4,27,20,19,1,1,0,0,6,4,0,1,0,1,1,1,2,45,2,2,2,2,0,0,0,5,2,0,20,19,20,36,21,23,0,0,0,0,1,7,1,210227,0,0,2002,REXVILLE ROAD,0000000,37.799675,-83.37632778
22,33,4,27,23,10,1,4,1,1,13,2,0,8,0,2,1,2,2,99,1,1,1,1,4,3,0,3,1,0,23,10,23,18,0,0,0,0,0,0,1,7,0,220230,150,845,2002,US-61,0000000,30.540675,-91.19106389
26,67,4,27,21,38,2,4,0,0,4,4,0,12,5,2,1,1,2,55,1,1,2,2,20,3,0,2,2,0,21,38,21,49,99,99,0,0,0,0,1,7,2,260274,0,68,2002,JORDAN LAKE AVE,0000000,42.886016667,-85.13406389
26,25,4,27,21,13,1,2,1,1,11,1,0,8,0,11,1,2,2,45,1,9,9,2,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,260506,4649,12,2002,I-94 BL,0000000,42.318463889,-85.23641389
26,163,4,27,21,55,1,2,1,1,13,6,0,8,0,1,1,1,4,30,1,9,9,2,0,0,0,5,2,0,99,99,99,99,99,99,0,0,0,0,1,7,0,260507,1260,29,2002,MACK,0000000,42.374586111,-82.98856667
26,115,4,27,16,35,1,2,0,0,3,4,0,42,0,1,6,1,2,45,2,1,2,2,0,0,0,1,2,0,18,39,18,53,99,99,0,0,0,0,1,7,1,261007,0,78,2002,DIXIE HWY,0000000,41.99435,-83.28759722
27,19,4,27,17,48,2,4,0,0,3,3,0,12,5,1,1,1,2,55,1,1,2,3,0,0,0,5,3,0,18,11,18,19,18,37,0,0,0,0,2,7,0,270145,0,371,2002,SR-25,0000000,44.933633333,-93.85943611
27,139,4,27,20,16,2,4,0,0,3,3,0,12,5,1,1,1,2,55,1,1,2,2,0,0,0,2,4,0,20,17,20,25,20,55,0,0,0,0,1,7,0,270146,0,752,2002,SR-13,0000000,44.596697222,-93.50196111
27,139,4,27,21,14,1,3,1,1,1,1,0,8,0,1,1,2,2,70,1,2,2,3,0,0,0,2,3,0,21,15,21,26,0,0,0,0,0,0,1,7,1,270147,0,773,2002,I-35,0000000,44.582113889,-93.29716667
27,123,4,27,20,15,1,4,0,0,14,4,0,42,0,1,4,1,2,50,2,1,2,3,0,0,0,3,3,0,99,99,99,99,99,99,0,0,0,0,1,7,0,270269,4536,16,2002,39,0000000,44.930325,-93.01825278
29,167,4,27,22,30,1,1,0,0,4,3,0,35,0,1,4,1,2,55,1,1,2,2,0,0,0,2,1,0,22,26,22,43,23,21,0,0,0,0,1,7,1,290275,0,83,2002,SR-123,0000000,37.713925,-93.57569722
32,3,4,27,17,13,2,6,0,0,13,6,0,12,5,1,1,3,4,50,1,1,2,1,0,0,0,1,1,0,17,31,17,41,18,5,0,0,0,0,2,7,0,320096,150,0,2002,CHEYENNE,0000000,36.217788889,-115.1540278
32,3,4,27,21,0,1,2,0,0,4,3,0,35,0,1,4,1,2,55,1,1,2,1,0,0,0,2,1,0,21,15,21,50,99,99,0,0,0,0,1,7,1,320108,0,122,2002,SR-168,0000000,,
34,31,4,27,23,22,2,3,0,0,13,2,0,12,5,2,1,1,4,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,340179,3522,682,2002,US-202,0000000,40.98425,-74.27633611
36,99,4,27,17,48,2,11,0,1,2,3,0,12,3,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,17,49,17,55,99,99,0,0,0,0,1,7,0,360230,1976,24,2002,SR-96A,0000000,42.828866667,-76.90077222
37,119,4,27,20,53,1,2,1,1,13,2,0,8,0,1,1,3,6,45,1,1,2,1,0,0,0,3,1,1,99,99,99,99,99,99,0,0,0,0,1,7,1,370399,870,99999,2002,US-74,0000000,35.201663889,-80.78752778
37,21,4,27,19,45,2,2,0,0,14,2,0,12,5,11,1,1,4,55,1,1,2,1,3,3,0,1,1,0,19,41,19,45,20,4,0,0,0,0,1,7,0,370419,0,99999,2002,US-25/70,0000000,35.705230556,-82.57415278
40,131,4,27,16,25,1,1,0,0,6,4,0,10,0,6,1,1,2,35,1,1,9,1,60,3,0,1,1,0,16,25,16,30,0,0,0,0,0,0,1,7,0,400161,0,0,2002,NO NAME,668562T,36.234430556,-95.69217778
42,71,4,27,21,28,2,2,0,1,2,2,0,12,4,1,1,5,2,45,1,1,2,2,0,0,0,2,2,0,21,29,21,46,0,0,0,0,0,0,1,7,2,420500,0,278,2002,US-30,0000000,39.997277778,-76.05048889
42,47,4,27,18,0,1,1,0,0,4,3,0,32,0,1,6,1,2,45,1,2,2,1,0,0,0,1,1,0,18,14,18,30,19,16,0,0,0,0,1,7,0,421098,0,109,2002,SR-1001,0000000,41.554161111,-78.61046111
48,453,4,27,21,40,1,3,1,0,4,8,0,9,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,480898,0,33,2002,FM1625,0000000,30.107116667,-97.72380278
48,201,4,27,23,37,2,2,0,0,16,5,0,27,0,1,3,2,2,40,1,1,2,1,0,0,0,3,1,0,22,37,22,43,0,31,0,0,0,0,1,7,1,481429,3280,0,2002,MARTINLUTHERKINGBLVD,0000000,29.653827778,-95.33655
51,195,4,27,20,0,1,1,0,0,4,3,0,7,0,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,510244,0,363,2002,SR-72,0000000,,
53,61,4,27,23,30,2,3,0,1,13,3,0,12,2,1,1,1,2,40,1,2,2,1,0,0,0,3,1,0,23,34,23,39,0,2,0,0,0,0,1,7,0,530173,590,99999,2002,SR-104,0000000,47.778988889,-122.3431
55,29,4,27,17,52,2,6,0,1,2,3,0,12,2,1,1,1,2,55,1,1,2,2,0,0,0,1,2,0,17,53,18,2,18,21,0,0,0,0,1,7,0,550180,0,0,2002,SR-57,0000000,44.777211111,-87.50799167
55,95,4,27,16,52,1,5,1,0,3,3,0,8,0,1,2,1,2,55,1,1,2,3,0,0,0,1,4,0,16,54,17,7,18,10,0,0,0,0,1,7,1,550192,0,0,2002,SR-48,0000000,45.583741667,-92.43930278
