STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
5,50112,1,1,0,0,0,2,2,81,0,27,4,2014,1,17,3,1,2,2,US-71-04,,11,33.56474167,-94.03586111,0,1,0,0,1,1,0,4,1,2,0,2,0,0000000,17,23,17,47,18,5,0,0,0,1,0
6,60654,1,1,0,0,0,3,3,71,790,27,4,2014,1,21,21,0,15,6,VALLEY BLVD,05,0,34.06537778,-117.3100278,0,24,0,0,1,1,0,4,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
6,61467,1,1,0,1,1,1,1,61,3110,27,4,2014,1,17,5,0,14,6,WASHINGTON BLVD,PLEASANT ST,0,38.75390833,-121.2878889,0,15,0,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,120968,1,1,0,1,1,1,1,11,1050,27,4,2014,1,20,38,1,13,2,US-1,,99998,26.297825,-80.09401944,0,9,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121209,2,2,0,0,0,2,2,57,0,27,4,2014,1,20,49,0,6,4,CR-579,JOE EBERT RD,0,28.03615833,-82.30264444,0,12,6,0,2,3,0,1,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121210,1,1,0,0,0,1,1,71,457,27,4,2014,1,18,55,0,16,6,50TH LN,,0,26.55754444,-82.02301667,0,53,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
13,130317,1,1,0,0,0,1,1,27,1710,27,4,2014,1,18,1,0,6,6,SIMMON HILL ROAD,,23,30.81675833,-83.66696389,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
13,130319,1,1,0,1,1,1,1,105,0,27,4,2014,1,19,5,0,4,4,CR-HARMONY ROAD,,3,34.19133611,-82.88235833,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
13,130321,2,2,0,0,0,2,2,241,1170,27,4,2014,1,16,25,1,2,2,US-76(SR2),,61,34.865375,-83.48891667,0,12,6,0,8,1,0,1,1,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
13,130322,1,1,0,0,0,1,1,255,0,27,4,2014,1,17,30,0,16,4,CR-MANLEY ROAD,,27,33.31150833,-84.32065833,0,34,0,0,1,1,0,4,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
17,170185,1,1,0,0,0,2,2,31,0,27,4,2014,1,17,46,1,1,1,I-294,,304,41.757425,-87.88169444,0,1,0,0,1,1,0,3,1,1,0,1,0,0000000,17,46,99,99,99,99,0,0,0,1,0
17,170197,1,1,0,1,1,4,4,31,8030,27,4,2014,1,21,1,1,13,6,DEMPSTER ST,,0,42.04089167,-87.71505556,0,8,0,0,1,1,0,1,3,2,10,2,0,0000000,21,1,99,99,99,99,0,0,0,1,0
18,180143,1,1,0,0,0,1,1,143,240,27,4,2014,1,18,1,0,5,4,CR-NEW LONDON RD,,0,38.64961389,-85.59610833,0,42,0,0,1,1,0,4,1,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
18,180161,1,1,0,0,0,1,1,97,2210,27,4,2014,1,20,39,0,15,5,SHELBYVILLE RD,,0,39.68706944,-86.081075,0,32,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
22,220180,1,1,0,0,0,1,1,19,2210,27,4,2014,1,17,56,1,11,1,I-10,,235,30.21623889,-93.33511944,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,17,58,18,3,88,88,0,0,0,1,0
