STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,latitude,longitud
1,55,4,27,22,37,1,1,0,0,3,3,0,32,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,99,99,22,39,99,99,0,0,0,0,1,4,0,10308,0,149,2005,SR-132,99999999999999999999,0000000,1,34.03335833,-86.25065278
6,65,4,27,22,30,2,3,0,0,15,6,0,12,5,2,1,1,4,99,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,4,1,60910,3070,0,2005,INDIANA AVE,FILLMORE ST,0000000,2,33.89303611,-117.4785278
8,15,4,27,20,8,3,3,0,1,2,2,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,20,8,20,21,99,99,0,20,0,0,1,4,0,80146,0,1448,2005,US-285,99999999999999999999,0000000,3,38.76772778,-106.0991611
12,86,4,27,23,55,1,2,0,1,12,3,0,20,0,1,2,2,4,50,1,1,2,1,8,3,0,3,1,1,23,58,0,10,99,99,0,0,0,0,1,4,0,120546,0,99999,2005,SR-826,SR 25,0000000,1,25.84882500,-80.32250556
12,11,4,27,22,8,3,3,0,0,13,3,0,12,6,2,1,2,3,40,1,1,2,1,3,3,0,3,1,0,22,11,22,14,99,99,0,0,0,0,1,4,0,120752,2468,99999,2005,SR-820,MCARTHUR PKWY,0000000,3,26.00937778,-80.23571111
12,107,4,27,22,50,1,1,0,0,6,4,0,32,0,8,6,1,2,40,1,1,2,1,8,3,0,2,1,0,23,0,23,10,99,99,0,0,0,0,1,4,0,120754,887,99999,2005,E RIVER RD,FULWOOD RD,0000000,1,29.67583333,-81.61965556
12,91,4,27,24,0,2,4,0,0,6,8,0,12,2,2,1,1,2,25,1,2,2,1,8,3,0,2,1,0,0,3,0,9,99,99,0,0,0,0,3,4,0,120755,0,99999,2005,VALLEY RD,WISTERIA AVE,0000000,2,30.77788889,-86.54880556
12,95,4,27,23,10,2,2,0,1,12,3,0,12,1,1,1,1,2,70,1,1,2,1,28,3,0,3,1,1,23,11,23,19,99,99,0,0,0,0,1,4,0,122969,0,99999,2005,SR-91,MILEPOST 267,0000000,2,,
13,31,4,27,17,30,2,4,0,1,1,1,0,12,5,13,1,6,1,70,1,2,2,1,20,3,0,1,1,0,17,35,17,44,19,30,0,0,0,0,1,4,1,130398,0,4.1999969482,2005,I-16 (SR-404),GA SR-73,0000000,2,32.30794167,-81.87355000
13,285,4,27,22,55,1,2,1,1,1,1,0,8,0,1,1,2,4,70,1,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,130401,0,39,2005,I-85 (GA SR-403),99999999999999999999,0000000,1,32.92908611,-85.10828056
17,173,4,27,16,45,1,1,0,1,2,2,0,25,0,1,2,3,2,55,1,1,2,1,0,0,0,1,1,0,16,45,16,99,99,99,0,0,0,0,1,4,0,170286,0,1990,2005,US-51,99999999999999999999,0000000,1,39.65358333,-89.01312778
