STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
23,5,4,27,92,21,41,1,1,5,6,5,0,42,0,1,5,1,2,45,2,2,2,1,0,0,0,2,1,0,21,40,22,50,0,0,0,0,0,0,1,2,1,230052,99999,7265,BROADTURN,0000000,0
24,3,4,27,92,18,35,2,2,2,3,3,0,12,4,2,1,4,2,40,2,1,2,1,20,3,0,1,1,0,18,35,18,42,99,99,0,0,0,0,1,2,0,240151,386,422,256,0000000,0
25,13,4,27,92,19,1,1,1,3,13,6,0,1,0,1,1,1,2,35,1,1,2,1,0,0,0,5,1,0,19,3,19,9,19,22,0,0,0,0,1,2,0,250126,0,1430,Mntgmry Rd,0000000,0
26,163,4,27,92,23,0,1,2,9,13,6,0,33,0,1,4,2,2,30,1,9,9,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,260218,7,1260,MACK,0000000,0
32,3,4,27,92,23,0,2,2,5,6,6,0,12,1,1,1,1,2,35,1,1,2,1,0,0,1,2,1,0,23,15,23,18,23,33,0,0,0,0,1,2,2,320053,0,21,BUCHANANBL,0000000,0
35,31,4,27,92,19,28,1,2,5,5,3,0,35,0,1,6,1,2,35,1,1,2,1,0,0,0,1,1,0,19,45,19,55,20,22,0,0,0,0,1,2,1,350085,121,0,118,0000000,0
36,99,4,27,92,20,57,1,1,2,13,2,0,1,0,1,4,2,2,99,2,1,1,1,0,0,0,2,1,0,99,99,20,59,99,99,0,0,0,0,1,2,1,360438,2,0,SR5,0000000,0
36,53,4,27,92,16,38,2,4,4,4,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,16,43,16,45,17,25,0,0,0,0,1,2,0,360459,13,0,26,0000000,0
36,81,4,27,92,18,48,1,2,5,16,6,0,8,0,2,1,9,9,30,1,1,9,1,0,0,0,1,1,0,18,36,18,45,19,5,0,0,0,0,1,2,0,360706,0,4170,215 ST,0000000,1
37,13,4,27,92,19,1,2,4,5,16,6,0,12,2,1,1,1,2,35,2,2,2,1,0,0,0,1,1,0,99,99,19,5,99,99,0,0,0,0,1,2,1,370338,99999,4860,CLARK NECK,0000000,0
38,59,4,27,92,21,30,1,1,4,4,4,0,1,0,10,4,1,2,50,1,1,4,1,0,0,0,2,1,0,21,30,21,40,0,0,0,0,0,0,1,2,0,380025,0,0,0000000000,0000000,0
38,85,4,27,92,23,0,1,1,4,4,3,3,34,0,3,4,1,2,55,2,2,2,1,0,0,0,2,1,0,23,12,23,35,0,0,0,0,0,0,1,2,1,380026,162,0,6,0000000,0
45,71,4,27,92,16,25,2,2,4,4,2,0,12,4,2,1,1,2,55,2,3,9,1,20,3,0,1,1,0,16,32,16,46,99,99,0,0,0,0,1,2,0,450188,0,0,91,0000000,0
47,155,4,27,92,20,5,1,1,4,4,3,0,32,0,1,4,1,2,45,2,2,2,2,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,470281,40,0,SR338,0000000,0
54,79,4,27,92,16,99,3,6,1,1,1,0,12,4,10,1,3,2,65,1,1,2,1,0,0,0,1,1,0,16,12,16,19,17,13,0,0,0,0,1,2,0,540104,438,0,I64,0000000,0
55,79,4,27,92,17,45,2,4,3,14,3,0,12,4,2,1,2,3,35,1,2,1,1,3,3,0,1,1,0,17,52,17,56,18,26,0,0,0,0,1,2,0,550135,0,3100,24,0000000,0
56,13,4,27,92,23,45,1,2,5,5,4,0,31,0,1,4,1,2,55,2,1,2,1,40,3,0,2,1,0,23,55,0,7,0,27,0,0,0,0,1,2,1,560028,10,0,480,0000000,0
