STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
1,73,4,27,92,21,15,1,2,1,11,1,0,38,0,13,6,9,9,40,9,9,1,1,0,0,0,3,1,0,99,99,21,30,99,99,0,0,0,0,1,2,0,10277,1300,350,I20,0000000,0
4,13,4,27,92,23,7,3,7,5,6,4,0,12,2,1,2,1,2,45,2,1,2,1,0,0,0,3,1,2,23,7,99,99,99,99,0,0,0,0,2,2,2,40217,0,0,BROWNRD,0000000,0
6,37,4,27,92,17,50,2,3,2,12,3,0,12,1,15,1,3,3,55,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60937,68,602,91,0000000,0
6,85,4,27,92,19,49,1,2,2,12,2,0,14,0,1,2,2,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60938,233,0,101,0000000,1
6,61,4,27,92,21,45,1,2,2,12,3,0,1,0,1,6,2,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,60939,69,3110,65,0000000,0
6,37,4,27,92,18,20,1,1,3,13,6,0,27,0,3,4,3,3,35,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,61247,0,1980,EAGLE ROCK,0000000,0
6,37,4,27,92,18,10,1,5,2,12,1,0,25,0,1,3,3,4,55,2,2,1,1,40,3,0,1,1,1,99,99,99,99,99,99,0,0,0,0,2,2,1,61755,149,2684,I710,0000000,2
8,5,4,27,92,21,55,1,4,2,13,3,0,8,0,1,1,2,3,45,1,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,80116,709,110,83,0000000,1
10,5,4,27,92,17,0,2,2,4,4,3,0,12,2,2,1,1,2,50,1,1,2,1,20,3,0,1,1,0,17,6,17,12,17,35,0,0,0,0,1,2,1,100026,44,0,SR54-76,0000000,0
18,97,4,27,92,18,39,1,2,1,11,1,0,1,0,1,2,3,3,55,1,1,1,1,0,0,0,1,1,0,18,44,18,48,19,11,0,0,0,0,1,2,0,180215,130,0,I465,0000000,0
22,5,4,27,92,16,25,1,1,1,1,1,0,42,0,1,5,3,2,65,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,220179,1853,0,I10,0000000,0
