STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10231,1,1,0,0,0,1,1,35,0,27,4,2012,6,21,5,0,4,4,CR-6,,0,31.33153056,-87.127725,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,21,16,88,88,0,0,0,1,1
1,10241,1,1,0,0,0,1,1,81,0,27,4,2012,6,22,26,1,2,2,US-SR 1,,1423,32.71205278,-85.37487222,0,1,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,22,40,88,88,0,0,0,1,1
4,40234,1,1,0,1,1,1,1,19,0,27,4,2012,6,21,48,1,11,1,I-19,,600,32.15099167,-110.9864611,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,21,48,21,55,88,88,0,0,0,1,0
5,50139,2,2,0,0,0,3,3,81,0,27,4,2012,6,21,16,0,3,3,SR-41-02,,104,33.81287778,-94.38977778,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,21,24,21,47,99,99,0,0,0,1,0
6,60655,1,1,0,0,0,1,1,7,0,27,4,2012,6,19,32,0,3,4,CR-SKYWAY RD,,0,39.71206111,-121.7752611,0,35,0,0,1,1,0,3,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,60701,1,1,0,0,0,1,1,63,0,27,4,2012,6,16,30,0,2,3,SR-70,,193,40.01175278,-121.1869639,0,1,0,0,1,1,0,5,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,120647,2,2,0,0,0,2,2,5,0,27,4,2012,6,20,27,0,16,6,CR-392,QUARTS ST,0,30.151825,-85.76594167,0,12,6,0,2,3,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,120677,1,1,0,1,1,1,1,31,1510,27,4,2012,6,21,33,0,13,3,SR-228,,99998,30.26711111,-81.84875,0,9,0,0,1,1,0,1,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,120766,2,2,0,0,0,2,2,86,0,27,4,2012,6,23,50,1,12,3,SR-836,,99998,25.78121389,-80.33273889,0,12,1,0,1,1,1,1,3,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
13,130357,1,1,0,1,1,1,1,67,0,27,4,2012,6,18,2,0,14,3,SR-5,HICKS ROAD,73,33.89125,-84.57842778,0,8,0,0,2,3,0,1,1,1,0,1,0,0000000,18,2,18,8,18,22,0,0,0,1,0
13,130358,1,1,0,0,0,1,1,67,0,27,4,2012,6,21,24,0,14,4,CR-RIVERSIDE PARKWAY,,12,33.76167778,-84.56536667,0,42,0,0,1,1,0,6,2,1,0,1,0,0000000,21,25,21,33,88,88,0,0,0,1,0
17,170226,1,1,0,0,0,2,2,75,0,27,4,2012,6,19,22,0,4,2,US-45,,2763,40.50348056,-88.07773611,0,34,0,0,1,1,0,4,5,1,0,1,0,0000000,19,22,99,99,99,99,0,0,0,1,0
24,240122,1,1,0,1,1,1,1,45,1380,27,4,2012,6,23,56,0,13,2,US-13BU,,57,38.36916389,-75.59486667,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,0,4,0,7,0,23,0,0,0,1,0
24,240124,1,1,0,1,1,1,1,25,0,27,4,2012,6,22,29,0,13,2,US-40,JAMES AVE,124,39.50141667,-76.16866389,0,8,0,0,2,3,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
25,250077,1,1,0,0,0,2,2,5,320,27,4,2012,6,21,0,0,14,3,SR-81,,0,41.672475,-71.16131667,0,24,0,0,1,1,0,4,3,1,0,1,0,0000000,21,2,21,7,21,27,0,0,0,1,0
25,250092,1,1,0,0,0,1,1,5,1067,27,4,2012,6,16,49,0,16,8,DAVIS STREET,,0,41.78131111,-71.256525,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,16,49,16,58,17,18,0,0,0,1,0
25,250255,2,2,0,0,0,3,3,3,458,27,4,2012,6,20,9,0,6,8,BRODIE MOUNTAIN ROAD,,0,42.56235278,-73.28822222,0,12,8,0,1,1,0,1,2,1,0,1,0,0000000,20,20,20,33,99,99,0,0,0,1,0
26,260535,1,1,0,0,0,1,1,15,0,27,4,2012,6,22,15,0,4,4,CR-CHARLTON PARK RD,,49,42.62079722,-85.21165556,0,59,0,0,1,1,0,4,2,1,0,1,0,0000000,22,20,22,29,88,88,22,0,0,1,1
29,290203,1,1,0,0,0,1,1,165,4120,27,4,2012,6,18,54,0,12,3,SR-152 RAMP,,0,39.24691944,-94.735025,0,31,0,0,5,1,0,4,1,10,0,10,0,0000000,18,56,19,8,19,48,0,0,0,1,0
37,370259,1,1,0,0,0,1,1,31,0,27,4,2012,6,22,8,1,2,2,US-70,,99999,34.78474722,-76.59114722,0,1,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
39,390215,1,1,0,0,0,1,1,67,0,27,4,2012,6,16,30,0,6,4,CR-15,,0,40.23686389,-80.94623889,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,16,33,16,39,16,58,0,0,0,1,1
39,390216,2,2,0,0,0,2,2,57,0,27,4,2012,6,17,40,1,13,2,US-35,TREBEIN RD,62,39.70062778,-83.99839444,0,12,6,0,2,2,0,1,1,10,0,10,0,0000000,17,41,18,5,99,99,0,0,0,1,0
39,390371,1,1,0,0,0,1,1,47,0,27,4,2012,6,23,48,0,3,2,US-22,,136,39.51483611,-83.53505278,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,23,49,23,57,0,14,0,0,0,1,1
40,400158,1,1,0,0,0,1,1,135,0,27,4,2012,6,18,18,1,2,2,US-59,,38,35.38890833,-94.81448056,0,59,0,0,1,1,0,3,1,1,0,1,0,0000000,18,18,18,26,18,45,0,0,0,1,1
42,420293,2,2,0,0,0,2,2,13,0,27,4,2012,6,22,32,0,4,3,SR-3003 KNOB RUN RD,MOYER RD,65,40.37036111,-78.49853056,0,12,6,0,2,3,0,1,2,1,0,1,0,0000000,22,44,22,53,88,88,0,0,0,1,1
42,420317,2,2,0,0,0,5,5,85,0,27,4,2012,6,17,11,1,1,1,I-79 RAYMOND P SHAFER HW,,1163,41.19445833,-80.16126389,0,12,2,0,1,1,0,2,1,1,0,1,0,0000000,17,14,18,28,99,99,0,0,0,1,1
45,450228,1,1,0,1,1,1,1,29,0,27,4,2012,6,22,30,0,3,3,SR-61,CR-134,9,33.09278333,-80.66705833,0,8,0,0,3,1,0,1,2,1,0,1,0,0000000,22,41,22,58,23,30,0,0,0,1,0
45,450231,1,1,0,0,0,1,1,83,0,27,4,2012,6,22,50,0,6,6,DICKSON RD,,0,35.08688611,-82.12715,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,99,98,99,98,99,98,0,0,0,1,0
47,470251,2,2,0,0,0,5,5,27,0,27,4,2012,6,17,30,0,5,4,CR-ARCOTT RD,,6,36.54781111,-85.51876944,0,12,8,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
48,480832,2,2,0,0,0,2,2,29,6090,27,4,2012,6,20,10,1,11,1,I-10W,,171,29.52128889,-98.55511667,0,12,6,1,18,1,0,1,3,1,0,1,0,0000000,20,16,20,23,20,50,0,0,0,1,1
48,480884,2,2,0,0,0,5,5,231,0,27,4,2012,6,17,55,0,3,8,FM 751,,33,32.87348056,-96.07548889,0,12,6,0,8,1,0,1,1,1,0,1,0,0000000,18,33,18,40,19,31,0,0,0,1,0
49,490062,3,3,0,0,0,4,4,49,0,27,4,2012,6,18,20,0,2,2,US-89,,3032,39.89413611,-111.5504556,0,12,6,0,1,1,0,1,1,1,0,1,0,0000000,18,25,18,51,19,39,0,0,0,1,0
51,510187,3,3,0,0,0,3,3,197,0,27,4,2012,6,18,16,1,2,1,I-81,,7765,36.93713333,-80.99390556,0,24,0,0,1,1,0,3,1,1,10,10,0,0000000,18,17,18,21,20,54,0,0,0,2,0
53,530156,1,1,0,0,0,2,2,61,0,27,4,2012,6,19,23,0,6,4,CR-TURK RD,,3,48.07044722,-122.2716472,3,30,0,0,1,1,0,5,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
55,550117,1,1,0,0,0,1,1,123,0,27,4,2012,6,18,27,0,6,5,KOLL RD,,0,43.66924167,-91.00271944,0,6,0,0,1,1,0,4,1,1,0,1,0,0000000,18,33,99,99,88,88,0,0,0,1,1
