STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
4,40195,4,1,1,0,13,27,4,17,23,12,12,1,0,82,82881,66,1999,T,FRHT,F70,TR,99,17,,7,0,0,MCV,D,,,6,359,,,,00000,00,,,42,1,0,0,1,12,98,0,60,1,1,4,11,3,0,0,0,0,1,0,9,2,1,0,0,8,2,1,2,0,996,417,0,5,0,27,4,2011,18,16,1816,0,53,0,0,0,************,1,7,1,0
4,40195,4,2,1,0,13,27,4,17,23,12,12,1,0,7,7024,4,2007,P,DODG,CTL,4D,7,17,3648,,0,1200,,G,,F,6,165,,17R215,,,,,,,0,0,0,0,6,98,0,36,1,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
4,40195,4,3,1,0,13,27,4,17,23,12,12,1,0,12,12023,4,2008,P,FORD,F/S,4D,8,17,3181,,0,1074,,G,,F,4,140,,16R205,,,,,,,0,0,0,0,6,98,0,27,1,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
4,40195,4,4,1,0,13,27,4,17,23,12,12,1,0,34,34034,4,2007,P,BMW,28I,4D,7,17,3340,,0,1087,,G,,F,6,183,,17R225,,,,,,,0,0,0,0,6,98,0,59,2,1,1,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
5,50158,1,1,1,0,13,27,4,19,40,6,1,0,0,23,23481,31,1995,T,GMC,SC1,PC,95,17,,2,1555,1415,SIE,G,,,8,350,,,B,4068,00,,M,42,0,0,0,1,0,0,0,44,1,1,4,11,7,0,20,0,0,0,9,9,2,1,37,9,8,8,6,0,0,95,0,0,0,7,27,4,2011,20,30,2030,0,50,0,0,0,************,0,7,1,0
12,120672,4,1,1,0,103,27,4,17,46,13,12,6,0,12,12013,5,1995,P,FORD,EST,4H,95,17,2385,,0,984,,G,,F,4,113,,14R175,,,,,,,0,0,0,0,12,12,0,93,1,1,4,11,3,0,1,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,3,0,15,5,2011,16,25,1625,430,39,0,0,0,************,0,7,1,0
12,120672,4,2,1,0,103,27,4,17,46,13,12,6,0,48,48034,4,1995,P,SUBA,SI4,4D,95,17,3030,,0,1035,,G,,F,4,135,,15R195,,,,,,,0,0,0,0,10,10,0,21,2,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,120672,4,3,1,0,103,27,4,17,46,13,12,6,0,49,49402,14,2009,P,TOYT,RG4,UT,9,17,3512,,0,1047,,G,,F,4,153,,17R225,,,,,,,0,0,0,0,6,6,0,52,2,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,120672,4,4,1,0,103,27,4,17,46,13,12,6,0,18,18023,4,2006,P,BUIC,UXS,4D,6,17,4013,,0,1156,,G,,F,8,281,,18R245,,,,,,,0,0,0,0,11,11,0,65,1,1,0,11,3,0,20,0,0,0,0,9,0,0,96,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,121027,2,1,1,0,51,27,4,20,45,2,12,2,0,20,20431,16,1998,P,CHEV,K15,UT,98,17,4825,,0,1315,,G,,F,8,350,,16R245,,,,,,,0,0,0,0,12,12,0,999,9,1,0,11,99,0,99,0,0,0,0,9,0,0,96,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
