STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
4,15,4,27,93,16,55,1,2,3,15,6,0,8,0,1,1,1,2,25,2,2,2,1,0,0,0,1,1,0,16,59,17,2,99,99,0,0,0,0,1,3,0,40202,0,59,LOCUSTBLVD,0000000,1
4,12,4,27,93,19,33,2,4,9,99,9,3,12,9,1,9,9,9,99,9,9,9,9,0,0,0,2,9,0,99,99,99,99,99,99,0,0,0,0,2,3,0,40726,0,340,MOHAVE,0000000,0
6,59,4,27,93,18,45,1,2,3,14,6,0,8,0,1,1,1,4,50,2,2,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,61010,0,2199,ONEILL RD,0000000,1
6,37,4,27,93,21,30,1,3,3,14,6,0,8,0,3,1,1,4,35,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,61011,0,1980,CHATSWORTH,0000000,1
6,37,4,27,93,17,35,1,2,3,13,6,0,8,0,1,1,4,4,25,1,1,2,1,0,0,2,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,61055,0,1980,5TH ST,0000000,1
10,3,4,27,93,17,13,1,1,5,6,4,0,1,0,1,6,1,2,40,2,1,2,1,0,0,0,1,1,0,17,16,17,22,17,52,0,0,0,0,1,3,1,100017,50,0,CR471,0000000,0
12,5,4,27,93,16,40,2,7,4,4,4,0,12,4,2,1,1,2,55,1,1,2,1,0,0,0,1,1,0,16,47,16,56,99,99,0,0,0,0,1,3,0,120689,99999,0,CR572,0000000,0
12,99,4,27,93,16,39,2,2,2,12,2,0,12,4,2,1,1,4,35,1,1,2,1,3,3,0,1,1,0,16,39,16,48,99,99,0,0,0,0,1,3,0,120722,99999,3190,SR805,0000000,0
12,113,4,27,93,18,25,2,2,2,2,2,0,12,4,2,1,2,4,55,1,2,2,1,0,0,0,1,1,0,18,28,18,35,99,99,0,0,0,0,1,3,1,120787,99999,0,US90,0000000,0
13,9,4,27,93,22,50,1,1,3,14,3,0,30,0,1,6,1,2,55,2,3,2,1,0,0,0,2,1,0,22,58,23,12,0,15,0,0,0,0,1,3,1,130354,79,0,212,0000000,0
