STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
4,40195,4,4,0,0,0,4,4,13,290,27,4,2011,4,17,23,1,12,2,US-60,,1779,33.38591667,-111.867519440,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,17,23,17,35,18,10,0,0,0,1,0
5,50158,1,1,0,0,0,1,1,13,9999,27,4,2011,4,19,40,0,6,4,CR 54,,0,33.59349444,-92.489197220,0,1,0,0,1,1,5,0,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
12,120672,4,4,0,0,0,4,4,103,860,27,4,2011,4,17,46,0,13,3,SR-580,BELCHER ROAD,99998,28.01936667,-82.746866670,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121027,2,2,0,0,0,3,3,51,0,27,4,2011,4,20,45,0,2,3,SR-29,,99998,26.59602778,-81.436652780,0,12,2,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121283,1,1,0,1,1,1,1,86,2010,27,4,2011,4,20,13,1,13,2,US-1,31ST AVENUE,99998,25.73770278,-80.243838890,0,8,0,0,3,2,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
16,160026,2,2,0,0,0,4,4,27,1200,27,4,2011,4,16,56,0,15,6,HAPPY VALLEY RD,LEWIS LN,140,43.51733889,-116.512941670,0,12,6,0,2,3,1,0,1,1,0,1,0,0000000,16,57,16,58,99,99,0,0,0,1,0
26,260192,1,1,0,0,0,3,3,25,0,27,4,2011,4,16,45,0,4,4,N DR,,74,42.34992500,-84.989075000,0,16,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,0
26,260195,3,3,0,0,0,4,4,99,4731,27,4,2011,4,17,45,0,14,6,HAYES RD,CLINTON RIVER RD,70,42.57992222,-82.971358330,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,17,47,17,53,99,99,0,0,0,1,0
29,290247,1,1,0,0,0,1,1,139,3670,27,4,2011,4,18,51,1,1,1,I-70,,143,38.87761111,-91.385527780,0,59,0,0,1,1,4,0,1,10,0,10,0,0000000,19,9,19,27,20,7,0,0,0,1,0
32,320064,1,1,0,0,0,1,1,3,0,27,4,2011,4,22,18,0,16,6,RENO AVE,,0,36.09672778,-115.097288890,0,33,0,0,1,1,4,0,3,1,0,1,0,0000000,22,19,22,29,22,38,0,0,0,1,1
33,330021,1,1,0,0,0,1,1,11,334,27,4,2011,4,19,51,1,2,8,EVERETT TURNPIKE,,0,42.88671944,-71.478252780,0,25,0,0,1,1,3,0,5,1,0,1,0,0000000,19,51,19,59,20,41,0,0,0,1,0
37,370260,1,1,0,0,0,2,2,93,0,27,4,2011,4,17,5,0,5,4,RP-1432,,99999,34.94758333,-79.128083330,0,1,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
42,420283,2,2,0,0,0,3,3,109,0,27,4,2011,4,19,48,0,3,3,SR-35,,128,40.77664444,-76.900988890,0,24,0,0,1,1,4,0,5,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
45,450205,1,1,0,1,1,1,1,83,0,27,4,2011,4,22,24,0,3,5,SUGAR RIDGE RD,,0,35.08055000,-82.028475000,0,9,0,0,1,1,1,0,2,10,0,10,0,0000000,22,18,22,27,23,5,0,0,0,1,0
45,450206,2,2,0,0,0,4,4,11,0,27,4,2011,4,19,20,0,4,4,21,,71,33.34547778,-81.461950000,0,12,2,0,1,1,2,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480836,1,1,0,0,0,1,1,339,0,27,4,2011,4,22,15,0,6,4,FIRETOWER RD,,0,30.22432778,-95.270261110,0,1,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
48,480838,3,3,0,0,0,4,4,481,7410,27,4,2011,4,17,10,1,13,2,US-59,,152,29.26584722,-96.156452780,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,17,24,17,47,18,23,0,0,0,2,2
