STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,LATITUDE,LONGITUD
1,73,4,27,19,10,1,1,0,0,14,6,0,30,0,1,6,1,2,35,1,2,2,2,0,0,0,3,1,0,99,99,19,17,0,0,0,0,0,0,1,3,0,10339,350,0,1999,7811,0000000,88888888,888888888
4,13,4,27,19,37,1,2,1,0,13,6,0,8,0,1,1,2,2,35,2,1,2,1,0,0,0,3,1,0,19,37,19,42,0,0,0,0,0,0,1,3,1,40261,370,0,1999,7TH AV,0000000,88888888,888888888
12,81,4,27,22,29,1,1,0,0,14,3,0,43,0,1,2,1,4,45,1,1,2,1,0,0,0,3,1,0,22,31,22,31,99,99,0,0,0,0,1,3,0,120746,0,99999,1999,SR-684,0000000,88888888,888888888
12,45,4,27,21,5,1,1,0,0,9,4,0,1,0,1,2,1,2,45,1,2,2,1,0,0,0,2,1,0,21,20,21,25,99,99,0,0,0,0,1,3,1,121978,0,99999,1999,C30A,0000000,88888888,888888888
16,77,4,27,17,10,1,4,0,1,1,1,0,1,0,1,2,3,4,75,2,1,2,1,0,0,0,1,1,0,17,42,17,55,99,99,0,0,0,0,1,3,0,160060,0,270,1999,I-86,0000000,88888888,888888888
21,193,4,27,19,55,1,1,0,0,6,5,0,35,0,1,4,9,9,99,1,2,4,1,0,0,0,5,1,0,20,3,20,23,0,0,0,0,0,0,1,3,1,210178,115,0,1999,STARFIRE MINING RD,0000000,88888888,888888888
22,73,4,27,22,23,1,1,0,0,6,4,0,42,0,1,4,1,2,35,1,2,2,1,0,0,0,2,1,0,22,25,22,39,22,59,0,0,0,0,1,3,0,220197,0,0,1999,RUSSELLROAD,0000000,88888888,888888888
26,163,4,27,23,30,2,4,0,0,13,6,0,12,4,2,1,1,4,30,1,9,9,1,20,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,260261,1260,142,1999,7 MILE,0000000,88888888,888888888
26,163,4,27,20,18,2,4,0,0,13,6,0,12,4,2,1,2,2,35,1,9,9,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,260262,1260,8,1999,7 MILE,0000000,88888888,888888888
35,1,4,27,22,41,1,2,1,0,13,6,0,8,0,2,1,2,2,35,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,350308,30,0,1999,LOUISIANA,0000000,88888888,888888888
37,19,4,27,22,25,2,4,0,0,15,3,0,12,4,1,1,1,2,45,2,1,2,1,0,0,0,2,1,0,22,37,23,0,23,30,0,0,0,0,1,3,0,370335,0,99999,1999,SR-1435,0000000,88888888,888888888
39,59,4,27,18,43,1,1,0,1,1,1,0,1,0,15,1,2,2,55,2,2,2,1,8,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,390332,0,98,1999,I-70,0000000,88888888,888888888
39,101,4,27,16,30,2,3,0,0,4,3,0,12,4,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,390733,0,156,1999,SR-98,0000000,88888888,888888888
40,131,4,27,19,27,2,3,0,1,13,2,0,12,1,3,1,1,2,65,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,400175,0,41,1999,US-412,0000000,88888888,888888888
42,101,4,27,17,6,1,2,0,0,15,6,0,14,0,1,2,1,2,55,1,2,2,1,0,0,0,1,1,0,17,5,17,11,17,27,0,22,0,0,2,3,1,420272,6540,0,1999,SALAIGNAC ST,0000000,88888888,888888888
48,85,4,27,17,36,2,2,0,0,16,5,0,13,2,1,1,2,3,45,2,3,1,1,0,0,0,1,1,0,17,38,17,43,18,32,0,0,0,0,1,3,0,480835,5390,0,1999,14THST,0000000,88888888,888888888
51,19,4,27,21,30,1,2,0,0,16,4,0,5,0,1,1,1,2,25,2,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,510205,0,2,1999,OAKKNOBDR,0000000,88888888,888888888
53,57,4,27,19,57,1,1,0,1,1,1,0,21,0,15,3,2,2,70,2,1,2,1,0,0,0,1,1,0,19,59,20,5,0,0,0,0,0,0,1,3,0,530137,0,2239,1999,I-5,0000000,88888888,888888888
