STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
1,73,4,27,21,15,1,11,38,0,0,1,22,2,84,0,0,0,0,12,12,1,0,,1,0,24,2,1,11,0,0,0,9,9,4,1,4,28,92,1,42,4,27,0,0,0,0,10277,22009,3189,1010,0,,142,************,***,FAM,2H,0,9,0,9,8,0,0,96
1,73,4,27,21,15,1,11,38,0,0,1,22,2,84,0,0,0,0,12,12,1,0,,2,0,41,2,2,13,0,0,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,10277,22009,3189,1010,0,,0,000000000000,***,FAM,2H,3,9,0,8,8,0,0,96
4,13,4,27,23,7,3,6,12,2,0,1,20,4,72,2,0,0,0,12,12,1,0,,1,0,28,2,1,11,0,0,1,5,1,3,1,0,0,0,0,0,,,0,0,0,8,40217,20001,3240,1120,1160,,0,000000000000,***,MAL,4D,0,9,0,8,8,1,1,25
4,13,4,27,23,7,3,6,12,2,0,1,20,4,72,2,0,0,0,12,12,1,0,,2,0,3,1,2,13,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,40217,20001,3240,1120,1160,,0,000000000000,***,MAL,4D,0,9,0,8,8,0,0,96
4,13,4,27,23,7,3,6,12,2,0,2,35,30,92,2,0,0,0,12,12,1,0,1,1,0,21,1,1,11,0,0,0,5,1,3,1,0,0,0,0,0,,,0,0,0,8,40217,35471,,,,,0,000000000000,TRK,SWB,PK,0,9,0,8,8,1,1,0
4,13,4,27,23,7,3,6,12,2,0,2,35,30,92,2,0,0,0,12,12,1,0,1,2,0,29,2,2,13,0,0,0,9,8,4,1,4,28,92,0,20,1,13,0,0,0,0,40217,35471,,,,,20,************,TRK,SWB,PK,0,9,0,8,8,0,0,5
4,13,4,27,23,7,3,6,12,2,0,2,35,30,92,2,0,0,0,12,12,1,0,1,3,0,20,2,2,52,0,1,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,40217,35471,,,,,0,000000000000,TRK,SWB,PK,0,9,8,8,8,0,0,96
4,13,4,27,23,7,3,6,12,2,0,2,35,30,92,2,0,0,0,12,12,1,0,1,4,0,24,1,2,52,0,1,0,9,8,4,0,4,27,92,23,7,0,0,0,0,0,0,40217,35471,,,,,2307,************,TRK,SWB,PK,0,9,8,8,8,0,0,11
4,13,4,27,23,7,3,6,12,2,0,3,12,4,91,0,0,5,0,14,14,1,0,,1,0,41,1,1,11,0,0,0,9,0,2,0,0,0,0,0,0,,,0,0,0,8,40217,12016,3822,1143,0,,0,000000000000,***,CVS,4D,8,9,0,8,8,0,0,96
6,37,4,27,17,50,2,12,12,1,0,1,30,20,78,2,0,0,0,5,14,3,0,,1,0,24,2,1,11,0,0,0,9,0,1,1,0,0,0,0,0,,,0,0,0,8,60937,30441,2952,945,0,,0,000000000000,***,TRA,SW,9,9,0,8,8,0,0,96
6,37,4,27,17,50,2,12,12,1,0,1,30,20,78,2,0,0,0,5,14,3,0,,2,0,40,2,2,51,0,0,0,9,8,4,1,5,1,92,16,25,94,35,0,0,0,0,60937,30441,2952,945,0,,1625,************,***,TRA,SW,9,9,0,8,8,0,0,96
6,37,4,27,17,50,2,12,12,1,0,2,35,2,84,0,0,0,0,12,12,1,0,,1,0,33,2,1,11,0,0,0,9,0,1,0,0,0,0,0,0,,,0,0,0,8,60937,35034,2924,913,0,,0,000000000000,***,30X,CP,3,9,0,8,8,0,0,96
6,85,4,27,19,49,1,12,14,0,0,0,,,,,,,,,,,,,1,1,48,1,3,0,15,0,0,9,8,4,1,4,28,92,0,25,4,36,0,0,0,1,60938,,,,,,25,************,,,,0,0,0,8,8,1,1,0
6,85,4,27,19,49,1,12,14,0,0,1,23,66,84,0,1,0,0,4,4,1,0,8,1,0,49,1,1,11,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,0,8,60938,23884,,,,,0,000000000000,H95,J9C,CC,2,9,0,8,8,0,0,0
6,61,4,27,21,45,1,12,1,0,0,1,35,30,90,1,0,0,0,0,0,0,0,1,1,0,23,2,1,11,0,1,0,8,1,4,0,4,27,92,22,0,0,15,0,0,0,0,60939,35471,,,,,2200,************,D21,U2S,PK,0,9,9,8,8,1,1,20
6,61,4,27,21,45,1,12,1,0,0,1,35,30,90,1,0,0,0,0,0,0,0,1,2,0,29,2,2,13,0,0,0,8,1,3,1,0,0,0,0,0,,,0,0,0,8,60939,35471,,,,,0,000000000000,D21,U2S,PK,3,9,0,8,8,0,0,96
6,37,4,27,18,20,1,13,27,0,0,1,49,30,89,0,0,0,0,12,1,1,0,1,1,0,58,1,1,11,0,0,0,9,0,4,1,5,1,92,23,41,101,21,0,0,0,0,61247,49471,,,,,2341,************,HTP,SWD,PK,3,9,0,8,8,0,0,96
6,37,4,27,18,10,1,12,25,0,0,0,,,,,,,,,,,,,1,1,31,1,5,0,15,0,0,9,0,4,0,4,27,92,18,10,0,0,0,0,0,0,61755,,,,,,1810,************,,,,0,0,0,8,8,1,1,0
6,37,4,27,18,10,1,12,25,0,0,0,,,,,,,,,,,,,2,1,36,1,5,0,15,0,0,9,0,4,1,4,27,92,19,26,1,16,0,0,0,1,61755,,,,,,1926,************,,,,0,0,0,8,8,1,1,0
6,37,4,27,18,10,1,12,25,0,0,1,12,14,86,0,0,0,0,11,1,1,0,,1,0,31,1,1,11,0,0,0,5,1,2,1,0,0,0,0,0,,,0,0,0,8,61755,12401,9999,940,0,,0,000000000000,***,BII,UT,0,9,0,8,8,1,1,22
6,37,4,27,18,10,1,12,25,0,0,1,12,14,86,0,0,0,0,11,1,1,0,,2,0,18,1,2,23,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,61755,12401,9999,940,0,,0,000000000000,***,BII,UT,2,9,0,8,8,0,0,96
6,37,4,27,18,10,1,12,25,0,0,1,12,14,86,0,0,0,0,11,1,1,0,,3,0,16,1,2,21,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,61755,12401,9999,940,0,,0,000000000000,***,BII,UT,2,9,0,8,8,0,0,96
8,5,4,27,21,55,1,13,8,0,0,0,,,,,,,,,,,,,1,1,24,1,5,0,12,0,0,5,1,4,1,4,27,92,22,49,0,54,2,0,0,0,80116,,,,,,2249,************,,,,0,0,0,0,8,9,99,28
8,5,4,27,21,55,1,13,8,0,0,1,9,4,92,0,0,0,0,12,12,1,0,,1,0,42,1,1,11,0,0,0,5,0,0,0,0,0,0,0,0,,,0,0,0,8,80116,9017,2606,970,0,,0,000000000000,***,SUN,4H,8,9,0,0,8,0,0,2
8,5,4,27,21,55,1,13,8,0,0,1,9,4,92,0,0,0,0,12,12,1,0,,2,0,18,1,2,13,0,0,0,9,8,1,0,0,0,0,0,0,,,0,0,0,8,80116,9017,2606,970,0,,0,000000000000,***,SUN,4H,8,9,0,8,8,0,0,96
8,5,4,27,21,55,1,13,8,0,0,1,9,4,92,0,0,0,0,12,12,1,0,,3,0,99,1,2,23,0,0,0,9,8,0,0,0,0,0,0,0,,,0,0,0,8,80116,9017,2606,970,0,,0,000000000000,***,SUN,4H,8,9,0,8,8,0,0,96
10,5,4,27,17,0,2,4,12,2,0,1,23,66,85,0,1,0,0,12,12,1,0,7,1,0,39,1,1,11,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,8,100026,23881,,,,,0,000000000000,H95,J9C,CC,9,9,0,8,8,0,0,0
10,5,4,27,17,0,2,4,12,2,0,2,12,31,85,2,0,0,0,3,3,1,0,1,1,0,71,1,1,11,0,2,0,1,1,4,1,4,27,92,17,44,0,44,0,0,0,0,100026,12481,,,,,1744,************,COF,F15,PK,0,9,4,8,8,9,99,14
18,97,4,27,18,39,1,11,1,0,0,1,12,30,89,1,1,0,0,0,0,0,0,1,1,0,22,1,1,11,0,0,0,9,0,1,1,0,0,0,0,0,,,0,0,0,8,180215,12471,,,,,0,000000000000,RNG,RNG,PK,3,9,0,8,8,0,0,0
18,97,4,27,18,39,1,11,1,0,0,1,12,30,89,1,1,0,0,0,0,0,0,1,2,0,26,1,2,13,0,1,0,9,8,4,0,4,27,92,18,39,0,0,0,0,0,0,180215,12471,,,,,1839,************,RNG,RNG,PK,0,9,2,8,8,7,1,0
22,5,4,27,16,25,1,1,42,0,0,1,49,30,87,0,0,0,0,11,11,1,0,1,1,0,28,1,1,11,0,0,1,9,9,4,1,4,28,92,2,8,9,43,0,0,0,0,220179,49471,,,,,208,************,HTP,RN5,PK,9,9,0,8,8,9,99,99
23,5,4,27,21,41,1,6,42,0,0,1,12,2,84,0,0,0,0,12,12,1,0,,1,0,42,2,1,11,0,0,0,1,1,4,0,4,27,92,99,99,999,99,0,0,0,0,230052,12015,9999,999,0,,9999,************,***,TGL,2D,0,9,0,8,8,0,0,27
24,3,4,27,18,35,2,3,12,4,0,1,20,31,91,0,0,0,0,12,12,1,0,1,1,0,21,1,1,11,0,0,0,9,0,4,1,4,27,92,18,35,0,0,0,0,0,9,240151,20481,,,,,1835,************,S,S14,PK,0,9,0,8,8,9,99,96
24,3,4,27,18,35,2,3,12,4,0,2,20,31,77,0,0,0,0,10,10,2,0,2,1,0,17,1,1,11,0,0,0,9,0,3,1,0,0,0,0,0,,,0,0,0,8,240151,20481,,,,,0,000000000000,VAN,G30,VN,0,9,0,8,8,9,99,96
25,13,4,27,19,1,1,13,1,0,0,1,76,80,89,0,0,0,0,12,12,1,0,,1,0,20,1,1,11,0,0,0,9,8,4,1,4,27,92,20,11,1,10,0,0,0,0,250126,76705,,,,599,2011,************,***,ZR6,RS,5,9,0,8,8,1,1,0
26,163,4,27,23,0,1,13,33,0,0,1,21,2,81,2,0,0,0,2,2,1,0,,1,0,32,1,1,11,0,0,0,9,1,1,0,0,0,0,0,0,,,0,0,0,8,260218,21399,3137,1081,0,,0,000000000000,***,CSU,CP,9,9,0,8,8,0,0,4
26,163,4,27,23,0,1,13,33,0,0,1,21,2,81,2,0,0,0,2,2,1,0,,2,0,34,2,2,13,0,0,0,9,8,4,1,4,28,92,1,12,2,12,0,0,0,0,260218,21399,3137,1081,0,,112,************,***,CSU,CP,9,9,0,8,8,0,0,3
32,3,4,27,23,0,2,6,12,1,0,1,20,2,77,0,0,0,0,12,12,1,0,,1,0,29,1,1,11,0,0,0,9,1,0,0,0,0,0,0,0,,,0,0,0,8,320053,20001,3599,1120,1160,,0,000000000000,***,MCL,CP,8,9,0,8,8,0,0,2
32,3,4,27,23,0,2,6,12,1,0,2,21,2,79,0,0,0,0,6,9,2,0,,1,0,25,1,1,11,0,2,0,9,1,4,1,4,28,92,0,14,1,14,0,0,0,0,320053,21001,3122,1081,0,,14,************,***,CCA,CP,0,9,2,8,8,0,0,7
35,31,4,27,19,28,1,5,35,0,0,1,20,31,85,2,0,0,0,12,12,1,0,1,1,0,23,1,1,11,0,0,0,8,1,3,1,0,0,0,0,0,,,0,0,0,8,350085,20481,,,,,0,000000000000,C10,C10,PK,0,9,0,8,8,0,0,17
35,31,4,27,19,28,1,5,35,0,0,1,20,31,85,2,0,0,0,12,12,1,0,1,2,0,30,1,2,13,0,1,0,9,8,4,0,4,27,92,21,0,1,32,0,0,0,0,350085,20481,,,,,2100,************,C10,C10,PK,9,9,9,8,8,2,6,22
36,99,4,27,20,57,1,13,1,0,0,1,49,30,86,1,0,0,0,0,0,0,0,1,1,0,22,1,1,11,0,2,0,9,1,4,1,4,27,92,21,37,0,40,0,0,0,0,360438,49471,,,,,2137,************,HTP,RN5,PK,0,9,9,0,8,8,97,23
36,53,4,27,16,38,2,4,12,2,0,1,9,2,72,0,0,0,0,12,12,1,0,,1,0,22,2,1,11,0,0,0,9,0,4,0,4,27,92,18,0,1,22,0,0,0,0,360459,9001,2825,1110,0,,1800,************,***,SCA,2T,3,9,0,0,8,1,1,0
36,53,4,27,16,38,2,4,12,2,0,1,9,2,72,0,0,0,0,12,12,1,0,,2,0,20,2,2,13,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,360459,9001,2825,1110,0,,0,000000000000,***,SCA,2T,3,9,0,8,8,0,0,96
36,53,4,27,16,38,2,4,12,2,0,1,9,2,72,0,0,0,0,12,12,1,0,,3,0,1,1,2,23,0,0,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,360459,9001,2825,1110,0,,0,000000000000,***,SCA,2T,4,9,0,8,8,0,0,96
