STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,YEAR,TWAY_ID,RAIL,PEDS
4,15,4,27,21,47,2,3,0,3,3,0,12,4,1,1,1,2,55,2,2,2,1,0,0,0,2,1,0,21,47,22,2,99,99,0,19,0,0,1,2,0,40212,109,0,1998,SR-68,0000000,0
5,25,4,27,17,30,2,4,1,2,2,0,12,2,1,1,1,2,55,1,1,2,2,0,0,0,1,2,0,17,30,17,35,99,99,0,0,0,0,1,2,2,50143,13,0,1998,US-79-08,0000000,0
5,91,4,27,22,30,1,1,1,1,1,0,24,0,1,2,2,4,65,1,1,1,2,0,0,0,2,8,0,22,35,22,50,0,0,0,0,0,0,1,2,1,50144,49,3810,1998,I-30-11,0000000,0
6,31,4,27,19,20,1,1,1,2,3,0,1,0,1,3,2,2,65,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,60722,43,0,1998,SR-198,0000000,0
6,93,4,27,17,50,1,1,0,3,3,0,42,0,1,6,1,2,55,2,1,2,1,40,3,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,2,0,60724,523,0,1998,SR-263,0000000,0
6,107,4,27,20,30,1,2,0,3,3,0,8,0,1,1,1,4,45,1,1,2,1,0,0,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60727,231,0,1998,SR-63,0000000,1
13,89,4,27,22,10,1,2,0,13,3,0,8,0,1,1,1,4,35,2,1,2,1,0,0,0,3,1,1,22,11,22,14,22,30,0,0,0,0,1,2,0,130373,2,0,1998,SR-907,0000000,1
13,67,4,27,23,19,1,1,0,14,4,0,30,0,1,6,2,2,45,2,2,2,1,0,0,0,2,1,0,23,22,23,30,0,0,0,0,0,0,1,2,0,130384,40,0,1998,4402,0000000,0
13,95,4,27,18,34,2,2,0,14,4,0,12,4,2,1,2,2,45,1,1,2,1,20,3,0,1,1,0,18,34,18,40,19,9,0,0,0,0,1,2,0,130454,31,0,1998,011800,0000000,0
17,139,4,27,21,30,1,1,0,5,4,0,1,0,1,5,1,2,55,2,1,2,1,0,0,0,2,1,0,21,32,21,99,99,99,0,0,0,0,1,2,1,170300,0,0,1998,1300E,0000000,0
18,21,4,27,21,20,6,11,1,1,1,0,12,1,1,1,3,4,65,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,3,2,0,180232,180,0,1998,I-70,0000000,0
19,23,4,27,19,58,2,2,0,4,4,0,12,2,2,1,1,2,25,1,1,2,1,40,3,0,1,1,0,20,4,20,5,20,31,0,0,0,0,1,2,0,190089,0,3450,1998,W SOUTH ST,0000000,0
22,89,4,27,21,55,2,2,1,1,1,0,12,1,1,1,3,2,70,1,1,1,2,0,0,0,3,1,0,22,0,22,7,0,0,0,0,0,0,1,2,0,220174,63,0,1998,I-310,0000000,0
24,5,4,27,21,11,3,1,0,13,3,0,33,0,1,6,1,5,40,1,3,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,240180,80,0,1998,SR-45,0000000,0
24,510,4,27,21,53,2,2,0,99,9,0,12,4,2,1,1,2,30,1,2,2,1,0,0,0,3,1,0,22,19,22,22,22,35,0,0,0,0,1,2,0,240479,99999,50,1998,REISTERSTOWN RD,0000000,0
26,99,4,27,17,34,1,2,0,16,4,0,8,0,1,1,1,2,55,1,9,5,1,0,0,0,1,1,0,17,34,17,43,0,0,0,0,0,0,1,2,0,260338,53,0,1998,27 MILE ROAD,0000000,1
36,67,4,27,18,30,2,3,0,5,4,0,12,4,2,1,1,2,55,1,2,2,1,20,3,0,1,1,0,18,30,18,39,19,7,0,0,0,0,1,2,0,360494,0,4903,1998,CR-182,0000000,0
42,95,4,27,18,10,2,2,1,13,8,8,12,1,15,1,3,7,55,1,1,1,1,40,3,0,1,1,0,18,11,18,20,0,0,0,0,0,0,1,2,0,420323,0,0,1998,I-78,0000000,0
47,157,4,27,16,50,3,4,0,14,6,0,12,4,2,1,2,3,40,1,1,2,2,3,3,0,1,2,0,99,99,99,99,99,99,0,0,0,0,1,2,0,470289,60,1620,1998,QUINCE,0000000,0
47,157,4,27,22,5,1,1,0,14,6,0,30,0,1,4,1,4,40,1,1,2,2,0,0,0,3,2,0,99,99,99,99,0,0,0,0,0,0,1,2,0,470290,13,1620,1998,SOUTHERN,0000000,0
49,41,4,27,20,40,2,5,1,1,1,0,12,6,1,1,2,2,75,2,2,2,1,0,0,0,5,1,0,20,46,21,9,99,99,0,0,0,0,1,2,0,490081,680,0,1998,I-70,0000000,0
53,11,4,27,19,19,2,2,0,16,6,0,12,4,1,1,2,2,25,1,2,2,1,0,0,0,5,1,0,19,18,19,22,0,0,0,0,0,0,1,2,1,530155,0,2370,1998,STAPLETON,0000000,0
55,9,4,27,18,57,2,2,1,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,18,57,18,59,0,0,0,0,0,0,1,2,0,550140,0,0,1998,SR-57,0000000,0
