STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,latitude,longitud
1,51,4,27,17,50,2,2,0,0,6,4,0,12,2,1,1,1,2,45,1,2,2,1,0,0,0,1,1,0,99,99,18,30,99,99,0,0,0,0,1,6,1,10243,0,0,2001,1103,0000000,,
1,25,4,27,23,10,1,2,0,0,4,3,0,42,0,1,6,1,2,55,2,2,2,1,0,0,0,2,1,0,99,99,23,45,0,0,0,0,0,0,1,6,1,10258,0,42,2001,SR-154,0000000,,
1,49,4,27,17,16,2,4,0,0,3,3,0,12,4,2,1,1,2,40,1,1,2,1,20,3,0,1,1,0,99,99,17,20,99,99,0,0,0,0,2,6,0,10270,2564,99999,2001,SR-75,0000000,,
4,3,4,27,23,50,1,15,0,1,1,1,0,1,0,1,3,2,2,75,1,2,2,1,0,0,0,2,1,0,23,52,0,25,99,99,0,0,0,0,2,6,0,40174,0,3242,2001,I-10,0000000,,
5,115,4,27,23,15,1,3,0,0,3,3,0,42,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,23,20,23,30,99,99,0,0,0,0,1,6,1,50136,0,179,2001,SR-7-15,0000000,35.495611111,-93.099775
6,71,4,27,20,20,1,3,1,0,14,4,0,8,0,1,1,1,4,45,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,6,1,60903,0,0,2001,VALLEY BLVD,0000000,,
6,1,4,27,23,55,1,1,0,0,16,6,0,33,0,1,4,1,2,25,1,1,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,99,99,99,1,6,1,60904,1364,0,2001,HACKBERRY ST,0000000,37.472977778,-121.9158417
8,101,4,27,18,15,1,2,0,0,6,4,0,1,0,1,6,1,2,25,2,2,4,1,40,3,0,1,1,0,18,16,18,25,19,23,0,0,0,0,1,6,2,80145,0,0,2001,CLENIN RD,0000000,37.898069444,-104.9238806
10,5,4,27,20,28,2,4,0,0,4,3,0,11,0,1,1,1,2,50,1,1,2,1,0,0,0,2,1,0,20,34,20,39,21,28,0,0,0,0,1,6,0,100030,0,32,2001,SR-36,0000000,38.851922222,-75.50866944
12,81,4,27,23,50,1,3,0,0,3,9,0,35,0,1,4,2,2,40,2,1,2,1,0,0,0,2,1,0,23,52,23,59,99,99,0,0,0,0,1,6,1,120778,0,99999,2001,FT HAMER RD,0000000,27.534738889,-82.426
12,71,4,27,21,5,1,2,1,0,6,4,0,9,0,1,1,1,2,55,1,1,2,1,0,0,2,2,1,0,21,7,21,16,0,0,0,0,0,0,1,6,0,120779,0,99999,2001,STRINGFELLOW RD,0000000,26.612616667,-82.11783056
12,95,4,27,19,24,1,1,0,1,6,4,0,38,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,19,26,19,35,0,0,0,0,0,0,1,6,0,120782,0,99999,2001,CR-420,0000000,28.583022222,-81.16874167
12,101,4,27,16,30,1,4,0,0,6,4,0,1,0,1,6,1,2,55,2,2,2,1,0,0,0,1,1,0,16,36,16,45,99,99,0,0,0,0,1,6,0,120783,0,99999,2001,CR-579,0000000,28.310425,-82.2378
13,121,4,27,22,30,1,1,0,0,14,4,0,30,0,1,2,1,3,35,1,1,2,1,0,0,0,3,1,0,22,30,22,40,23,0,0,0,0,0,1,6,1,130737,280,99999,2001,4176,0000000,33.722569444,-84.46246389
16,11,4,27,22,7,2,4,0,0,4,2,0,12,4,2,1,1,2,55,1,1,2,1,20,2,0,2,1,0,22,7,22,15,99,99,0,0,0,0,2,6,0,160046,0,1067,2001,US-91,0000000,43.333911111,-112.160625
17,197,4,27,17,30,2,3,0,1,13,3,0,12,4,2,1,2,2,55,1,1,2,1,20,3,0,1,1,0,17,42,17,99,99,99,0,0,0,0,1,6,0,170300,0,1,2001,SR-394,0000000,41.391630556,-87.62656944
17,31,4,27,19,36,1,2,1,1,13,2,0,8,0,1,1,1,6,40,1,1,2,1,0,0,0,1,1,0,19,36,19,99,99,99,0,0,0,0,1,6,1,170302,2890,740,2001,US-12,0000000,41.720752778,-87.7
20,59,4,27,22,40,2,4,0,1,1,1,0,12,4,1,1,2,2,70,1,2,2,1,0,0,0,2,1,0,22,41,22,54,23,52,0,0,0,0,1,6,2,200107,0,1930,2001,I-35,0000000,38.670597222,-95.15586389
20,5,4,27,21,40,1,6,0,0,4,3,0,42,0,1,4,1,2,55,2,1,1,1,28,3,0,2,1,0,22,8,22,37,23,17,0,0,0,0,2,6,0,200108,0,30,2001,SR-74,0000000,39.426244444,-95.090575
21,67,4,27,20,55,1,4,0,0,16,5,0,43,0,1,4,1,2,25,2,2,2,1,0,0,0,3,1,0,20,56,21,20,21,39,0,0,0,0,1,6,1,210209,1980,0,2001,PALOMAR BLVD,0000000,38.003747222,-84.58224167
24,1,4,27,17,52,1,1,0,1,2,2,0,32,0,1,4,1,2,50,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,6,1,240079,1298,50,2001,US-220,0000000,39.492388889,-78.93891667
24,5,4,27,23,38,2,2,0,0,14,4,0,14,0,2,2,1,2,30,1,1,2,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,6,1,240187,0,0,2001,NORTH POINT ROAD,0000000,39.233738889,-76.45671944
26,117,4,27,21,21,2,3,0,0,4,4,0,12,1,1,1,1,2,55,1,1,2,2,0,0,0,2,1,0,21,21,21,30,99,99,0,22,0,0,1,6,3,260431,0,2,2001,WYMAN ROAD,0000000,43.296877778,-85.04461111
26,163,4,27,16,36,1,1,0,1,13,3,0,33,0,1,4,2,3,30,1,1,2,1,0,0,0,1,1,0,16,37,16,39,99,99,0,0,0,0,1,6,0,260554,2820,129,2001,SR-85,0000000,42.24925,-83.17733889
28,85,4,27,23,28,2,2,0,0,4,2,0,12,2,1,1,2,4,65,1,1,2,1,0,0,0,2,1,0,23,40,23,58,0,12,0,0,0,0,2,6,2,280149,0,19,2001,US-84,0000000,31.536952778,-90.49106111
29,51,4,27,16,45,1,1,0,1,2,2,0,1,0,1,4,2,2,70,1,2,2,1,0,0,0,1,1,0,16,45,17,1,99,99,0,0,0,0,1,6,1,290213,0,99,2001,US-54,0000000,38.478766667,-92.274325
36,47,4,27,23,45,1,2,1,0,13,6,0,8,0,2,1,4,9,30,1,1,2,1,3,3,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,6,0,360552,4170,0,2001,NEWKIRK AVENUE,0000000,40.639627778,-73.9542
36,5,4,27,17,14,2,3,0,1,11,1,0,12,4,2,1,2,3,99,2,2,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,6,0,360604,4170,95,2001,I-95,0000000,40.882636111,-73.82870833
37,1,4,27,20,45,1,1,0,0,6,4,0,1,0,1,2,1,2,45,2,1,2,1,0,0,0,2,1,0,21,1,21,8,21,37,0,0,0,0,1,6,1,370250,0,99999,2001,RP-2387,0000000,,
37,25,4,27,17,40,2,4,0,0,14,6,0,12,2,2,1,1,4,45,1,1,2,1,20,3,0,1,1,0,17,40,17,44,18,15,0,0,0,0,2,6,0,370521,2390,99999,2001,LANE STREET,0000000,,
37,119,4,27,16,56,2,2,0,0,14,6,0,12,4,2,1,1,2,45,1,2,2,1,20,3,0,1,1,0,16,56,17,3,99,99,0,0,0,0,1,6,0,370528,2280,99999,2001,STATESVILLE RD,0000000,,
39,133,4,27,17,41,3,3,0,1,1,1,0,12,1,19,1,2,4,55,1,1,2,1,0,0,0,1,1,4,18,13,18,33,19,33,0,0,0,0,1,6,1,390227,0,144,2001,I-76,0000000,41.105711111,-81.13321944
39,173,4,27,19,40,1,1,0,0,9,4,0,43,0,1,5,1,2,55,1,1,2,1,0,0,0,1,1,0,19,42,19,50,0,0,0,0,0,0,1,6,1,390721,0,0,2001,LONG JUDSON RD,0000000,41.401277778,-83.78144444
40,145,4,27,19,35,2,2,0,0,4,4,0,12,4,3,1,1,2,45,1,1,2,1,0,0,0,1,1,0,19,38,20,15,20,24,0,0,0,0,1,6,0,400136,0,0,2001,INDIAN ROAD(161ST ST,0000000,35.939538889,-95.74748889
40,79,4,27,19,31,1,1,0,0,6,4,0,1,0,1,4,1,2,45,2,2,2,1,0,0,0,1,1,0,19,19,19,28,19,48,0,0,0,0,1,6,1,400137,0,0,2001,OLD US59,0000000,34.864719444,-94.61091944
40,109,4,27,23,18,1,4,1,0,13,6,0,8,0,1,1,1,9,50,1,1,2,1,0,0,0,2,1,1,99,99,99,99,99,99,0,0,0,0,1,6,1,400148,3550,0,2001,N PENN AVE,0000000,35.608663889,-97.54941111
40,141,4,27,18,22,2,2,0,0,4,3,0,12,4,2,1,1,2,65,1,2,2,1,20,3,0,1,1,0,18,26,18,30,0,0,0,0,0,0,1,6,1,400149,0,10,2001,SR-36,0000000,34.246258333,-98.6793
41,29,4,27,20,58,2,2,0,0,3,3,0,12,2,1,1,1,2,40,1,1,2,1,0,0,0,2,1,0,20,58,21,4,0,0,0,0,0,0,1,6,1,410088,0,73,2001,SR-99 (ODOT 60),0000000,42.418802778,-123.2042806
42,121,4,27,19,45,1,1,0,0,5,3,0,43,0,1,5,1,2,45,2,2,2,1,0,0,0,5,1,0,20,0,20,18,0,0,0,0,0,0,1,6,1,420330,0,32,2001,SR-2023,0000000,,
45,51,4,27,21,30,2,7,0,0,4,4,0,12,4,3,1,1,2,55,1,3,9,1,20,3,0,2,1,0,21,31,21,52,99,99,0,0,0,0,2,6,2,450247,0,1397,2001,SR-45,0000000,,
47,159,4,27,20,30,1,1,0,0,6,4,0,1,0,1,4,1,2,55,2,2,2,1,0,0,0,2,1,0,20,33,20,42,0,0,0,0,0,0,1,6,1,470586,0,4,2001,BRADFORDHILLRD,0000000,36.181411111,-85.99126111
48,49,4,27,20,0,1,1,0,0,5,8,0,42,0,1,6,1,2,55,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,480812,0,80,2001,FM586,0000000,31.631488889,-99.19383889
48,51,4,27,18,58,1,2,0,0,4,3,0,24,0,1,4,1,2,35,2,1,2,1,0,0,0,1,1,0,19,2,19,25,99,99,0,0,0,0,1,6,1,480813,0,33,2001,SR-4,0000000,30.332361111,-96.577525
48,113,4,27,18,50,2,4,0,1,12,3,0,12,1,1,1,2,2,65,1,1,1,1,0,0,0,1,1,0,18,59,19,3,20,6,0,0,0,0,1,6,0,480814,2590,114,2001,SR-90,0000000,32.971580556,-96.65128889
48,29,4,27,21,40,1,2,1,0,16,5,0,8,0,1,1,4,3,30,2,1,2,1,0,0,0,3,1,0,19,57,21,0,0,0,0,0,0,0,1,6,0,482400,6090,60,2001,C0MMERCE,0000000,29.425661111,-98.49969167
53,21,4,27,23,40,1,1,0,0,4,4,0,1,0,1,4,1,2,55,1,2,2,2,0,0,0,2,2,0,12,20,12,43,0,0,0,0,0,0,1,6,1,530119,0,102,2001,08070,0000000,46.289455556,-118.8923583
