STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,WEATHER,latitude,longitud
1,125,4,27,18,5,1,4,0,1,1,1,0,34,0,1,4,2,2,70,1,2,2,1,0,0,0,1,1,0,0,18,9,18,15,99,99,0,0,0,0,1,6,0,10273,0,654,2007,I-20,0000000,0000000,1,1,33.13667778,-87.63355556
1,103,4,27,18,28,2,3,0,0,3,3,0,12,5,2,1,1,2,45,1,1,2,1,20,3,0,1,1,0,0,99,99,18,28,99,99,0,0,0,0,1,6,0,10274,0,255,2007,SR-36,7815,0000000,2,1,34.44817500,-86.86654444
1,101,4,27,19,35,2,5,0,0,14,6,0,12,2,1,1,1,2,35,1,1,2,1,0,0,0,5,1,0,0,19,37,19,43,99,99,0,99,99,99,1,6,1,10276,2130,0,2007,1103,000000,0000000,2,1,32.35801111,-86.37363056
4,15,4,27,16,21,1,1,0,0,4,3,0,42,0,1,6,1,3,65,2,1,2,1,0,0,0,1,1,0,0,16,21,16,40,0,0,0,0,0,0,1,6,0,40176,0,883,2007,SR-66,99999999999999999999,0000000,1,1,35.42787500,-113.6495306
4,13,4,27,20,2,1,4,1,0,16,6,0,8,0,1,1,1,2,25,1,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,40199,370,0,2007,FREEWAY LN,99999999999999999999,0000000,1,1,33.56179722,-112.1102694
4,19,4,27,17,44,2,4,0,0,3,3,3,12,5,2,1,1,2,65,1,1,2,1,20,3,1,1,1,0,0,17,46,18,0,99,99,0,0,0,0,1,6,0,40847,0,645,2007,SR-86,INDIAN ROUTE 34,0000000,2,1,32.20622222,-112.5719556
6,83,4,27,17,45,1,1,0,0,3,3,0,1,0,1,3,2,2,55,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,1,61180,0,218,2007,SR-246,99999999999999999999,0000000,1,1,34.62404444,-120.2638361
6,29,4,27,20,0,3,4,0,1,2,2,0,12,8,1,1,1,2,65,1,1,2,1,0,0,1,2,1,0,0,99,99,99,99,99,99,0,0,0,0,2,6,0,61235,0,121,2007,US-395,99999999999999999999,0000000,3,1,35.52272500,-117.6746000
6,111,4,27,23,16,1,1,0,1,3,3,0,30,0,1,4,1,2,55,2,1,1,1,0,0,0,2,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,1,61296,0,50,2007,SR-118,99999999999999999999,0000000,1,1,34.26255000,-119.0973417
6,37,4,27,20,15,3,4,0,0,13,4,0,12,5,2,1,1,4,25,1,1,2,1,3,3,1,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,61342,0,0,2007,WHITTIER BLVD,EASTERN BLVD,0000000,3,1,34.02392778,-118.1739500
9,9,4,27,18,52,1,2,1,0,13,3,0,9,0,4,1,1,2,45,1,1,2,2,0,0,0,1,5,0,0,18,51,18,54,99,99,0,0,0,0,1,6,1,90062,585,963,2007,SR-69,99999999999999999999,0000000,1,5,41.46906389,-72.96704167
12,95,4,27,22,8,2,6,0,0,13,3,0,12,5,1,1,5,2,45,1,1,2,1,28,3,0,3,1,0,0,22,9,22,12,99,99,0,0,0,0,1,6,0,120637,0,99999,2007,SR-50,OLD CHENEY HWY,0000000,2,1,28.56226111,-81.30380833
12,127,4,27,21,30,1,2,0,0,13,2,0,33,0,1,2,2,2,45,2,1,2,1,28,3,0,3,1,0,0,21,32,21,34,99,99,0,0,0,0,1,6,1,122131,2190,99999,2007,us-1,99999999999999999999,0000000,1,1,,
13,25,4,27,20,47,1,4,1,1,2,3,0,8,0,2,1,2,2,45,1,2,2,1,6,3,0,2,1,0,0,20,48,20,53,0,0,0,0,0,0,1,6,0,130390,0,216,2007,SR-520,OLD CO RD 259,0000000,1,1,31.22175278,-81.85287500
15,3,4,27,23,25,2,3,0,0,13,3,0,12,5,8,1,2,2,35,1,1,2,1,0,0,0,3,1,0,0,23,29,23,43,0,15,0,0,0,0,1,6,0,150045,9600,18,2007,SR-7101,99999999999999999999,0000000,2,1,21.38467778,-158.0010306
16,55,4,27,21,22,1,2,0,0,15,6,0,33,0,1,4,1,2,30,1,1,2,1,0,0,0,3,1,0,0,21,24,21,38,99,99,0,0,0,0,1,6,1,160050,1460,12,2007,PONDEROSA BLVD,0,0000000,1,1,47.70159444,-116.9035444
17,31,4,27,23,15,1,2,0,0,15,6,0,25,0,1,4,3,2,30,1,1,2,1,0,0,0,2,1,0,0,23,15,23,99,99,99,0,0,0,0,1,6,0,171135,1670,0,2007,26TH ST,99999999999999999999,0000000,1,1,41.84485278,-87.68632778
20,175,4,27,21,18,2,2,0,0,15,6,0,12,1,1,1,1,2,30,1,1,2,1,0,0,0,3,1,0,0,21,18,21,26,21,37,0,20,0,0,1,6,1,200111,3160,0,2007,CLAY AVE,US-54,0000000,2,1,37.03186667,-100.9314333
21,209,4,27,21,15,3,4,0,0,13,2,0,12,2,1,1,2,2,55,2,2,2,1,0,0,0,2,1,0,0,21,16,21,21,22,2,0,0,0,0,1,6,0,210227,1280,89,2007,US-52,0,0000000,3,1,38.19036111,-84.54271111
22,51,4,27,22,2,1,1,0,0,13,3,0,24,0,15,2,3,2,40,1,1,1,1,0,0,0,3,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,1,220260,1190,1,2007,SR-3046,99999999999999999999,0000000,1,1,29.97232778,-90.15650000
24,43,4,27,23,19,1,1,0,0,3,3,0,30,0,2,6,1,2,40,1,1,2,1,0,0,0,3,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,0,240118,160,76,2007,SR-65,CO-537,0000000,1,1,39.56570833,-77.73081944
25,9,4,27,23,11,1,3,0,0,16,8,0,19,0,1,5,1,2,35,2,1,2,2,0,0,0,3,1,0,0,23,11,23,13,99,99,0,0,0,0,1,6,0,250160,892,0,2007,HIGH ST,99999999999999999999,0000000,1,1,42.70230833,-71.12548889
26,125,4,27,17,25,2,4,0,0,4,4,0,12,5,2,1,1,2,50,1,1,2,1,20,3,0,1,1,0,0,17,10,17,20,99,99,0,0,0,0,1,6,0,260414,0,147,2007,HICKORY RIDGE,BONE,0000000,2,1,42.76131667,-83.66678333
28,91,4,27,23,39,1,3,0,0,4,4,0,42,0,1,5,1,2,45,1,2,2,1,0,0,0,2,1,0,0,23,51,1,20,99,99,0,0,0,0,1,6,0,280202,0,0,2007,PATTERSON RD.,99999999999999999999,0000000,1,1,31.40834722,-89.66647778
28,47,4,27,16,26,1,1,0,0,16,6,0,35,0,1,5,2,4,40,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,280227,1020,0,2007,DEDEAUX RD.,99999999999999999999,0000000,1,1,30.45085000,-89.08658611
32,3,4,27,17,3,2,2,0,0,15,6,0,12,5,2,1,3,7,35,1,1,2,1,3,3,0,1,1,0,0,17,3,17,6,17,29,0,0,0,0,1,6,0,320153,150,0,2007,COMMERCE ST,CRAIG RD,0000000,2,1,36.23958333,-115.1437167
34,25,4,27,17,29,2,2,0,1,1,1,0,13,5,1,1,2,3,65,1,1,2,2,0,0,0,1,2,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,340095,0,337,2007,I-195,99999999999999999999,0000000,2,2,40.16413611,-74.14259167
35,37,4,27,17,37,1,1,0,1,1,1,0,1,0,1,3,2,4,75,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,0,0,0,0,0,0,1,6,0,350087,0,3096,2007,i-40,99999999999999999999,0000000,1,1,35.09025833,-104.0833222
36,29,4,27,17,55,3,4,0,0,13,6,0,12,5,2,1,2,4,35,2,1,2,1,0,0,0,1,1,0,0,18,11,18,19,18,33,0,0,0,0,1,6,0,360347,750,0,2007,DELAWARE AVE.,FOREST AVE.,0000000,3,1,,
37,15,4,27,23,8,1,2,0,0,6,4,0,34,0,1,2,1,2,55,2,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,370252,0,99999,2007,RP-1361,99999999999999999999,0000000,1,1,36.06288611,-76.78153056
37,19,4,27,21,1,2,4,0,1,2,2,0,12,5,2,1,1,2,55,1,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,370255,0,99999,2007,US-17,DAN REAVES ROAD,0000000,2,1,34.04313889,-78.18879444
37,77,4,27,22,42,1,1,0,0,5,4,0,38,0,1,2,1,2,45,2,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,370348,0,99999,2007,RP-1215,SR-56,0000000,1,1,36.14970000,-78.72570833
37,81,4,27,20,3,1,1,0,0,3,4,0,34,0,1,2,1,2,55,2,1,2,1,0,0,0,2,1,0,0,20,3,20,14,0,0,0,0,0,0,1,6,1,370349,0,99999,2007,RP-1005,SR-62,0000000,1,1,35.95403056,-79.56608056
40,81,4,27,22,20,2,3,0,0,6,4,0,12,2,1,1,1,2,35,1,2,5,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,2,400164,0,0,2007,OZARK TRAIL RD,99999999999999999999,0000000,2,1,35.75388333,-96.69845556
41,51,4,27,22,25,1,3,1,1,1,1,0,8,0,1,1,2,2,60,1,1,2,1,0,0,0,2,1,0,0,22,29,22,40,0,0,0,0,0,0,1,6,1,410101,0,178,2007,I-84,0,0000000,1,1,45.54450000,-122.3831250
