STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,latitude,longitud
1,5,4,27,18,15,2,2,0,1,12,2,0,12,1,1,1,2,4,50,1,1,2,1,0,0,0,1,1,0,18,20,18,22,99,99,0,0,0,0,1,3,1,10987,1050,0,2004,US-SR1,99999999999999999999,0000000,31.867611111,-85.15990833
4,13,4,27,18,5,1,1,0,0,16,6,0,1,0,1,7,1,2,25,1,1,2,1,0,0,0,1,1,0,18,5,18,9,18,33,0,0,0,0,1,3,1,40294,80,0,2004,COMMONWEALTH AV,99999999999999999999,0000000,,
4,21,4,27,19,25,1,1,0,0,4,4,0,24,0,1,4,1,2,50,1,1,2,1,0,0,0,2,1,0,19,25,19,30,0,0,0,0,0,0,1,3,1,40295,0,0,2004,CASA GRANDE MARICOPA,99999999999999999999,0000000,32.941316667,-111.8608472
4,13,4,27,19,55,1,2,1,0,13,6,0,8,0,1,1,5,3,40,1,1,2,1,0,0,0,3,1,0,19,54,20,0,99,99,0,0,0,0,1,3,0,40296,370,0,2004,GLENDALE AV,99999999999999999999,0000000,33.5386,-112.0977722
4,13,4,27,20,29,3,3,0,0,16,6,0,12,5,2,1,1,2,25,2,1,2,1,20,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,3,40297,190,0,2004,HARRISON ST,OAK ST,0000000,33.316386111,-111.7941278
6,23,4,27,19,54,1,2,0,0,6,4,0,35,0,1,4,1,2,30,2,2,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,3,2,60960,0,0,2004,WEST END RD,99999999999999999999,0000000,40.889425,-124.0819806
6,37,4,27,17,11,2,4,0,0,4,4,0,12,5,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,2,3,0,61175,0,0,2004,90TH ST EAST,AVENUE H,0000000,34.719733333,-117.9696861
12,99,4,27,17,0,1,2,0,1,11,1,0,42,0,1,4,2,3,70,1,1,2,2,0,0,0,5,2,0,99,99,99,99,99,99,0,0,0,0,1,3,0,120906,1560,99999,2004,I-95,DONALD ROSS RD,0000000,26.865872222,-80.11862778
12,81,4,27,23,55,2,2,0,0,2,3,0,12,3,1,1,2,2,50,1,1,2,1,28,3,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,120929,0,99999,2004,SR-64,43RD ST BLVD,0000000,27.495686111,-82.60308611
12,21,4,27,22,30,1,4,1,0,6,4,0,9,0,2,1,1,2,45,1,1,2,1,0,0,2,2,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,120930,1465,99999,2004,NEW MARKET RD,BROWARD ST,0000000,26.425369444,-81.41513056
12,71,4,27,23,50,1,1,0,0,14,6,0,30,0,1,3,2,2,35,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,120932,457,99999,2004,PALM TREE BLVD,40T ST,0000000,26.577744444,-81.96543056
12,97,4,27,19,55,1,3,0,1,12,3,0,1,0,1,1,2,2,70,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,120967,0,99999,2004,SR-91,OSCEOLA PKWY,0000000,28.347447222,-81.38278611
17,31,4,27,17,41,2,6,0,1,13,2,0,12,5,2,1,3,3,45,1,1,1,1,3,3,0,1,1,0,17,50,17,99,99,99,0,0,0,0,1,3,0,170331,5450,525,2004,US-12,ARMITAGE,0000000,41.914708333,-87.88401944
17,163,4,27,22,0,1,1,0,0,5,4,0,38,0,1,5,1,2,55,2,1,2,1,0,0,0,2,1,0,22,10,22,99,99,99,0,0,0,0,1,3,1,170332,0,0,2004,20,99999999999999999999,0000000,,
21,131,4,27,17,30,2,3,0,1,2,3,0,12,4,1,1,1,2,55,2,1,2,1,0,0,0,1,1,0,17,35,17,46,18,55,0,0,0,0,1,3,0,210208,0,506,2004,SR-9006,99999999999999999999,0000000,37.230105556,-83.33897778
21,179,4,27,18,42,1,1,0,1,2,3,0,1,0,1,4,2,2,65,1,2,1,1,0,0,0,1,1,0,18,42,18,49,0,0,0,0,0,0,1,3,0,210218,0,238,2004,SR-9002 BG PKWAY,99999999999999999999,0000000,37.791069444,-85.43749167
24,33,4,27,21,40,5,7,0,1,11,1,0,24,0,1,4,3,4,55,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,2,3,0,240109,0,147,2004,I-95,99999999999999999999,0000000,38.892658333,-76.84709722
24,510,4,27,20,58,2,4,0,0,16,6,0,12,5,2,1,1,2,30,1,1,2,1,1,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,0,240327,50,0,2004,HOLABIRD AVENUE,KANE STREET,0000000,39.272461111,-76.53581944
25,5,4,27,18,41,1,1,0,0,14,2,0,40,0,1,4,1,4,45,1,1,2,1,0,0,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,3,0,250072,1268,0,2004,US-6,99999999999999999999,0000000,41.722480556,-71.15303889
26,45,4,27,19,46,1,2,0,0,3,3,0,10,0,6,1,1,4,30,1,1,2,1,62,3,0,1,1,0,19,50,19,51,99,99,0,0,0,0,2,3,0,260244,890,12,2004,SR-79,99999999999999999999,283602W,42.563938889,-84.841625
26,81,4,27,20,2,1,1,0,0,16,6,0,14,0,1,4,1,2,25,1,2,2,1,0,0,0,1,1,0,20,3,20,6,99,99,0,0,0,0,1,3,0,260303,2010,1,2004,SIGSBEE ST,99999999999999999999,0000000,42.954761111,-85.64881944
26,145,4,27,18,53,1,2,0,0,16,4,0,34,0,1,6,1,2,55,1,9,9,1,0,0,0,1,1,0,99,99,99,99,99,99,0,22,0,0,2,3,1,260357,0,1,2004,MELBOURNE RD,99999999999999999999,0000000,43.493588889,-83.90570278
27,71,4,27,21,43,1,3,0,0,6,4,0,1,0,1,2,1,2,55,1,1,2,1,0,0,0,5,1,0,21,43,21,53,22,7,0,0,0,0,1,3,2,270168,0,39,2004,18,99999999999999999999,0000000,48.674333333,-94.41904167
29,213,4,27,19,2,1,4,2,0,3,3,0,8,0,1,1,5,2,35,1,1,2,1,40,3,0,1,1,0,19,2,19,4,19,29,0,0,0,0,1,3,0,290322,980,36,2004,SR-76,99999999999999999999,0000000,36.637780556,-93.27664167
34,5,4,27,20,12,1,2,0,0,14,4,0,33,0,1,4,1,2,50,2,1,2,2,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,3,1,340506,2081,0,2004,616,BROOKWOOD RD,0000000,39.921555556,-74.89223611
35,43,4,27,23,30,1,2,1,1,1,1,0,8,0,1,1,2,4,75,1,1,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,3,1,350050,0,2559,2004,I-25,99999999999999999999,0000000,35.427638889,-106.4055722
