STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
6,60633,1,1,1,1,59,1790,20,4,2010,3,20,28,0,14,6,BEACH BL,LA HABRA BL,0,33.93186389,-117.967775000,0,9,0,0,3,2,1,0,3,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
6,60634,1,1,1,1,47,0,20,4,2010,3,21,47,0,6,4,TYLER RD,,0,37.28665000,-120.469780560,0,8,0,0,1,1,1,0,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,60635,1,1,0,2,103,0,20,4,2010,3,23,10,0,4,4,CORNING RD,,0,39.92180000,-122.315900000,0,52,0,0,1,1,4,0,2,1,0,1,0,0000000,23,13,99,99,99,99,0,0,0,1,0
8,80081,1,1,0,1,65,0,20,4,2010,3,17,0,0,3,3,SR-91,,102,39.36088889,-106.183730560,0,1,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
9,90249,3,3,0,4,1,170,20,4,2010,3,21,27,1,11,1,I-84,WB ENT #3 (TR 802),33,41.38476667,-73.479886110,0,12,2,1,5,1,1,0,3,1,0,1,0,0000000,21,32,21,41,22,5,0,0,0,1,1
12,120585,2,2,0,2,127,810,20,4,2010,3,22,32,0,13,3,SR-44,,99998,29.02807500,-81.306780560,0,12,6,0,8,1,1,0,3,1,0,1,0,0000000,22,23,22,37,88,88,0,0,0,1,0
12,120605,2,2,0,3,71,0,20,4,2010,3,21,28,0,13,2,US-41,DIPLOMAT PKWY,99998,26.68896944,-81.901222220,0,12,6,0,2,3,1,0,3,10,0,10,0,0000000,22,30,22,35,99,99,0,0,0,2,1
12,120638,1,1,0,1,31,1510,20,4,2010,3,19,50,1,12,3,SR-9A,,99998,30.25446944,-81.516708330,0,24,0,0,1,1,3,0,5,10,0,10,0,0000000,19,53,20,1,99,99,0,0,0,1,0
12,120639,2,2,0,2,75,0,20,4,2010,3,18,50,0,6,4,CR-345,,0,29.36696389,-82.888605560,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,18,54,19,5,99,99,0,0,0,1,0
12,120748,1,1,0,1,86,0,20,4,2010,3,22,16,1,12,3,SR-836,,99998,25.78124722,-80.337225000,0,1,0,0,1,1,2,0,3,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
13,130271,1,1,0,1,35,0,20,4,2010,3,21,24,0,4,4,KEYS FERRY ROAD,,65,33.40269444,-83.934666670,0,42,0,0,1,1,6,0,2,2,0,2,0,0000000,99,99,99,99,88,88,0,0,0,1,0
17,170208,1,1,1,1,31,1670,20,4,2010,3,17,38,1,13,2,US-20,NORMAL AVENUE,776,41.72162500,-87.635922220,0,8,0,0,3,2,1,0,1,1,0,1,0,0000000,17,42,99,99,99,99,0,0,0,1,0
22,220186,2,2,0,2,55,1230,20,4,2010,3,23,30,0,14,3,SR-182,,1351,30.35471944,-92.051800000,0,12,2,0,1,1,1,0,2,1,0,1,0,0000000,23,32,23,41,0,27,0,0,0,1,0
28,280145,1,1,0,3,51,0,20,4,2010,3,22,40,0,4,3,SR-12,,99998,33.08535833,-89.853744440,0,42,0,0,1,1,6,0,2,1,0,1,0,0000000,22,56,23,16,23,50,0,0,0,1,0
