STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,LATITUDE,LONGITUD
1,73,4,20,23,55,2,2,0,0,14,4,0,12,2,1,1,1,2,50,2,2,2,2,0,0,0,2,1,0,99,99,0,1,99,99,0,0,0,0,1,5,0,10274,1717,0,2000,1504,0000000,88888888,888888888
1,113,4,20,22,8,3,6,0,0,4,3,0,12,2,1,1,1,3,55,1,2,2,1,0,0,0,2,1,0,22,18,22,28,23,12,0,0,0,0,1,5,1,10275,0,282,2000,SR-165,0000000,88888888,888888888
4,21,4,20,16,50,2,2,0,0,6,4,0,12,2,1,1,1,2,35,2,1,5,1,0,0,0,1,1,0,16,50,17,1,0,0,0,0,0,0,1,5,0,40225,0,0,2000,WEBB RD,0000000,88888888,888888888
4,13,4,20,23,3,1,2,1,0,14,6,0,9,0,1,1,2,2,35,1,1,2,1,0,0,0,3,1,0,99,98,99,98,0,0,0,0,0,0,1,5,1,40226,370,0,2000,BUCKEYE RD,0000000,88888888,888888888
6,37,4,20,16,20,2,3,0,0,13,6,0,13,2,1,1,2,3,35,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,61414,1980,0,2000,CRENSHAW BLVD,0000000,88888888,888888888
6,31,4,20,17,35,2,4,0,1,2,3,0,33,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,3,5,0,61415,0,56,2000,SR-41,0000000,88888888,888888888
8,31,4,20,21,4,1,2,0,0,15,6,0,1,0,1,6,1,2,40,2,1,2,1,0,0,0,3,1,0,21,4,21,9,99,99,0,0,0,0,1,5,2,80172,600,0,2000,HAVANA,0000000,88888888,888888888
12,57,4,20,23,45,1,2,1,0,13,2,0,8,0,1,1,1,2,45,1,2,2,1,0,0,2,3,1,0,23,55,0,9,0,0,0,0,0,0,1,5,1,120867,0,99999,2000,US-41,0000000,88888888,888888888
13,121,4,20,20,45,1,3,1,9,99,9,0,8,0,1,1,1,4,45,1,2,1,1,0,0,0,2,1,0,20,45,20,51,21,10,0,0,0,0,1,5,1,130355,0,99999,2000,1389,0000000,88888888,888888888
13,211,4,20,18,30,1,1,0,0,6,4,0,1,0,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,18,34,18,43,0,0,0,0,0,0,1,5,1,130356,0,7,2000,154,0000000,88888888,888888888
13,67,4,20,18,48,2,3,0,0,14,4,0,12,2,1,1,3,2,45,1,1,2,1,0,0,0,1,1,0,18,49,18,51,19,24,0,0,0,0,1,5,0,130426,0,36,2000,4403,0000000,88888888,888888888
13,77,4,20,18,17,1,3,0,0,6,4,0,10,0,6,1,1,2,55,1,2,2,1,80,9,0,1,1,0,18,17,18,20,19,17,0,0,0,0,1,5,0,130427,0,13,2000,202,9999999,88888888,888888888
13,185,4,20,21,27,2,3,0,0,13,2,0,12,4,2,1,2,2,35,1,1,2,1,3,3,0,3,1,0,21,28,21,32,21,46,0,0,0,0,1,5,0,130429,5680,202,2000,US-41(SR7),0000000,88888888,888888888
18,57,4,20,18,20,1,1,0,0,6,4,0,42,0,1,6,1,2,45,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,180183,0,0,2000,SHELBORNE RD,0000000,88888888,888888888
19,103,4,20,17,35,3,4,0,0,2,3,0,12,1,2,1,1,2,55,1,1,2,2,0,0,0,1,2,0,17,40,17,49,18,20,0,0,0,0,2,5,1,190121,0,934,2000,SR-1,0000000,88888888,888888888
22,33,4,20,20,45,2,4,0,1,13,2,0,12,4,2,1,2,2,50,1,1,1,1,3,3,0,3,1,0,99,99,99,99,99,99,0,0,0,0,2,5,2,220197,150,845,2000,US-61,0000000,88888888,888888888
22,37,4,20,22,30,1,1,0,0,4,3,0,43,0,1,2,1,2,55,1,1,2,1,0,0,0,2,1,0,22,38,23,16,23,33,0,0,0,0,1,5,1,220198,0,266,2000,SR-67,0000000,88888888,888888888
22,65,4,20,21,55,1,2,1,0,14,2,0,8,0,3,1,1,2,25,1,1,2,1,0,0,0,3,1,0,21,55,21,56,0,0,0,0,0,0,1,5,1,220808,2230,1814,2000,US-80,0000000,88888888,888888888
25,23,4,20,23,23,1,1,0,0,4,3,0,42,0,1,4,1,2,35,1,1,2,2,0,0,0,3,1,0,23,25,23,29,23,48,0,0,0,0,1,5,1,250088,1040,0,2000,SR-3A,0000000,88888888,888888888
26,19,4,20,23,30,1,1,0,0,4,4,0,42,0,1,6,1,2,55,9,9,9,2,0,0,0,9,2,0,99,99,99,99,0,0,0,22,0,0,1,5,1,260307,0,37,2000,CO RD 669,0000000,88888888,888888888
29,29,4,20,20,55,2,2,0,1,2,3,0,12,2,1,1,1,2,55,2,2,2,1,0,0,0,2,1,0,21,0,21,8,99,99,0,0,0,0,1,5,1,290265,0,163,2000,SR-5,0000000,88888888,888888888
30,63,4,20,20,52,2,2,0,0,6,4,0,12,4,2,1,1,2,35,1,1,2,1,0,0,0,2,1,0,20,54,20,59,21,15,0,0,0,0,1,5,0,300054,0,0,2000,SPURGIN ROAD,0000000,88888888,888888888
37,115,4,20,20,4,1,3,0,0,4,3,0,27,0,1,4,1,2,55,2,1,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,5,1,370392,0,99999,2000,SR-251,0000000,88888888,888888888
37,119,4,20,20,31,2,3,0,1,13,2,0,12,4,2,1,3,7,45,1,1,2,1,3,3,0,3,1,0,20,32,20,36,21,11,0,0,0,0,1,5,0,370562,870,141,2000,US-74,0000000,88888888,888888888
38,43,4,20,23,5,1,1,0,0,6,4,0,10,0,6,1,1,2,55,1,1,4,1,70,3,0,2,1,0,12,6,12,13,0,0,0,0,0,0,1,5,1,380017,0,0,2000,00000000000000000000,087717c,88888888,888888888
39,151,4,20,22,57,1,1,0,9,99,6,0,18,0,1,1,3,2,50,1,1,9,2,0,0,0,3,2,1,99,99,99,99,99,99,0,0,0,0,1,5,0,390251,4820,0,2000,SR-21,0000000,88888888,888888888
41,43,4,20,19,57,1,1,0,0,4,4,0,1,0,1,2,1,2,55,1,1,2,1,0,0,0,1,1,0,19,57,20,7,0,0,0,0,0,0,1,5,1,410090,0,38,2000,BERLIN RD,0000000,88888888,888888888
42,5,4,20,17,45,3,5,0,1,2,2,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,17,30,17,37,17,49,0,0,0,0,1,5,0,420264,0,202,2000,US-422,0000000,88888888,888888888
