STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
4,1,4,20,96,16,55,1,3,0,5,3,0,1,0,1,4,1,2,55,2,1,2,1,0,0,0,1,1,0,17,0,17,13,99,99,0,0,0,0,1,7,0,40236,3777,0,61,0000000,0
4,15,4,20,96,17,0,1,1,1,1,1,0,1,0,1,4,2,2,75,1,1,2,1,0,0,0,1,1,0,17,2,17,31,0,0,0,0,0,0,1,7,0,40237,259,619,I40,0000000,0
4,13,4,20,96,23,0,1,3,1,11,1,0,8,0,15,1,3,2,45,1,1,2,1,0,0,0,2,1,1,99,99,23,2,0,0,0,0,0,0,1,7,1,40238,1596,80,I10,0000000,1
6,65,4,20,96,17,40,1,4,1,11,1,0,33,0,15,4,3,4,70,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,60880,121,250,I10,0000000,0
12,31,4,20,96,20,45,2,3,0,13,2,0,12,4,2,1,1,4,40,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,2,7,2,120636,99999,1510,SR 212,0000000,0
12,115,4,20,96,20,30,1,3,0,6,8,0,8,0,3,1,2,4,40,1,1,2,1,3,3,0,3,1,0,20,32,20,55,99,99,0,0,0,0,1,7,1,120643,99999,0,BENEVA RD.,0000000,2
12,57,4,20,96,19,30,2,6,0,2,2,0,12,4,2,1,2,4,55,1,1,2,1,0,0,0,5,1,0,19,37,19,49,99,99,0,0,0,0,3,7,0,120657,99999,0,SR 45,0000000,0
12,69,4,20,96,22,15,1,2,0,2,3,0,8,0,2,1,1,2,55,1,2,2,1,0,0,0,2,1,0,22,19,22,21,99,99,0,0,0,0,1,7,0,120658,99999,2838,SR 46,0000000,1
13,237,4,20,96,17,50,2,3,1,2,2,0,12,2,1,1,1,2,55,2,1,2,2,40,3,0,1,2,0,17,50,17,58,18,39,0,0,0,0,2,7,0,130355,187,0,SR24,0000000,0
13,21,4,20,96,17,2,2,4,0,15,5,0,12,2,1,1,1,2,35,1,1,1,1,0,0,0,1,1,0,17,2,17,9,17,17,0,0,0,0,2,7,0,130433,10,3390,027701,0000000,0
17,55,4,20,96,23,57,2,9,0,4,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,23,59,99,99,99,99,0,0,0,0,1,7,1,170344,611,0,37,0000000,0
18,11,4,20,96,21,24,2,3,0,4,3,0,12,2,1,1,1,2,55,2,3,2,1,0,0,0,2,1,0,21,26,21,28,99,99,0,0,0,0,3,7,1,180235,0,0,39,0000000,0
