STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,WEATHER,latitude,longitud
20,103,4,20,21,19,4,4,0,0,14,6,0,12,8,1,1,1,2,35,1,2,2,1,0,0,0,3,1,0,0,21,22,21,27,99,99,0,0,0,0,1,6,1,200097,3020,0,2007,SHRINE PARK RD,MCDONALD RD,0000000,4,1,39.28253056,-94.91844722
20,173,4,20,22,40,1,1,0,1,2,3,0,1,0,1,4,2,2,65,2,2,2,1,28,3,0,2,6,0,0,22,42,22,48,23,7,0,0,0,0,1,6,0,200106,0,2240,2007,SR-96,US-54,0000000,1,6,37.67940000,-97.15600278
21,135,4,20,19,20,1,1,0,0,6,4,0,42,0,1,4,1,2,55,1,3,4,1,0,0,0,1,1,0,0,19,22,19,58,0,0,0,0,0,0,1,6,1,210218,0,0,2007,Mulligan Hollow rd,00,0000000,1,1,38.48068056,-83.56920000
22,33,4,20,22,22,1,1,0,0,16,4,0,1,0,1,4,1,2,45,2,1,2,1,0,0,0,2,1,0,0,22,26,22,35,0,0,0,0,0,0,1,6,0,220198,2490,0,2007,WJ WICKER ROAD,99999999999999999999,0000000,1,1,30.67128889,-91.10550000
22,79,4,20,20,30,1,3,0,0,5,3,0,34,0,1,5,1,2,55,2,2,2,1,40,3,0,2,1,0,0,20,37,20,46,21,17,0,0,0,0,1,6,0,220256,0,121,2007,SR-488,99999999999999999999,0000000,1,1,31.23840000,-92.56920000
24,3,4,20,22,59,1,5,2,1,13,3,0,8,0,2,1,3,3,50,2,1,2,1,0,0,0,2,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,0,240109,0,0,2007,SR-3,CROFTON STATION,0000000,1,1,39.02246111,-76.69380556
24,5,4,20,20,56,3,4,0,0,13,3,0,12,2,2,1,1,2,40,1,2,2,1,3,3,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,6,1,240134,0,56,2007,SR-45,CO-809,0000000,3,1,39.43352222,-76.62296944
25,27,4,20,23,51,1,5,0,0,16,8,0,42,0,1,5,1,2,30,1,1,2,1,0,0,0,3,1,0,0,23,51,23,53,99,99,0,0,0,0,4,6,0,250140,585,0,2007,RIVER ST,99999999999999999999,0000000,1,1,42.21033889,-71.92826389
26,125,4,20,22,16,3,3,1,1,11,1,0,14,1,1,2,2,4,65,2,9,1,1,0,0,0,3,1,0,0,99,99,22,20,99,99,0,0,0,0,1,6,1,260253,4340,32,2007,I-696,99999999999999999999,0000000,1,1,42.47521944,-83.14027500
26,163,4,20,21,7,2,6,0,0,13,4,0,12,4,1,1,5,4,45,1,1,2,1,0,0,0,3,1,0,0,21,9,21,11,99,99,0,0,0,0,1,6,0,260517,4815,69,2007,VANBORN,99999999999999999999,0000000,2,1,42.26861944,-83.29207222
28,71,4,20,18,47,2,5,0,0,4,3,0,12,3,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,0,18,59,19,8,19,23,0,0,0,0,2,6,1,280188,0,99999,2007,SR-30,CO RD 217,0000000,2,1,34.38600278,-89.47251944
