STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10225,1,1,0,0,0,1,1,3,0,20,4,2013,7,20,45,0,3,4,CR-24,,0,30.43599444,-87.704325,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,20,55,99,99,0,0,0,1,1
4,40205,2,2,0,0,0,3,3,13,0,20,4,2013,7,20,5,0,15,9,POWER RD,VICTORIA ST,0,33.22329444,-111.685825,0,12,6,0,2,2,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
4,40206,1,1,0,0,0,20,20,19,0,20,4,2013,7,22,51,1,1,1,I-10 RAMP,,2810,32.00904722,-110.6926694,0,59,0,1,5,1,0,4,2,1,0,1,0,0000000,22,54,23,0,99,99,20,0,0,5,0
5,50131,1,1,0,0,0,2,2,99,0,20,4,2013,7,21,55,0,4,2,US-67-03,,19,33.75182778,-93.45946667,0,42,0,0,1,1,0,4,2,1,0,1,0,0000000,21,57,22,10,22,59,0,0,0,1,0
5,50133,4,4,0,1,1,4,4,119,2320,20,4,2013,7,23,45,1,11,1,I-630-21,,12,34.74237222,-92.28455278,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,23,53,23,54,99,99,0,0,0,1,0
6,60494,1,1,0,1,1,1,1,37,2054,20,4,2013,7,20,46,0,12,3,SR-1,,431,34.0467,-118.6394444,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
10,100022,2,2,0,0,0,5,5,3,0,20,4,2013,7,19,15,0,14,5,CENTERVILLE  RD,RED CLAY DRIVE,15,39.75858611,-75.62554722,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,120583,1,1,0,2,2,2,2,95,0,20,4,2013,7,22,50,0,6,6,INTERNATIONAL DR,AVENIDA VISTA,0,28.39895,-81.46079167,0,8,0,0,3,2,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,120916,1,1,0,0,0,3,3,105,1740,20,4,2013,7,17,18,0,16,6,DR J A WILTSHIRE BLVD,,0,27.91023889,-81.59022222,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
13,130329,1,1,0,0,0,3,3,129,0,20,4,2013,7,16,35,0,16,4,CR-019900,,19,34.48460278,-85.00020278,0,32,0,0,1,1,0,5,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
