STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,latitude,longitud
1,111,4,20,21,10,1,3,0,0,4,4,0,1,0,1,1,1,2,45,1,2,2,1,28,3,0,2,1,0,99,99,21,40,99,99,0,0,0,0,1,4,1,10260,0,0,2005,1034,99999999999999999999,0000000,1,33.20375556,-85.51396111
1,93,4,20,23,15,2,2,0,1,2,2,0,12,8,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,23,36,0,0,0,0,0,0,1,4,0,10267,0,106,2005,US-SR74,99999999999999999999,0000000,2,,
5,87,4,20,19,38,1,1,0,0,4,3,0,38,0,1,5,1,2,55,1,2,2,1,0,0,0,5,1,0,19,39,19,51,99,99,0,0,0,0,1,4,1,50166,0,26,2005,SR-45-06,99999999999999999999,0000000,1,36.13576944,-93.88134167
6,107,4,20,18,40,2,3,0,0,6,4,0,12,5,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,0,0,0,0,0,0,2,4,0,60905,0,0,2005,AVENUE 364,99999999999999999999,0000000,2,36.45025000,-119.2513889
6,87,4,20,18,50,2,3,0,0,4,4,0,12,2,1,1,1,2,35,2,2,2,1,0,0,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,4,0,61095,0,0,2005,E ZAYANTE RD,99999999999999999999,0000000,2,37.05198056,-122.0632306
6,111,4,20,18,57,2,2,0,0,13,6,0,1,0,2,1,2,2,45,1,1,2,1,20,3,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,4,0,61096,4027,0,2005,TELEGRAPH RD,BROOKSHIRE AVE,0000000,2,34.27839444,-119.2119444
6,99,4,20,21,25,1,2,1,1,12,3,0,8,0,1,1,3,3,65,2,1,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,4,1,61097,2200,146,2005,SR-99,99999999999999999999,0000000,1,37.62068611,-120.9953722
6,97,4,20,22,58,1,4,0,0,14,6,0,1,0,1,1,1,4,35,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,4,1,61098,3490,0,2005,MISSION BLVD,99999999999999999999,0000000,1,38.46704722,-122.6767917
6,71,4,20,18,41,2,2,0,0,13,6,0,14,5,1,5,5,2,99,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,4,1,61831,260,0,2005,MAIN ST,99999999999999999999,0000000,1,34.88675000,-117.0761806
8,35,4,20,19,22,2,4,0,0,3,3,0,12,2,1,1,3,2,55,2,2,2,2,0,0,0,5,2,0,19,23,19,27,99,99,0,0,0,0,1,4,1,80134,0,61,2005,SR-86,99999999999999999999,0000000,2,39.39167778,-104.7661639
