STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,115,4,20,20,25,2,3,0,1,1,1,0,12,1,1,1,3,3,70,1,2,2,1,0,0,2,1,0,0,99,99,20,55,99,99,0,0,0,0,1,2,0,10216,0,2009,1441,I-20,99999999999999999999,0000000,33.56421389,-86.53321389,2,1
6,59,4,20,16,20,2,4,0,0,6,4,0,12,8,1,1,1,2,35,2,1,2,1,0,0,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60616,0,2009,0,LIVE OAK CYN RD,99999999999999999999,0000000,33.65350278,-117.5981722,2,1
6,1,4,20,17,56,2,3,0,1,1,1,0,12,5,15,1,3,2,65,1,1,2,1,0,0,1,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,0,60682,0,2009,9,I-580,99999999999999999999,0000000,37.74190833,-121.5720028,2,1
6,29,4,20,20,10,2,2,0,1,11,1,0,12,1,1,1,3,2,70,1,1,2,1,0,0,2,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,0,60723,0,2009,776,I-5,99999999999999999999,0000000,35.6729,-119.6951639,2,1
6,65,4,20,20,55,1,2,1,0,13,3,0,8,0,1,1,5,2,40,1,1,2,1,0,0,3,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,1,60973,1160,2009,139,SR-74,99999999999999999999,0000000,33.68386389,-117.3651278,1,1
6,71,4,20,22,33,2,2,0,0,14,6,0,12,5,2,1,1,2,45,1,1,2,1,0,0,3,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,61081,1603,2009,0,11TH AVE,SEQUOIA ST,0000000,34.46887778,-117.3211528,2,1
6,59,4,20,19,37,1,1,0,1,11,1,0,29,0,1,4,3,4,65,2,1,1,1,0,0,1,1,0,0,99,99,99,99,88,88,0,0,0,0,1,2,0,61669,1974,2009,10,I-605,99999999999999999999,0000000,33.79801389,-118.0860333,1,1
12,86,4,20,17,59,2,3,0,0,13,3,0,12,5,2,1,2,3,40,1,1,2,1,3,3,1,1,0,0,99,99,99,99,99,99,0,0,0,0,1,2,0,120784,0,2009,99999,SR-976,SW 112TH AVE,0000000,25.73211944,-80.37571111,2,1
12,93,4,20,22,56,1,1,0,0,6,4,0,1,0,1,3,2,2,40,2,1,2,1,0,0,2,1,0,0,22,56,23,4,99,99,0,0,0,0,1,2,0,120791,0,2009,99999,SE 28TH ST,99999999999999999999,0000000,27.21902778,-80.76058333,1,1
13,289,4,20,23,19,1,1,0,0,6,6,0,42,0,3,6,1,2,25,1,2,2,1,0,0,2,1,0,0,23,19,23,24,88,88,0,0,0,0,1,2,0,130342,2930,2009,6,E MAIN ST,SCHOOL DR,0000000,32.6789,-83.33169444,1,1
