STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VEH_NO,MAKE,BODY_TYP,MOD_YEAR,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,WGTCD_TR,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,LOCATION,EJECTION,EXTRICAT,ALC_DET,DRINKING,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_YR,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,P_CF1,P_CF2,P_CF3,WORK_INJ,ST_CASE,MAK_MOD,VIN_WGT,WHLBS_SH,WHLBS_LG,MCYCL_DS,DEATH_TM,CERT_NO,SER_TR,VINA_MOD,VIN_BT,REST_USE,AIR_BAG,EJ_PATH,DRUGS,DRUG_DET,DRUGTEST,DRUG_RES,ALC_RES
17,31,4,20,19,55,1,16,8,0,0,0,,,,,,,,,,,,,1,1,8,2,5,0,12,0,0,9,8,3,1,0,0,0,0,0,,,0,0,0,8,170277,,,,,,0,000000000000,,,,0,0,0,8,8,0,0,96
17,31,4,20,19,55,1,16,8,0,0,0,,,,,,,,,,,,,2,1,7,2,5,0,12,0,0,9,9,4,1,4,20,92,20,48,0,53,0,0,0,0,170277,,,,,,2048,************,,,,0,0,0,8,8,0,0,0
17,31,4,20,19,55,1,16,8,0,0,1,20,2,79,0,0,0,0,12,12,1,0,,1,0,24,1,1,11,0,0,0,9,1,0,0,0,0,0,0,0,,,0,0,0,8,170277,20010,3039,1081,0,,0,000000000000,***,MOC,CP,9,9,0,8,8,0,0,96
18,43,4,20,18,53,1,4,30,0,0,1,12,31,86,0,0,0,0,12,12,1,1,2,1,0,31,1,1,11,0,0,0,9,1,4,0,4,20,92,19,1,0,8,0,0,0,0,180202,12481,,,,,1901,************,COF,F25,PK,0,9,0,8,8,0,0,21
18,85,4,20,22,53,2,4,12,1,0,1,76,80,91,0,0,0,0,12,12,1,0,,1,0,19,1,1,11,0,0,0,9,0,4,1,4,21,92,18,20,19,27,0,0,0,0,180203,76705,,,,599,1820,************,***,F6R,RS,0,9,0,8,8,0,0,96
18,85,4,20,22,53,2,4,12,1,0,2,76,80,90,0,0,0,0,6,6,2,0,,1,0,21,1,1,11,0,0,0,9,0,3,1,0,0,0,0,0,,,0,0,0,8,180203,76705,,,,599,0,000000000000,***,F6R,RS,5,9,0,8,8,0,0,96
20,91,4,20,19,5,1,4,32,0,0,1,12,2,68,2,0,0,0,1,1,1,0,,1,0,17,1,1,11,0,0,1,9,0,4,0,4,20,92,19,5,0,0,0,0,0,0,200072,12003,2666,1080,0,,1905,************,***,MUS,2T,0,9,0,0,8,0,0,96
20,91,4,20,19,5,1,4,32,0,0,1,12,2,68,2,0,0,0,1,1,1,0,,2,0,17,1,2,13,0,0,0,9,8,2,1,0,0,0,0,0,,,0,0,0,8,200072,12003,2666,1080,0,,0,000000000000,***,MUS,2T,0,9,0,8,8,0,0,96
21,145,4,20,21,3,2,6,12,2,0,1,14,4,87,0,0,0,0,12,12,1,0,,1,0,33,1,1,11,0,0,1,9,8,4,1,4,20,92,21,3,0,0,0,0,0,0,210172,14015,2503,999,0,,2103,************,***,TGS,4D,0,9,0,0,8,1,1,29
21,145,4,20,21,3,2,6,12,2,0,2,20,4,84,0,0,0,0,12,12,1,0,,1,0,28,2,1,11,0,0,1,9,0,4,1,4,20,92,21,3,0,0,0,0,0,0,210172,20017,2663,1049,0,,2103,************,***,CEL,4D,3,9,0,0,8,1,1,0
