STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_FORMS,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,RAIL,latitude,longitud
1,91,4,20,17,35,1,1,0,0,5,4,0,1,0,1,2,1,2,35,2,2,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,10247,0,0,2002,1091,0000000,32.270947222,-87.86697778
1,89,4,20,20,35,1,2,0,1,2,2,0,30,0,3,4,2,4,65,1,1,2,1,0,0,0,2,1,0,99,99,20,44,99,99,0,0,0,0,1,7,1,10265,0,1074,2002,US-SR2,0000000,34.750580556,-86.45921389
4,13,4,20,20,56,1,2,1,0,14,6,0,8,0,1,1,5,2,35,1,1,2,1,0,0,0,3,1,0,20,57,21,1,99,99,0,0,0,0,1,7,0,40292,370,0,2002,SOUTHERN AV,0000000,33.392208333,-112.0744722
5,7,4,20,17,56,1,1,0,0,4,3,0,1,0,1,2,1,2,55,1,1,2,1,0,0,0,1,1,0,17,59,18,12,18,44,0,0,0,0,1,7,1,50148,0,41,2002,SR-12-02,0000000,36.257391667,-94.42851111
6,65,4,20,21,15,1,1,0,0,4,4,0,42,0,1,4,1,2,55,2,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,60952,0,0,2002,GREENWALD AVE,0000000,33.709,-117.2907
6,13,4,20,17,9,1,2,1,0,19,6,0,8,0,3,1,1,2,25,1,1,9,1,2,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,61339,2830,0,2002,CRESCENT PLAZA,0000000,37.986466667,-122.0369083
6,61,4,20,23,31,1,1,0,0,4,4,0,38,0,1,4,1,2,35,2,2,2,1,40,3,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,7,0,61362,0,0,2002,AUBURN FOLSOM RD,0000000,38.861169444,-121.1025389
12,11,4,20,18,36,1,1,0,1,11,1,0,38,0,13,4,3,4,65,1,1,2,1,0,0,0,1,1,0,18,38,18,43,99,99,0,0,0,0,1,7,0,120756,0,99999,2002,I-95,0000000,26.233663889,-80.13679722
12,35,4,20,20,55,2,2,0,0,13,5,0,12,1,1,1,2,2,45,1,1,2,1,0,0,1,2,1,0,20,58,21,2,99,99,0,0,0,0,1,7,1,120757,2439,99999,2002,SR-780,0000000,29.505897222,-81.21984444
12,57,4,20,21,5,2,4,0,0,16,6,0,12,4,1,1,1,4,45,1,1,2,1,0,0,0,3,1,0,21,5,21,9,99,99,0,0,0,0,1,7,0,120758,0,99999,2002,78TH ST,0000000,27.928005556,-82.36878333
12,95,4,20,17,15,1,2,0,0,6,8,0,42,0,1,2,1,2,45,1,1,2,2,28,3,0,1,1,0,17,18,17,22,99,99,0,0,0,0,2,7,1,120760,0,99999,2002,APOPKA BLVD,0000000,28.635272222,-81.45465
12,121,4,20,19,0,1,3,0,0,6,8,0,42,0,1,2,1,2,55,1,1,2,5,0,0,0,1,1,0,19,5,19,16,99,99,0,0,0,0,2,7,0,120762,0,99999,2002,217TH ST,0000000,30.284566667,-83.19882778
12,1,4,20,22,40,1,5,0,0,6,9,0,5,0,4,1,1,2,30,1,1,2,1,0,0,0,3,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,120763,0,99999,2002,NW 83RD STREET,0000000,29.68355,-82.43094444
18,151,4,20,23,26,1,1,0,0,6,4,0,30,0,1,6,1,2,40,1,1,9,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,180189,0,0,2002,BELLEFOUNTAINE RD,0000000,,
22,31,4,20,18,14,1,1,0,0,5,3,0,32,0,1,4,1,2,30,2,1,2,1,0,0,0,1,1,0,18,52,19,16,20,0,0,0,0,0,1,7,1,220221,0,107,2002,SR-346,0000000,31.918022222,-93.47167778
26,7,4,20,19,22,1,3,0,0,6,4,0,34,0,1,6,1,2,55,1,1,5,1,0,0,0,1,1,0,19,23,19,40,0,0,0,22,0,0,3,7,2,260110,0,10,2002,MACARTHUR ROAD,0000000,45.132197222,-83.73299444
27,105,4,20,22,21,2,2,0,1,2,3,0,12,2,1,1,2,2,65,1,1,2,1,0,0,0,2,1,0,22,23,22,36,23,5,0,0,0,0,1,7,1,270138,0,155,2002,SR-60,0000000,43.679791667,-95.50395556
28,15,4,20,22,28,1,4,0,0,5,3,0,34,0,1,6,1,2,55,1,1,2,1,0,0,0,2,1,0,22,40,22,57,23,9,0,0,0,0,1,7,0,280333,0,15,2002,SR-35,0000000,33.5376,-89.95395
29,189,4,20,21,0,1,2,1,0,3,3,0,8,0,1,1,1,9,40,1,2,2,2,0,0,0,2,2,0,21,4,21,8,0,0,0,0,0,0,1,7,0,290259,0,23,2002,SR-267,0000000,38.526788889,-90.29391111
34,21,4,20,17,11,2,2,0,0,16,6,0,12,5,2,1,1,2,25,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,7,0,340233,3380,0,2002,NORTH HERMITAGE AVE,0000000,40.229672222,-74.78390833
35,61,4,20,16,45,1,1,0,0,4,3,0,38,0,1,4,2,3,55,2,1,2,1,28,3,0,1,1,0,99,99,99,99,0,0,0,0,0,0,1,7,1,350065,0,19,2002,SR-304,0000000,34.747033333,-106.72875
37,23,4,20,17,40,2,2,0,1,11,1,0,12,1,13,1,3,2,65,2,1,2,1,0,0,1,1,1,0,17,47,17,54,0,0,0,0,0,0,1,7,0,370385,0,99999,2002,I-40,0000000,35.728761111,-81.61576111
45,45,4,20,23,30,1,1,0,0,4,4,0,42,0,1,4,1,2,45,2,1,2,1,0,0,0,2,1,0,23,32,23,36,99,99,0,0,0,0,1,7,0,450238,0,1995,2002,SR-50,0000000,34.562016667,-82.3537
47,39,4,20,22,10,1,2,0,0,4,3,0,42,0,1,4,1,2,55,1,2,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,7,1,470261,0,93,2002,SR-114,0000000,35.489777778,-88.20476944
47,149,4,20,22,30,1,1,0,0,4,3,0,38,0,1,4,1,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,99,99,99,1,7,1,470262,0,43,2002,SR-99,0000000,35.734211111,-86.60604167
48,289,4,20,20,14,2,5,0,0,3,3,0,12,5,1,1,1,2,70,1,1,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,7,2,480767,0,132,2002,SR-7,0000000,31.244216667,-96.032
48,157,4,20,23,50,2,3,0,0,14,8,0,12,5,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,0,10,0,27,99,99,0,0,0,0,2,7,1,480869,3280,71,2002,FM2234,0000000,29.581158333,-95.45459444
48,223,4,20,21,30,1,1,0,0,6,4,0,42,0,1,4,1,2,55,2,1,2,1,0,0,0,2,1,0,21,36,21,53,99,99,0,0,0,0,1,7,1,480870,0,0,2002,3529,0000000,33.176538889,-95.40572222
48,401,4,20,18,50,2,4,0,0,4,3,0,12,2,1,1,1,2,60,1,1,2,1,0,0,0,1,1,0,18,55,19,9,20,1,0,0,0,0,2,7,0,480871,0,209,2002,SR-42,0000000,32.084836111,-94.928225
48,425,4,20,19,5,1,2,0,0,5,8,0,42,0,1,4,1,2,60,2,1,2,1,0,0,0,1,1,0,19,11,19,18,19,38,0,0,0,0,1,7,0,480872,0,119,2002,FM205,0000000,32.237086111,-97.81838333
48,499,4,20,18,20,1,3,1,0,3,2,0,8,0,1,5,2,2,70,1,1,2,1,0,0,0,1,1,0,18,45,19,5,99,99,0,0,0,0,1,7,0,480873,0,189,2002,US-80,0000000,32.600175,-95.26601111
48,401,4,20,21,3,1,1,0,0,4,8,0,42,0,2,4,1,2,60,1,1,2,1,20,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,481881,0,37,2002,FM2011,0000000,32.333491667,-94.68285
48,215,4,20,21,30,1,3,2,0,6,4,0,8,0,1,4,1,2,55,1,1,2,1,0,0,2,2,1,0,21,30,21,42,99,99,0,0,0,0,2,7,0,482476,0,0,2002,LAHOMARD,0000000,26.333019444,-98.34467222
48,147,4,20,20,20,1,2,0,0,4,3,0,11,0,1,1,1,2,65,1,1,2,1,0,0,0,2,1,0,20,33,21,1,22,15,0,0,0,0,1,7,0,483179,3770,34,2002,SR-34,0000000,33.413858333,-95.99888056
53,53,4,20,22,35,1,1,0,0,6,4,0,38,0,2,6,1,2,25,1,1,2,1,0,0,0,2,1,0,22,38,22,47,0,0,0,0,0,0,1,7,1,530166,0,9,2002,288TH ST,0000000,,
54,83,4,20,23,50,1,4,0,0,4,3,0,35,0,1,4,1,2,55,1,2,2,1,0,0,0,2,1,0,23,52,0,19,1,16,0,0,0,0,1,7,1,540124,0,70,2002,SR-15,0000000,38.555894444,-80.09179444
56,5,4,20,16,30,2,2,0,0,4,3,0,12,4,1,1,1,2,65,1,2,2,3,0,0,0,1,4,0,16,34,16,53,17,20,0,0,0,0,1,7,0,560025,0,1425,2002,SR-51,0000000,44.279666667,-105.1671444
