STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
4,40254,1,1,0,0,0,1,1,25,0,20,4,2011,4,17,14,0,3,3,SR-89A,,3661,34.83752222,-111.887175000,0,1,0,0,1,1,4,0,1,1,0,1,0,0000000,17,14,17,20,18,36,0,0,0,1,0
5,50140,1,1,0,0,0,4,4,65,2620,20,4,2011,4,17,18,0,6,6,LARKIN RD(ELARKI-000,,5,36.07091944,-91.900163890,0,42,0,0,1,1,4,0,1,1,0,1,0,0000000,5,19,5,24,99,99,0,0,0,2,0
6,60605,1,1,0,1,1,1,1,37,1980,20,4,2011,4,21,0,0,14,6,DE SOTO AVE,,0,34.20504167,-118.588463890,0,9,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,98,0,0,0,1,0
13,130264,3,3,0,0,0,5,5,67,3440,20,4,2011,4,22,26,0,13,3,SR-5 CO,ROBERTS BLVD,3,34.00166944,-84.581702780,0,12,6,0,2,2,1,0,3,1,0,1,0,0000000,22,27,22,32,22,56,0,0,0,1,0
13,130464,1,1,0,0,0,1,1,21,0,20,4,2011,4,20,25,1,13,4,HAWKINSVILLE ROAD,HOUSTON ROAD,60,32.75983333,-83.661466670,0,1,0,0,2,9,1,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
18,180299,2,2,0,0,0,4,4,57,4480,20,4,2011,4,21,30,0,4,3,SR-38,SIX POINTS RD,0,40.11496944,-86.175469440,0,12,6,0,2,7,1,0,2,1,0,1,0,0000000,21,32,21,37,99,99,0,0,0,1,0
20,200183,4,4,0,0,0,11,11,173,5880,20,4,2011,4,17,50,0,13,6,HILLSIDE AVE,PAWNEE RD,0,37.65025833,-97.299041670,0,12,1,0,3,2,1,0,1,1,0,1,0,0000000,99,98,99,98,99,98,0,0,0,1,1
21,210166,2,2,0,0,0,2,2,151,0,20,4,2011,4,16,20,0,3,3,SR-1295,,7,37.65956667,-84.424438890,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,16,16,16,30,17,29,0,0,0,1,0
21,210167,1,1,0,0,0,1,1,25,0,20,4,2011,4,20,25,1,5,3,SR-15,,3,37.57975278,-83.393997220,0,30,0,0,1,1,4,0,2,10,0,10,0,0000000,20,26,20,30,88,88,0,0,0,1,1
22,220126,1,1,0,0,0,1,1,51,0,20,4,2011,4,22,37,0,14,4,CENTRAL AVE,,0,29.97131944,-90.173911110,0,10,0,0,6,1,1,0,3,1,0,1,0,300238J,22,39,22,42,88,88,0,0,0,1,0
22,220284,2,2,0,0,0,2,2,17,0,20,4,2011,4,21,7,1,13,3,SR-1,,4025,32.62780000,-93.888400000,0,12,2,0,1,1,1,0,2,1,0,1,0,0000000,21,7,21,12,21,40,1,0,0,1,0
24,240180,1,1,0,1,1,1,1,33,240,20,4,2011,4,18,1,0,14,4,CO-367,,20,38.86942500,-76.890338890,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,18,2,18,15,99,99,0,0,0,1,0
26,260187,2,2,0,0,0,3,3,147,1758,20,4,2011,4,20,40,0,13,3,SR-25,,49,43.06386667,-82.461897220,0,12,2,0,1,1,1,0,5,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
26,260574,3,2,1,0,0,2,2,163,1260,20,4,2011,4,16,25,1,13,3,SR-3,7 MILE RD,79,42.43489444,-82.977805560,0,14,0,0,3,2,4,0,1,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
28,280166,2,2,0,0,0,2,2,65,0,20,4,2011,4,19,19,1,2,2,US-84,COUNTRY CLUB RD,99998,31.60467222,-89.884813890,0,12,1,0,2,3,1,0,1,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
28,280167,1,1,0,1,1,3,3,49,0,20,4,2011,4,19,58,0,4,3,SR-27,,99998,32.06271944,-90.520736110,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
30,300027,1,1,0,0,0,4,4,53,0,20,4,2011,4,18,18,1,2,2,US-2,,787,48.02426944,-115.037630560,0,31,0,0,1,1,4,0,1,1,0,1,0,0000000,18,20,18,36,19,20,0,0,0,1,0
