STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,VE_FORMS,latitude,longitud
1,97,4,20,19,10,2,3,0,1,12,2,0,12,1,1,1,2,2,50,1,2,2,1,0,0,0,1,1,0,19,13,19,20,0,0,0,0,0,0,1,5,1,10250,0,162,2006,US-SR16,99999999999999999999,0000000,2,30.56205000,-88.17233611
4,9,4,20,18,57,1,1,0,0,4,9,0,1,0,1,6,1,2,99,2,1,2,1,0,0,0,5,1,0,19,5,19,18,0,0,0,0,0,0,1,5,0,40229,0,0,2006,SANCHEZ RD,99999999999999999999,0000000,1,32.82958611,-109.6324111
5,111,4,20,23,8,1,2,0,1,2,2,0,24,0,1,4,2,4,70,1,1,1,1,0,0,0,2,1,0,23,12,23,24,99,99,0,0,0,0,1,5,0,50164,0,148,2006,US-63-08,99999999999999999999,0000000,1,35.53243333,-90.46752500
9,3,4,20,21,53,1,2,1,0,14,3,0,8,0,1,1,1,4,30,1,1,2,1,0,0,0,3,1,0,21,53,21,55,99,99,0,0,0,0,1,5,1,90069,229,12,2006,SR-220,99999999999999999999,0000000,1,41.99985556,-72.57120556
12,55,4,20,18,20,1,1,0,0,2,2,0,1,0,1,2,1,2,55,2,1,2,1,7,3,0,1,1,0,18,24,18,36,99,99,0,0,0,0,1,5,1,120682,0,99999,2006,US-98,LAKE ISTOKPOGA ACCES,0000000,1,,
12,131,4,20,16,23,1,1,0,0,6,4,0,53,0,1,2,1,2,45,2,2,2,1,0,0,0,1,1,0,16,25,16,32,0,0,0,0,0,0,1,5,0,121108,0,99999,2006,COY BURGESS LOOP,CHESS SPENCE RD,0000000,1,30.67746667,-86.15278333
12,11,4,20,23,21,1,1,0,1,11,1,0,25,0,1,3,2,5,65,1,1,2,1,28,3,0,3,1,0,23,21,23,28,99,99,0,0,0,0,1,5,0,121693,1420,99999,2006,i-95,SR-822,0000000,1,26.01237222,-80.16696111
12,113,4,20,24,0,1,1,0,0,6,4,0,42,0,1,4,1,2,35,1,1,2,1,28,3,0,2,1,0,0,6,0,19,99,99,0,0,0,0,1,5,0,121961,0,99999,2006,CR-191A,MCMILLIAN RD,0000000,1,30.55331944,-87.12407778
13,57,4,20,17,50,5,9,0,9,99,9,0,12,1,1,1,1,9,45,1,1,2,1,0,0,0,1,1,0,17,51,18,7,18,46,0,14,0,0,1,5,0,130870,0,99999,2006,99999999999999999999,99999999999999999999,0000000,5,34.23619167,-84.44112222
17,141,4,20,16,56,1,2,0,0,5,3,0,32,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,16,56,16,99,99,99,0,0,0,0,1,5,0,170298,0,1020,2006,SR-251,99999999999999999999,0000000,1,42.05049444,-89.06950278
18,35,4,20,23,20,1,1,0,0,15,3,0,1,0,1,6,2,2,45,1,1,2,1,0,0,0,2,1,0,23,20,23,23,99,99,0,0,0,0,1,5,0,180478,1143,0,2006,SR- 67,WALNUT ST,0000000,1,40.14257778,-85.37800278
22,53,4,20,21,29,1,2,1,1,11,1,0,8,0,1,1,2,2,70,1,1,2,1,0,0,2,3,1,0,21,29,21,34,0,0,0,0,0,0,1,5,0,220221,0,660,2006,I-10,99999999999999999999,0000000,1,30.24300556,-92.63150000
22,19,4,20,23,15,1,1,0,1,11,1,0,1,0,13,4,6,1,60,1,1,1,1,40,3,0,2,1,0,23,15,23,20,23,44,0,0,0,0,1,5,1,220225,0,339,2006,I-10,99999999999999999999,0000000,1,30.24585556,-93.16433611
22,75,4,20,19,25,1,1,0,1,13,3,0,1,0,1,3,2,2,55,1,1,1,1,0,0,0,2,1,0,19,42,19,44,0,0,0,0,0,0,1,5,1,220226,0,219,2006,SR-23,99999999999999999999,0000000,1,29.42092778,-89.61590000
22,71,4,20,23,55,1,1,0,1,11,1,0,24,0,13,2,6,1,35,2,2,1,1,0,0,0,3,1,0,23,59,0,15,0,0,0,0,0,0,1,5,1,220992,1690,2363,2006,I-10,99999999999999999999,0000000,1,29.95885833,-90.09580000
26,145,4,20,20,14,2,3,0,0,14,4,0,31,0,1,4,1,2,45,2,9,9,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,260202,0,78,2006,RIVER,99999999999999999999,0000000,1,43.45944722,-84.09217500
28,45,4,20,21,33,1,1,0,1,1,1,0,1,0,1,6,2,4,70,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,280234,0,99999,2006,I-10,99999999999999999999,0000000,1,30.30642500,-89.63060000
29,209,4,20,22,0,1,2,0,0,4,3,0,37,0,1,4,1,2,55,1,1,2,1,0,0,0,2,1,0,22,14,22,37,23,3,0,0,0,0,1,5,1,290271,0,5,2006,SR-A,99999999999999999999,0000000,1,36.92916667,-93.56611111
31,21,4,20,18,0,2,2,0,1,2,2,0,12,4,1,1,1,2,60,1,1,2,1,0,0,0,1,1,0,18,3,18,6,18,35,0,0,0,0,1,5,0,310064,0,1481,2006,US-77,00000000000000000000,0000000,2,41.92424722,-96.46308333
32,7,4,20,22,35,2,2,0,1,1,1,0,12,1,1,1,2,5,75,2,2,2,1,0,0,0,2,1,0,23,36,0,3,0,0,0,0,0,0,1,5,0,320013,0,1133,2006,I-80,99999999999999999999,0000000,2,40.97693333,-114.4119694
34,27,4,20,20,5,1,3,2,0,14,4,0,8,0,1,2,1,2,50,1,1,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,2,5,1,340184,1570,0,2006,618,99999999999999999999,0000000,1,40.99384444,-74.37978333
35,17,4,20,18,15,1,1,0,0,4,3,0,34,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,350068,0,350,2006,SR-9,99999999999999999999,0000000,1,31.93239444,-108.3634417
36,71,4,20,17,39,2,4,0,0,4,3,0,12,5,2,1,1,2,55,1,1,2,1,0,0,0,1,1,0,17,40,17,48,18,17,0,0,0,0,1,5,0,360261,3919,71,2006,SR-211,TALLY HO RD.,0000000,2,41.47227500,-74.48255556
36,81,4,20,18,0,1,2,1,0,16,6,0,8,0,2,1,1,2,30,1,1,2,1,20,3,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,360352,4170,0,2006,77 ST,PITKIN AVE,0000000,1,40.67672778,-73.85983056
37,57,4,20,20,59,2,2,0,0,3,2,0,12,4,4,1,1,2,55,1,2,2,1,0,0,0,2,1,0,20,59,21,12,0,0,0,0,0,0,1,5,0,370343,0,99999,2006,US-64,RP-2099,0000000,2,35.78050000,-80.12083611
39,29,4,20,17,53,2,2,0,0,4,3,0,12,4,2,1,1,2,55,2,2,2,1,20,3,0,1,1,0,17,53,17,58,18,13,0,0,0,0,1,5,1,390279,0,33,2006,SR-170,1037,0000000,2,40.69675556,-80.55198611
39,93,4,20,23,0,1,1,0,0,6,5,0,11,0,1,1,1,2,55,1,1,2,1,0,0,0,2,1,0,23,27,23,53,0,31,0,0,0,0,1,5,1,390280,0,0,2006,158,99999999999999999999,0000000,1,41.15783056,-82.19926111
40,109,4,20,22,41,1,2,1,1,1,1,0,8,0,15,1,2,2,65,2,2,2,1,0,0,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,5,0,400173,0,117,2006,I-240,99999999999999999999,0000000,1,35.40221944,-97.28717778
42,49,4,20,19,23,2,5,0,0,3,2,0,12,2,1,1,1,2,45,2,1,2,1,0,0,0,1,1,0,19,23,19,31,0,0,0,0,0,0,1,5,1,420357,0,24,2006,US-20,99999999999999999999,0000000,2,41.94590556,-80.47429167
44,7,4,20,18,29,2,2,0,0,14,6,0,12,5,4,1,1,2,25,1,1,2,1,0,0,0,1,1,0,18,28,18,32,18,48,0,0,0,0,1,5,1,440018,190,99999,2006,MANTON AVENUE,99999999999999999999,0000000,2,41.83395278,-71.46751111
46,125,4,20,20,15,1,1,0,0,4,4,0,31,0,1,4,1,2,55,1,1,2,2,0,0,0,5,1,0,20,16,20,23,0,0,0,0,0,0,1,5,1,460041,0,0,2006,275TH SGT,99999999999999999999,0000000,1,43.40208889,-97.07397500
47,139,4,20,22,10,1,2,0,0,2,2,0,34,0,1,4,1,2,55,1,1,2,2,0,0,0,2,2,0,99,99,99,99,99,99,0,0,0,0,1,5,2,470268,0,27,2006,US-SR33,99999999999999999999,0000000,1,35.02661389,-84.73235833
47,157,4,20,17,30,1,2,1,0,14,6,0,8,0,2,1,1,4,40,1,1,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,470803,1620,5,2006,KIMBALL,ROBIN HOOD LN,0000000,1,35.09325556,-89.93930556
48,9,4,20,18,45,2,2,0,1,2,3,0,12,5,1,1,1,2,70,1,1,1,2,0,0,0,1,2,0,18,50,19,10,19,32,0,0,0,0,1,5,0,480755,0,26,2006,SR-114,99999999999999999999,0000000,2,33.43938889,-98.91024167
51,107,4,20,23,43,1,2,1,0,3,2,0,8,0,2,1,1,2,50,1,1,2,2,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,5,1,510212,0,552,2006,US-50,LENAH RD,0000000,1,38.95318611,-77.58024167
