STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
4,40247,1,1,0,0,0,3,3,5,0,20,4,2012,6,18,13,0,9,9,UNKNOWN DIRT RD,,0,99.99990000,999.99990000,3,1,0,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,2,0
5,50460,1,1,0,0,0,2,2,119,0,20,4,2012,6,18,33,0,6,4,CR-145TH ST.,,0,34.61761389,-92.26420278,0,42,0,0,1,1,0,5,1,2,0,2,0,0000000,18,34,18,44,99,99,0,0,0,1,1
6,60638,1,1,0,1,1,1,1,37,810,20,4,2012,6,18,38,0,13,6,SANTA FE AVE,PINE STREET,0,33.91143611,-118.216675,0,9,0,0,3,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,60965,2,1,1,0,0,1,1,81,2140,20,4,2012,6,17,43,0,13,3,SR-82,,14,37.45821111,-122.1921778,0,14,0,0,1,1,0,2,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,61290,1,1,0,2,2,1,1,37,1980,20,4,2012,6,17,50,0,15,6,SANTA ANA BLVD,WATTS AVE,0,33.93341667,-118.2279139,0,8,0,0,3,3,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
6,61938,3,2,1,0,0,5,5,29,240,20,4,2012,6,20,29,0,14,6,FAIRFAX RD,,0,35.405925,-118.9310306,0,12,6,0,1,1,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,1
6,62351,1,1,0,1,1,1,1,67,0,20,4,2012,6,22,30,0,6,4,CR-DUDLEY BLVD,,0,38.64832778,-121.3978611,0,9,0,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
9,90032,1,1,0,0,0,1,1,9,502,20,4,2012,6,16,20,1,11,1,I-91,,53,41.35772778,-72.86815833,0,24,0,0,1,1,0,3,1,1,0,1,0,0000000,16,21,99,97,99,97,0,0,0,1,0
15,150037,2,2,0,0,0,4,4,9,5350,20,4,2012,6,18,59,0,4,3,SR-37,,165,20.70610833,-156.3548972,0,12,6,0,8,1,0,1,5,1,0,1,0,0000000,19,2,19,8,99,99,0,0,0,1,0
18,180225,1,1,0,0,0,3,3,47,2590,20,4,2012,6,21,50,0,6,4,CR-OLD US-52,,0,39.48912222,-85.20870833,0,42,0,0,1,1,0,6,1,2,0,2,0,0000000,21,50,22,5,99,99,0,0,0,1,1
22,220163,1,1,0,0,0,1,1,103,0,20,4,2012,6,21,4,0,3,3,SR-21,,141,30.54748889,-90.02153056,0,32,0,0,1,1,0,4,2,1,0,1,0,0000000,21,7,21,23,21,48,0,0,0,1,0
22,220164,4,4,0,0,0,5,5,33,0,20,4,2012,6,20,0,1,13,2,US-61,,676,30.36853056,-91.02805,0,12,1,0,7,1,0,1,2,1,0,1,0,0000000,20,2,20,11,20,49,0,0,0,1,1
22,220165,3,3,0,0,0,3,3,33,150,20,4,2012,6,19,30,1,11,1,I-10,,1624,30.39773889,-91.08881944,0,12,7,1,17,1,1,1,5,1,0,1,0,0000000,19,29,19,35,19,49,14,0,0,1,0
22,220172,1,1,0,1,1,1,1,1,1980,20,4,2012,6,21,5,0,14,2,US-90,,922,30.22733056,-92.2742,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,21,6,21,15,88,88,0,0,0,1,0
