STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
1,73,4,20,94,19,10,1,3,1,11,1,0,1,0,1,1,3,3,55,1,2,1,1,0,0,0,1,1,0,99,99,19,23,99,99,0,0,0,0,1,4,0,10608,2661,350,I65,0000000,0
5,107,4,20,94,18,53,2,4,1,13,2,0,12,4,4,1,1,4,40,1,9,2,1,20,3,0,1,1,0,18,54,18,56,99,99,0,0,0,0,1,4,0,50146,3,4110,49-10B,0000000,1
6,37,4,20,94,20,0,1,2,1,12,2,0,8,0,1,1,3,4,55,1,1,2,1,0,0,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,4,0,61005,58,1980,101,0000000,1
12,105,4,20,94,21,22,1,4,9,6,6,0,8,0,1,1,1,2,45,1,1,2,2,28,3,0,2,2,0,99,99,99,99,99,99,0,0,0,0,1,4,0,120719,99999,0,OLDDIXIEHY,0000000,3
13,27,4,20,94,17,35,1,2,0,4,4,0,1,0,1,2,1,2,55,1,1,4,1,0,0,0,1,1,0,17,39,17,49,18,40,0,0,0,0,1,4,0,130301,75,0,272,0000000,0
13,45,4,20,94,22,47,2,3,1,11,1,0,12,1,1,1,2,4,65,1,1,1,1,0,0,0,2,1,0,22,47,22,55,0,0,0,0,0,0,1,4,1,130302,230,0,I20,0000000,0
13,261,4,20,94,23,15,2,2,1,12,2,0,12,4,2,1,1,2,55,1,1,2,1,20,3,0,2,1,0,23,15,23,19,23,40,0,0,0,0,1,4,0,130303,165,0,SR30,0000000,0
13,137,4,20,94,21,0,1,1,0,6,4,0,42,0,1,6,1,2,55,2,2,4,1,0,0,0,2,1,0,8,55,9,4,0,0,0,18,0,0,1,4,0,131052,4,0,163,0000000,0
15,3,4,20,94,18,5,1,1,1,11,1,0,33,0,13,4,3,5,55,1,1,1,2,0,0,0,5,2,0,18,10,18,19,0,0,0,0,0,0,1,4,1,150104,179,2400,I1,0000000,0
17,31,4,20,94,23,56,3,4,0,16,6,0,12,4,2,1,2,2,30,1,1,2,1,3,3,0,3,1,0,23,56,99,99,99,99,0,0,0,0,1,4,2,170334,0,1670,67TH ST,0000000,0
17,141,4,20,94,22,0,1,1,0,4,5,0,1,0,1,4,1,2,55,2,2,2,2,0,0,0,2,2,0,22,21,22,99,99,99,0,0,0,0,1,4,1,170335,0,0,ROCK CITY,0000000,0
