STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,FED_AID,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
6,1,4,20,92,16,30,2,2,1,11,1,0,12,1,15,1,3,4,55,1,1,1,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60896,56,340,I80,0000000,0
6,71,4,20,92,20,8,2,4,1,1,1,0,12,1,1,1,2,3,65,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,60980,1803,0,I15,0000000,1
6,47,4,20,92,20,15,2,2,2,12,3,0,12,1,3,1,2,2,45,1,1,2,1,5,3,0,2,1,0,99,99,99,99,0,0,0,0,0,0,1,2,1,60981,293,1930,99,0000000,0
6,37,4,20,92,20,30,1,2,3,13,6,0,8,0,1,1,2,2,40,1,1,2,1,0,0,2,3,1,0,99,99,99,99,99,99,0,0,0,0,1,2,0,61401,0,602,MAIN ST,0000000,1
6,37,4,20,92,19,45,4,8,2,12,3,0,13,2,1,1,2,2,55,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,2,1,61626,32,2870,71,0000000,0
8,101,4,20,92,16,30,1,3,1,1,1,0,31,0,1,4,2,2,65,1,1,2,1,0,0,0,1,1,0,16,58,17,15,17,30,0,0,0,0,1,2,1,80110,1132,0,I25,0000000,0
12,11,4,20,92,16,41,1,4,3,12,3,0,9,0,3,1,2,4,35,1,1,2,1,3,3,0,1,1,0,16,43,16,48,99,99,0,0,0,0,1,2,0,120589,99999,1050,SR838,0000000,2
12,11,4,20,92,18,10,3,3,1,11,1,0,12,4,1,1,2,7,55,1,1,2,1,0,0,0,1,1,0,18,14,18,20,0,0,0,0,0,0,1,2,0,120592,99999,0,I595,0000000,0
13,185,4,20,92,19,10,1,3,5,6,4,0,8,0,2,1,1,2,55,1,1,2,1,0,0,0,1,1,0,19,20,19,30,19,49,0,0,0,0,1,2,0,130312,18,0,44,0000000,2
16,1,4,20,92,16,42,2,2,2,13,2,0,12,4,2,1,2,2,45,1,1,2,1,0,0,0,1,1,0,16,43,16,45,17,5,0,0,0,0,1,2,0,160055,439,570,20,0000000,0
17,143,4,20,92,17,0,1,2,1,1,1,0,8,0,1,2,2,2,65,2,2,1,2,0,0,0,1,1,0,17,7,17,14,17,22,0,0,0,0,1,2,0,170276,793,0,I74,0000000,1
17,31,4,20,92,19,55,1,3,5,16,6,0,8,0,1,1,1,2,30,1,1,2,1,0,0,2,3,1,0,20,0,20,99,20,30,0,0,0,0,1,2,1,170277,0,1670,PULASKI,0000000,2
18,43,4,20,92,18,53,1,1,4,4,4,0,30,0,1,6,1,2,30,1,1,2,1,0,0,0,1,1,0,19,50,20,11,0,0,0,0,0,0,1,2,1,180202,0,0,BORDEN RD,0000000,0
