STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,VE_FORMS,PERSONS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,MILEPT,CITY,TWAY_ID,RAIL,PEDS
1,125,4,20,95,19,45,2,5,1,1,1,0,12,1,1,1,3,2,65,1,2,1,2,0,0,0,2,2,0,99,99,20,5,99,99,0,0,0,0,1,5,0,10273,643,0,I59,0000000,0
6,111,4,20,95,17,50,1,1,1,12,2,0,25,0,1,3,3,3,55,2,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,60973,99,538,101,0000000,0
6,1,4,20,95,17,54,1,2,0,16,6,0,33,0,1,2,1,2,25,1,2,2,1,0,0,0,1,1,0,99,99,99,99,99,99,0,4,0,0,1,5,1,60974,0,3360,WILEY ST,0000000,0
6,37,4,20,95,18,50,1,3,0,13,6,0,8,0,1,1,2,2,35,1,1,2,1,0,0,0,5,1,0,99,99,99,99,99,99,0,0,0,0,1,5,0,60975,0,1980,JEFERSONBL,0000000,1
6,37,4,20,95,21,45,1,4,0,13,6,0,8,0,1,1,1,4,35,1,1,2,1,0,0,0,3,1,0,99,99,99,99,22,6,0,0,0,0,1,5,0,60992,0,1980,VERMONT AV,0000000,1
6,71,4,20,95,23,0,1,2,1,1,1,0,24,0,1,3,3,2,65,1,1,2,1,0,0,0,2,1,0,99,99,99,99,99,99,0,0,0,0,1,5,1,60993,809,0,I15,0000000,0
9,9,4,20,95,21,43,2,2,0,15,6,0,33,0,1,4,1,2,25,2,9,2,1,0,0,0,3,1,0,21,43,21,50,0,0,0,0,0,0,1,5,1,90061,6,70,ALPSROAD,0000000,0
9,1,4,20,95,22,54,1,2,0,15,6,0,33,0,1,4,1,2,25,2,1,2,1,0,0,0,3,1,0,22,56,22,58,23,13,0,0,0,0,1,5,1,90062,1,700,JEFFERSONS,0000000,0
9,1,4,20,95,23,19,1,1,0,14,3,0,35,0,1,4,1,2,40,1,1,2,1,0,0,0,2,1,0,23,19,23,24,23,55,0,0,0,0,1,5,1,90118,24,650,714,0000000,0
11,1,4,20,95,21,28,2,2,0,16,6,0,12,4,2,1,2,2,25,1,1,2,2,2,3,0,3,1,0,21,29,21,35,21,58,0,0,0,0,1,5,0,110014,0,10,55the.capt,0000000,0
